year,peuvent_VERB établir_VERB,peuvent_VERB etablir_VERB,peuvent_VERB rétablir_VERB
1800,1.9179402954705438e-07,0.0,2.829747991484055e-08
1801,1.6906396638205479e-07,0.0,4.0480102825313224e-08
1802,1.6112448975036386e-07,0.0,3.5805442166747525e-08
1803,1.3847407842604298e-07,0.0,1.755305234496518e-08
1804,3.5100282502753544e-07,0.0,6.426812149129546e-08
1805,1.4214388954769674e-07,0.0,1.9900143755080535e-08
1806,2.1324350996110297e-07,0.0,2.305335300434308e-08
1807,3.7295112065294234e-07,0.0,1.7081731584767113e-08
1808,2.5380029455845943e-07,4.5321479902327155e-09,4.985362878073829e-08
1809,2.2590305093217466e-07,2.259030518203531e-09,2.25903047379461e-08
1810,2.340126741273707e-07,0.0,1.1700633351097167e-08
1811,3.1839874736760976e-07,0.0,0.0
1812,2.2137828636914492e-07,0.0,5.601137331723294e-08
1813,2.0705340375570813e-07,0.0,8.627225156487839e-09
1814,7.552024783308298e-08,0.0,5.034683425719777e-08
1815,8.631115377966125e-08,0.0,2.6972236000233352e-08
1816,2.3871319854151807e-07,0.0,7.879853569647821e-08
1817,1.55687345682054e-07,0.0,3.42512151974006e-08
1818,1.645122438276303e-07,0.0,4.768470773797162e-08
1819,2.1323162968656106e-07,0.0,1.3456364911235141e-08
1820,1.4239776646718383e-07,0.0,1.779972080839798e-08
1821,1.577838162347689e-07,0.0,2.465372084259343e-08
1822,1.7745340130659315e-07,0.0,1.804610860745015e-08
1823,2.0259507493847195e-07,1.9765373782121287e-09,1.680056804787e-08
1824,1.8442236182636407e-07,0.0,2.6105450245950124e-08
1825,1.708256007759701e-07,4.4027217427355936e-09,4.57883047033647e-08
1826,1.4885493726524146e-07,0.0,2.4662355713189754e-08
1827,2.359621902314757e-07,4.608636583469661e-09,2.3964910056406552e-08
1828,1.9995616185042309e-07,9.172301251858528e-10,4.035812395386529e-08
1829,2.297611132462407e-07,8.57317605795771e-10,2.914879893012312e-08
1830,1.9412514973282669e-07,4.174734336004349e-09,2.7135772739939057e-08
1831,1.6682589887295762e-07,3.1182412207897414e-09,7.795603274018958e-09
1832,2.3542146720956225e-07,0.0,1.488296597074168e-08
1833,2.1777221093088883e-07,0.0,2.6642345218874652e-08
1834,2.5669959313745494e-07,9.334530925997342e-10,2.6136685704614138e-08
1835,1.754636400619347e-07,7.563087933704082e-10,1.2100940693926532e-08
1836,1.8616478314470442e-07,0.0,2.5538851033957144e-08
1837,1.8020936920493114e-07,0.0,2.0873672568200163e-08
1838,2.2218810613594542e-07,0.0,3.092959488526503e-08
1839,1.9296471975849272e-07,0.0,3.705481788074394e-08
1840,1.7835128574006376e-07,0.0,2.6115722917552375e-08
1841,1.861959049165307e-07,2.5682194149112547e-09,1.3483152372373297e-08
1842,1.7240240879345947e-07,0.0,3.6895457355967665e-08
1843,1.6834697191825398e-07,0.0,6.497602011990011e-09
1844,2.25031016043431e-07,5.488561272137815e-10,1.866110821424627e-08
1845,1.8191542494605528e-07,5.580227946389016e-10,3.348136701220028e-08
1846,1.8910039045749727e-07,0.0,2.0490753982471688e-08
1847,2.2381878750366013e-07,5.393223645455691e-10,3.235934187273415e-08
1848,2.1158933805054403e-07,0.0,3.057184372323718e-08
1849,2.488686163815146e-07,0.0,3.603148357456121e-08
1850,1.9144968632645032e-07,0.0,1.425689166723032e-08
1851,1.7413483988093503e-07,0.0,3.0957306051959677e-08
1852,2.545623374317074e-07,0.0,1.2370036550635177e-08
1853,1.4452075447479729e-07,0.0,1.7318601663873778e-08
1854,1.402829354901769e-07,5.195664454227256e-10,2.234135720868835e-08
1855,1.9476459556244663e-07,0.0,9.021793090369101e-09
1856,1.76024428810706e-07,5.177189232874468e-10,1.9673318973900678e-08
1857,1.4302821682576905e-07,0.0,3.221796163188628e-08
1858,1.458315495028728e-07,4.893676019968041e-10,2.300027723833864e-08
1859,1.9299336884159857e-07,1.5276520048956854e-09,1.0693564256314403e-08
1860,1.318229010394134e-07,4.577183909670879e-10,2.3801355553132453e-08
1861,1.6788830237146612e-07,0.0,1.4619487842537637e-08
1862,1.251482188990849e-07,4.517986262886353e-10,1.400575744270327e-08
1863,1.1437681735060323e-07,9.989241656072068e-10,1.6482248454963155e-08
1864,1.5199287872746936e-07,9.589455896019672e-10,1.8699438442126848e-08
1865,1.2237795488090342e-07,3.294791106611683e-09,1.1767110841276462e-08
1866,1.6348460007975518e-07,0.0,2.432806489593986e-08
1867,1.5626052629613696e-07,0.0,5.338092634588065e-09
1868,1.2695475959390023e-07,0.0,1.0867722721741302e-08
1869,1.6359788901354477e-07,0.0,3.1742874995188686e-08
1870,1.2901610091375915e-07,0.0,9.17447806614291e-09
1871,1.401995461947081e-07,0.0,1.5931766128574054e-08
1872,1.4815981330684735e-07,6.047339295989218e-10,5.07976487540418e-08
1873,1.688053288262381e-07,0.0,1.496501056408306e-08
1874,1.7386112460826553e-07,5.974609140757536e-10,2.7483201492373155e-08
1875,1.2244068159361632e-07,0.0,1.7736734747586524e-08
1876,1.1971108904162975e-07,0.0,8.464420275799966e-09
1877,1.224593546567121e-07,0.0,1.1751150275074451e-08
1878,1.600358530140511e-07,6.039088673581716e-10,1.9325083755461492e-08
1879,1.362379578040418e-07,0.0,1.649517855639715e-08
1880,1.5146116538744536e-07,0.0,2.9522093214495726e-08
1881,1.443309116666569e-07,0.0,1.6036766581351003e-08
1882,1.2445569552710367e-07,0.0,2.1962771157291172e-08
1883,1.3460191894409945e-07,0.0,7.58320695126713e-09
1884,1.4589750207960606e-07,0.0,1.9805090900604227e-09
1885,1.6823109660890623e-07,0.0,2.3848851782304337e-08
