year,devaient_VERB apporter_VERB,devaient_VERB rapporter_VERB
1800,1.8864987794131594e-08,9.432493897065797e-09
1801,4.0480102825313224e-08,1.4287095950749062e-08
1802,8.951360541686881e-09,6.713520406265161e-09
1803,9.751696339321825e-09,1.5602713787643552e-08
1804,1.730295728918918e-08,1.2359254952798437e-08
1805,8.528632911009026e-09,2.842877755426798e-08
1806,4.3225035994964855e-08,0.0
1807,3.9857372513552036e-08,2.2775640928784924e-08
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,1.3554183553310395e-08,4.518061036407062e-09
1810,4.914266327205041e-08,2.574139479349924e-08
1811,1.0028307073639553e-08,1.504245972228091e-08
1812,1.0668832928217853e-08,4.267533171287141e-08
1813,4.888760685162197e-08,1.1502966579257645e-08
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,5.394447111228828e-09,5.664169577812572e-08
1816,9.270415546325239e-09,6.952811659743929e-09
1817,1.71256075987003e-08,2.1796227045456362e-08
1818,9.536941902865692e-09,7.152706427149269e-09
1819,4.6579724966022695e-08,1.449147024601416e-08
1820,2.966620371580575e-08,1.6613073583471305e-08
1821,2.5639868894700157e-08,2.3667571014129862e-08
1822,1.4035862250239006e-08,3.208197085768916e-08
1823,4.0519015698237126e-08,3.4589405117912975e-08
1824,1.1789557774477544e-08,3.621078548121659e-08
1825,2.3774695989686734e-08,1.3208164340028361e-08
1826,2.7304752237000685e-08,1.2331177856594877e-08
1827,3.410390903013649e-08,2.7651818612639545e-08
1828,4.3109814384934e-08,4.494427585655103e-08
1829,5.401101077495696e-08,4.8009784592295546e-08
1830,4.905312778191728e-08,2.817945699007396e-08
1831,6.392394169552063e-08,2.3386808933878456e-08
1832,4.058990654698391e-08,6.764984572527055e-09
1833,4.170106393530659e-08,2.548398292390175e-08
1834,6.16079063320285e-08,1.8669062740173104e-08
1835,4.386591001548368e-08,2.949604294144592e-08
1836,2.9571300075303952e-08,1.747394939854985e-08
1837,2.5744196108234974e-08,1.3219993100221927e-08
1838,5.5547026533986354e-08,3.5348108440302894e-08
1839,8.040196775027653e-08,4.9639474752893875e-08
1840,7.643626531717018e-08,3.3759349093998026e-08
1841,5.393260948949319e-08,4.494383887276854e-08
1842,4.8970335342346516e-08,3.4212153110502186e-08
1843,4.666459574309556e-08,2.8353174030826267e-08
1844,6.805815644383983e-08,3.402907822191992e-08
1845,9.82120127446251e-08,2.3436957263811564e-08
1846,7.845032001796426e-08,4.390875929516369e-08
1847,7.5505127483666e-08,4.0449176452739266e-08
1848,6.275273278788518e-08,3.057184372323718e-08
1849,6.535943697372204e-08,5.111443002192573e-08
1850,4.955967014552698e-08,2.1045888587423178e-08
1851,6.836405219701192e-08,3.031236062156495e-08
1852,3.580800012059626e-08,1.6927417689771573e-08
1853,7.464915086075052e-08,2.149895550473957e-08
1854,6.390667550704165e-08,3.117398605922972e-08
1855,3.290301009428731e-08,2.865746040470185e-08
1856,5.332504926514048e-08,2.847454005916461e-08
1857,3.0753508184488965e-08,1.757343248698362e-08
1858,7.487324182875454e-08,1.565976326389773e-08
1859,6.721668910358858e-08,2.5460867192350634e-08
1860,5.1722178540103414e-08,4.165237399433863e-08
1861,7.356903353183952e-08,1.650587222457034e-08
1862,5.647482836934614e-08,3.885468302655681e-08
1863,6.592899381985262e-08,4.195481650981492e-08
1864,6.32904075814622e-08,2.1096802527154068e-08
1865,8.048704103202908e-08,4.6597758540656287e-08
1866,8.514822269489741e-08,1.702964524952222e-08
1867,9.802678846426716e-08,3.688136729351754e-08
1868,1.0867722721741302e-07,3.655506830568811e-08
