year,pourraient_VERB éveiller_VERB,pourraient_VERB réveiller_VERB
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,3.333655484993869e-08
1802,8.951360541686881e-09,1.7902721083373763e-08
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,5.0141535368197765e-09
1812,3.200649700829672e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,9.270415546325239e-09,9.270415546325239e-09
1817,6.227493631882908e-09,2.6466848268569265e-08
1818,4.768470951432846e-09,4.768470951432846e-09
1819,1.035105001712111e-09,1.035105001712111e-09
1820,1.1866481131050932e-08,1.0679833017945839e-08
1821,0.0,5.9168927535324656e-09
1822,0.0,0.0
1823,0.0,1.1859224713361982e-08
1824,1.6842225392110777e-09,1.6842225392110777e-09
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,0.0,1.2331177856594877e-08
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,1.1006761724274838e-08,1.7427371545863934e-08
1829,3.429270423183084e-09,2.571952872898464e-09
1830,0.0,3.1310507520032616e-09
1831,0.0,3.1182412207897414e-09
1832,1.8941957335982806e-08,5.411987746839486e-09
1833,5.791814139399776e-09,4.6334514003376626e-09
1834,9.334530925997342e-10,1.7735608537350345e-08
1835,5.294161553592858e-09,4.5378527602224494e-09
1836,3.36037508930076e-09,9.409050427677812e-09
1837,6.957890930081589e-10,1.3915782304252389e-08
1838,8.2058102535143e-09,6.312161904276081e-09
1839,3.4957374772659477e-09,2.7965900706306e-09
1840,8.917564464638872e-09,2.5478754661634184e-09
1841,9.630822361827995e-09,7.0626033910059505e-09
1842,6.037438549100216e-09,1.7441490030023488e-08
1843,1.7720733769266417e-09,4.134837805480629e-09
1844,1.6465684371524958e-09,7.683985892015244e-09
1845,6.696273757711424e-09,5.580227835366713e-09
1846,5.854501328173001e-10,5.854501328173001e-09
1847,4.314578916364553e-09,1.4022381478184798e-08
1848,3.539897619475596e-08,1.769948809737798e-08
1849,1.005529792763582e-08,9.217356655710773e-09
1850,2.0366988096043315e-09,1.3577992064028876e-09
1851,1.9348316282474798e-09,6.449438760824933e-10
1852,5.859490670445666e-09,3.2552727180501506e-09
1853,1.1943863675867306e-09,4.777545470346922e-09
1854,5.7152309551611324e-09,1.7145692865483397e-08
1855,5.837630823180007e-09,6.8990182455763716e-09
1856,4.141751386299575e-09,1.3978411317339123e-08
1857,3.905207268672939e-09,6.345961978126979e-09
1858,6.8511463169329545e-09,3.9149408159744326e-09
1859,9.675129142294736e-09,6.619825576592575e-09
1860,5.034902272882391e-09,2.654766717569146e-08
1861,9.431927461278633e-10,1.131831339762357e-08
1862,6.776979422085105e-09,4.9697850279528666e-09
1863,5.9935452156878455e-09,1.9978483312144135e-09
1864,7.1920918109924514e-09,5.274200631788517e-09
1865,6.589582213223366e-09,4.23615986733239e-09
1866,1.9462451650298362e-09,3.4059290943133647e-09
1867,1.455843445796745e-09,0.0
1868,4.939874287401835e-09,3.951899252285784e-09
1869,4.883519144627257e-10,7.813630631403612e-09
1870,6.307453670473251e-09,1.0321287824410774e-08
1871,9.559059321873065e-09,2.7615060460561835e-08
1872,6.652073114565837e-09,4.8378714367913744e-09
1873,9.577607151811662e-09,1.7958012854535355e-09
1874,7.766991494406739e-09,1.1351757756017378e-08
1875,1.5448122780981066e-08,8.58229043387837e-09
1876,1.0882827083946722e-08,4.232210137899983e-09
1877,1.4225077116236662e-08,0.0
1878,7.850815109122777e-09,3.0195443923020093e-09
1879,6.10932526790009e-10,6.720257683667796e-09
1880,4.492492600149944e-09,2.5671385017744797e-09
1881,3.4862537301449947e-09,1.045876096839038e-08
1882,7.986462158271479e-09,1.3310770263785798e-09
1883,1.1374810426900694e-08,3.159669414998234e-09
1884,5.281357573494461e-09,4.621187876807653e-09
1885,1.0313017106966527e-08,1.2891271383708158e-09
1886,3.872078213618124e-09,1.936039106809062e-09
1887,2.0892558794116667e-08,6.528924512139156e-09
1888,4.4384300679212174e-09,3.1703073499755874e-09
1889,8.771191772893872e-09,1.8795409673089125e-09
1890,1.1142456735058204e-08,6.554386478008212e-10
1891,4.461953917456185e-09,1.2748440081367107e-09
1892,1.0656471260972467e-08,7.522214851007902e-09
1893,1.1085149687062312e-08,5.542574843531156e-09
1894,7.561847148451761e-09,9.452309157609307e-09
1895,3.611168697403855e-09,5.416753268150387e-09
1896,4.717623180994224e-09,5.89702897624278e-10
1897,5.826713334045053e-09,4.078699600285063e-09
1898,1.6975064687230201e-09,5.092519295146758e-09
1899,3.8693048765026106e-09,5.527578395003729e-10
1900,5.191053142894475e-10,0.0
1901,1.2854099118442264e-08,9.500856101851696e-09
1902,6.874397495693074e-09,1.9641135384773634e-09
1903,3.2401321625741275e-09,2.1600881083827517e-09
1904,6.449550227216605e-09,2.1498500757388683e-09
1905,7.741138396966107e-09,1.5482277682110634e-09
1906,7.201858220895474e-09,4.115347618238729e-09
1907,4.114274698707732e-09,0.0
1908,8.349361202419914e-09,2.4556945366072114e-09
1909,9.351672325408344e-09,5.500983557560346e-10
1910,1.4963621453034648e-08,4.809735720812114e-09
1911,4.788336838146279e-09,2.128149656499545e-09
1912,8.335073964360618e-09,7.293189607793238e-09
1913,6.893886794756554e-09,3.71209285532359e-09
1914,8.705766774141921e-09,0.0
1915,3.534228465440492e-09,1.1780761921542648e-09
