year,puissent_VERB assembler_VERB,puissent_VERB rassembler_VERB
1800,0.0,1.5720821977538435e-08
1801,0.0,9.524730337773235e-09
1802,0.0,1.1189200677108602e-08
1803,3.900678446910888e-09,1.950339223455444e-09
1804,0.0,9.887403784603066e-09
1805,0.0,2.842877711017877e-09
1806,1.152667650217154e-08,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,2.0331274441787173e-08,0.0
1810,0.0,2.3401266702194334e-08
1811,3.760615285841595e-08,7.521229861140455e-09
1812,0.0,1.8670457180292033e-08
1813,0.0,2.8757416448144113e-09
1814,1.8880061958270744e-08,4.090680150170556e-08
1815,0.0,1.0788894222457657e-08
1816,0.0,0.0
1817,1.556873407970727e-09,1.556873407970727e-09
1818,0.0,1.1921177378582115e-09
1819,4.140420006848444e-09,6.210630232317271e-09
1820,3.559944161679596e-08,2.3732962262101864e-09
1821,1.0847637454958203e-08,6.903041693817613e-09
1822,1.2030739071633434e-08,1.4035862250239006e-08
1823,0.0,3.9530747564242574e-09
1824,4.7158231097910175e-08,6.736890156844311e-09
1825,5.459374818883589e-08,1.3208164340028361e-08
1826,1.4092774947016551e-08,2.642395191543301e-09
1827,2.1199728195142598e-08,0.0
1828,4.3109814384934e-08,9.172301251858528e-10
1829,1.971830521085849e-08,4.286587973467704e-09
1830,2.0873670791843324e-08,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,3.4750886612755494e-09,2.3167257001688313e-09
1834,1.8669061851994684e-09,1.213489042584115e-08
1835,3.479020449503878e-08,1.739510224751939e-08
1836,1.0753200108126748e-08,6.720750067579218e-10
1837,2.0873672568200163e-08,6.262101948095733e-09
1838,2.7142295522253335e-08,7.574594285131298e-09
1839,1.677954131196202e-08,0.0
1840,3.05745047057826e-08,8.280594876453051e-09
1841,4.494383976094696e-09,1.8619591202195807e-08
1842,2.0124795163667386e-09,1.341653010911159e-09
1843,5.906911071384968e-10,3.5441467538532834e-09
1844,3.677336124496833e-08,0.0
