year,tout_DET homme_NOUN
1800,1.0061326065624598e-05
1801,8.541301781406219e-06
1802,8.866322559697437e-06
1803,8.79993058333639e-06
1804,1.0992320994773763e-05
1805,9.336010293736763e-06
1806,7.760335165585275e-06
1807,8.13375072539202e-06
1808,8.194123552129895e-06
1809,7.210825287984335e-06
1810,6.975917699492129e-06
1811,6.342904157463636e-06
1812,6.361291411849379e-06
1813,7.675354254388367e-06
1814,9.550165145810752e-06
1815,9.019515914587828e-06
1816,8.076849667304487e-06
1817,1.0438835715831374e-05
1818,1.100324629987881e-05
1819,1.2324995395829319e-05
1820,1.2622376289073145e-05
1821,1.1143481970066205e-05
1822,1.0238158779429796e-05
1823,1.0222650871583028e-05
1824,9.145328590420831e-06
1825,9.531892033010081e-06
1826,9.27921155380318e-06
1827,9.119570108850894e-06
1828,9.004448315863556e-06
1829,9.372196245749365e-06
1830,9.612326039132313e-06
1831,9.420206424692878e-06
1832,8.791774348537729e-06
1833,8.456048703919805e-06
1834,1.0775782811833778e-05
1835,9.064360710908659e-06
1836,9.25111248761823e-06
1837,8.807994390735985e-06
1838,8.366770771317533e-06
1839,9.043472914527229e-06
1840,9.739891197568795e-06
1841,9.632748742660624e-06
1842,9.986594022848294e-06
1843,1.082973096799833e-05
1844,9.336042467111838e-06
1845,9.369760846311692e-06
1846,9.602553404874925e-06
1847,9.272569400309294e-06
1848,9.79586206995009e-06
1849,8.534434186913131e-06
1850,8.13253814158088e-06
1851,9.040178383656894e-06
1852,9.160988383882795e-06
1853,8.658704132358253e-06
1854,9.032662546815118e-06
1855,8.617404546384932e-06
1856,8.773264767114597e-06
1857,8.760356308812334e-06
1858,8.895724249669001e-06
1859,8.82219012510177e-06
1860,8.62524518652208e-06
1861,9.217822707796586e-06
1862,8.02800980181928e-06
1863,8.766059181652963e-06
1864,8.757091336519807e-06
1865,8.549982680960966e-06
1866,8.264243660960346e-06
1867,7.2709673304416356e-06
1868,8.054464501583425e-06
1869,8.698035912857449e-06
1870,8.753025554142368e-06
1871,8.092275038507069e-06
1872,8.177212180271454e-06
1873,7.185599656622799e-06
1874,6.075580017750326e-06
1875,7.456866342181456e-06
1876,6.604666396015091e-06
1877,6.160076850392215e-06
1878,6.208787226569257e-06
1879,7.1143093691716786e-06
1880,6.606530746466888e-06
1881,5.981714252811798e-06
1882,5.6663947134438786e-06
1883,5.2033437327736465e-06
1884,5.89069418310828e-06
1885,5.43238195405138e-06
1886,5.279578658701212e-06
1887,4.962635728134046e-06
1888,5.2487606581053114e-06
1889,5.4274879630611395e-06
1890,5.339858830666344e-06
1891,4.928546843530057e-06
1892,5.167134759176406e-06
1893,4.866996619057318e-06
1894,4.667550285830657e-06
1895,5.3042049330542795e-06
1896,5.062599484517705e-06
1897,4.710897883342113e-06
1898,5.046120804763632e-06
1899,4.822259199954715e-06
1900,5.052452195286605e-06
1901,4.922561402054271e-06
1902,4.195346548385714e-06
1903,5.0124846211474505e-06
1904,4.6103534714347916e-06
1905,4.8867227633309085e-06
1906,4.644684338472871e-06
1907,4.656330474972492e-06
1908,5.0056879672411014e-06
1909,4.557564750484744e-06
1910,4.774464230195008e-06
1911,4.803765648375702e-06
1912,4.63690577134912e-06
1913,4.8808718702275655e-06
1914,4.43592307419749e-06
1915,4.586250611282594e-06
1916,5.173995873519743e-06
1917,4.94585731303232e-06
1918,4.612928705682862e-06
1919,4.814784006157424e-06
1920,4.711442670668475e-06
1921,3.980236044753838e-06
1922,3.8992389477243705e-06
1923,5.099901727589895e-06
1924,4.356079898570897e-06
1925,4.782007863468607e-06
1926,4.471830720831349e-06
1927,4.863291735546227e-06
1928,4.25734305053993e-06
1929,3.9982918451642036e-06
1930,4.1363190916854364e-06
1931,4.045480011427571e-06
1932,4.046260926315881e-06
1933,3.8002304449946678e-06
1934,3.7082989479131356e-06
1935,4.072807143984392e-06
1936,4.345497643498675e-06
1937,3.854141255033028e-06
