year,pourraient_VERB assembler_VERB,pourraient_VERB rassembler_VERB
1800,3.144164484325529e-09,1.5720821977538435e-08
1801,0.0,1.6668277424969347e-08
1802,0.0,4.4756802708434407e-08
1803,3.900678446910888e-09,3.90067853572873e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,3.1271653710973624e-08
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,4.3136125782439194e-08
1814,0.0,0.0
1815,0.0,1.3486118000116676e-08
1816,0.0,4.6352077731626196e-09
1817,0.0,4.670620157298799e-08
1818,0.0,4.768470951432846e-09
1819,2.070210003424222e-09,2.3807414706311647e-08
1820,0.0,8.306536791735653e-09
1821,0.0,2.9584464655840748e-08
1822,0.0,3.0076847679083585e-09
1823,9.882686891060644e-10,1.1859224713361982e-08
1824,1.6842225392110777e-09,1.6000115010683658e-08
1825,5.283265824829186e-09,8.805443485471187e-09
1826,2.642395191543301e-09,1.2331177856594877e-08
1827,0.0,3.410390903013649e-08
1828,0.0,1.1006761724274838e-08
1829,8.57317605795771e-10,5.143905745796928e-09
1830,2.0873671680021744e-09,1.6698937344017395e-08
1831,0.0,6.236482441579483e-09
1832,0.0,1.7588959622116818e-08
1833,0.0,3.4750886612755494e-09
1834,1.8669061851994684e-09,1.5868701908061666e-08
1835,1.2100940693926532e-08,1.3613558280667348e-08
1836,6.048674894287842e-09,8.064899859050456e-09
1837,3.478945576063097e-09,1.461157062010443e-08
1838,3.787297142565649e-09,1.830527018853445e-08
1839,0.0,1.6080392128969834e-08
1840,2.5478754661634184e-09,2.1019973317493168e-08
1841,1.926164561183441e-09,9.630822361827995e-09
1842,0.0,1.0062397137744483e-08
1843,5.906911071384968e-10,7.678984559333912e-09
1844,0.0,3.841992946007622e-09
1845,5.580227946389016e-10,1.897277535078956e-08
1846,1.1709002656346001e-09,1.3465353276842507e-08
1847,2.1572894581822766e-09,9.707802561820245e-09
1848,0.0,8.04522137798358e-09
1849,8.379414939696517e-10,2.513824481908955e-09
1850,8.82569484161877e-09,1.2899092460827433e-08
1851,3.2247193804124663e-09,1.0319102017319892e-08
1852,0.0,2.2135854038651814e-08
1853,5.971931837933653e-10,1.7318601663873778e-08
1854,1.0391328908454511e-09,1.1950028522278444e-08
1855,0.0,6.8990182455763716e-09
1856,0.0,1.1907535402144731e-08
1857,1.4644527812635033e-09,5.857811125054013e-09
1858,9.787352039936081e-10,1.9574704079872163e-09
1859,1.0693564256314403e-08,1.9350258284589472e-08
1860,4.577183909670879e-10,5.034902272882391e-09
1861,9.431927461278633e-10,8.017138064531082e-09
1862,1.3553959066214816e-09,8.132375661773494e-09
1863,2.4973103585068657e-09,7.991393324857654e-09
1864,4.794727948009836e-10,1.0548401263577034e-08
1865,9.41368871743009e-10,4.706844247692743e-09
1866,0.0,6.811858188626729e-09
1867,5.338092634588065e-09,5.82337378318698e-09
1868,3.951899252285784e-09,1.4819622196071691e-09
1869,0.0,4.883519144627257e-10
1870,0.0,3.4404292748035914e-09
1871,5.3105884134652115e-09,8.496941816815706e-09
1872,1.8142017887967654e-09,0.0
1873,4.788803575905831e-09,1.7958012854535355e-09
1874,1.7923826867161097e-09,7.169530746864439e-09
1875,4.005069165202713e-09,4.577221712764867e-09
1876,6.04601479992084e-10,2.418405919968336e-09
1877,1.8554447978047506e-09,6.80329748092845e-09
1878,0.0,0.0
1879,1.832797580370027e-09,1.832797580370027e-09
1880,0.0,1.5402831010646878e-08
1881,1.3945015142624584e-09,4.183504653809678e-09
1882,2.6621540527571597e-09,1.9966155395678697e-09
1883,1.8958017378167824e-09,2.5277355764075082e-09
1884,0.0,1.3203393933736152e-09
1885,3.86738152613475e-09,1.2891271383708158e-09
1886,4.5174246565693466e-09,2.5813855497602844e-09
1887,0.0,1.3057849246322917e-09
1888,7.60873763994141e-09,3.1703073499755874e-09
1889,1.2530273485467092e-09,0.0
1890,6.554386478008212e-10,0.0
1891,1.9122659011827636e-09,0.0
1892,6.268512375839919e-10,0.0
1893,1.847525021858587e-09,6.158416554491453e-10
1894,1.2603078580752936e-09,0.0
1895,0.0,0.0
1896,5.89702897624278e-10,2.358811590497112e-09
1897,5.826713556089658e-10,5.826713556089658e-10
1898,5.6583548957434e-10,0.0
1899,0.0,0.0
1900,0.0,3.114631885736685e-09
1901,0.0,6.706486921359556e-09
1902,3.928227076954727e-09,1.9641135384773634e-09
1903,5.400220270956879e-10,3.2401321625741275e-09
1904,0.0,6.449550227216605e-09
1905,0.0,2.580379465655369e-09
1906,0.0,4.115347618238729e-09
1907,5.142843373384665e-10,8.742834012309686e-09
1908,0.0,9.822778146428846e-10
1909,4.950885035270858e-09,2.7504918342913243e-09
1910,0.0,0.0
1911,0.0,2.6601871816467337e-09
1912,0.0,4.167536982180309e-09
1913,0.0,1.060597942803554e-09
1914,6.696743715117748e-10,0.0
1915,0.0,2.3561523843085297e-09
1916,1.0987462051303964e-09,8.789969641043172e-09
1917,0.0,1.0966424435210342e-09
1918,5.743188147278033e-09,0.0
1919,0.0,0.0
1920,0.0,3.028892692213958e-09
1921,0.0,7.572747429129834e-10
1922,0.0,0.0
1923,0.0,8.492758496458919e-09
1924,0.0,0.0
1925,0.0,3.299453377181294e-09
1926,0.0,2.229227691330493e-09
1927,0.0,2.2298449753321847e-09
1928,0.0,1.1426041224282812e-09
1929,0.0,4.4561625500705304e-09
1930,3.1510811737689437e-09,3.1510811737689437e-09
1931,0.0,0.0
1932,0.0,0.0
1933,3.4411986593596566e-09,1.1470662197865522e-09
1934,0.0,1.1981580172459871e-09
1935,3.590485242455088e-09,0.0
1936,0.0,2.424942913137329e-09
1937,0.0,5.0364472592434595e-09
