year,devait_VERB acheter_VERB,devait_VERB racheter_VERB
1800,7.231578535993322e-08,0.0
1801,9.524730337773235e-09,0.0
1802,1.3427040812530322e-08,0.0
1803,0.0,0.0
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,1.1371510844071508e-08,1.1371510844071508e-08
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,1.1330369531492579e-08
1809,4.518061036407062e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,2.5070768572277302e-08,1.504245972228091e-08
1812,2.6672083208723052e-08,1.8670457180292033e-08
1813,5.751483289628823e-09,1.7254450312975678e-08
1814,0.0,9.440030979135372e-09
1815,1.0788894222457657e-08,0.0
1816,9.270415546325239e-09,0.0
1817,3.42512151974006e-08,1.8682481339737933e-08
1818,9.536941902865692e-09,4.768470951432846e-09
1819,3.519356894798875e-08,6.210630232317271e-09
1820,4.2719332071783356e-08,8.306536791735653e-09
1821,5.5224333550540905e-08,9.86148829262845e-10
1822,3.308453244699194e-08,0.0
1823,3.4589405117912975e-08,1.087095569118901e-08
1824,3.789500624407083e-08,4.210556348027694e-09
1825,2.4655239627691117e-08,8.805443485471187e-09
1826,2.554315514657901e-08,1.7615968683770689e-09
1827,4.2399456390285195e-08,1.8434546111834038e-09
1828,1.7427371545863934e-08,9.172301251858528e-10
1829,3.6864655328372464e-08,2.2290258527846163e-08
1830,3.861629238599562e-08,1.3567886369969528e-08
1831,2.9623292263636358e-08,1.5591206548037917e-08
1832,5.141388470519814e-08,8.117981842303834e-09
1833,2.6642345218874652e-08,1.9692167896323554e-08
1834,2.7070139907436896e-08,1.9602515166639023e-08
1835,2.647080776796429e-08,2.571449897459388e-08
1836,2.9571300075303952e-08,2.4866775305554256e-08
1837,3.826840000442644e-08,2.852735292435682e-08
1838,2.7142295522253335e-08,2.1461350030449466e-08
1839,4.194885150354821e-08,1.8876983531868063e-08
1840,5.5416290223320175e-08,2.93005673057678e-08
1841,2.6966304744746594e-08,3.5955071808757566e-08
1842,4.8970335342346516e-08,2.817471411731276e-08
1843,6.261326035428283e-08,2.4809025944705354e-08
1844,3.951764071530306e-08,3.0187088384536764e-08
1845,3.794555070157912e-08,2.511102614732863e-08
1846,5.21050615986951e-08,1.8734404250153602e-08
1847,6.903326266183285e-08,2.588747349818732e-08
1848,4.666228647920434e-08,3.298540818263973e-08
1849,1.005529792763582e-08,2.262441967104678e-08
1850,3.326607966869233e-08,2.2403686017469226e-08
1851,6.384944128967618e-08,3.224719336003545e-08
1852,5.9245962802378926e-08,2.7344290387532055e-08
1853,5.733054564416307e-08,2.508211416341055e-08
1854,4.000661490977109e-08,3.16935526711859e-08
1855,7.588920425405377e-08,2.9188154115900034e-08
1856,3.4169449492083004e-08,1.4496129630003907e-08
1857,3.661131842136456e-08,2.6848299583548396e-08
1858,3.963877404089544e-08,3.0830157982109085e-08
1859,3.0043821652725455e-08,3.3099126994784456e-08
1860,3.61597543019343e-08,2.4259074749011234e-08
1861,4.0557289082698844e-08,1.9335450573976232e-08
1862,2.4848924695675123e-08,2.0330938710344526e-08
1863,4.345320192555846e-08,2.6471489888990618e-08
1864,2.1096802527154068e-08,2.6371003158942585e-08
1865,4.5185707620021276e-08,1.2237795665726026e-08
1866,3.600553455385125e-08,2.4814625021463144e-08
1867,5.386620927083641e-08,3.2513838732484146e-08
1868,3.853101659956337e-08,1.975949714960734e-08
1869,6.592750878553488e-08,2.1487483792270723e-08
1870,3.4977698959437475e-08,2.8096838633473453e-08
1871,1.5931766128574054e-08,1.6993883633631413e-08
