year,pouvaient_VERB assembler_VERB,pouvaient_VERB rassembler_VERB
1800,0.0,1.5720821977538435e-08
1801,0.0,1.1905912700171939e-08
1802,0.0,0.0
1803,7.801356893821776e-09,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-08
1807,0.0,2.2775640928784924e-08
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,2.5173417128598885e-08
1815,8.091670444798638e-09,2.1577788444915313e-08
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,0.0,1.0729059418679299e-08
1819,0.0,1.6561680027393777e-08
1820,5.933240565525466e-09,2.7292905713238724e-08
1821,1.97229765852569e-09,1.8736827200882544e-08
1822,0.0,1.0025615893027862e-08
1823,0.0,1.7788837070042973e-08
1824,8.421112696055388e-10,1.7684335773537896e-08
1825,2.641632912414593e-09,2.0252519661312363e-08
1826,5.284790383086602e-09,6.1655889282974385e-09
1827,9.217273055917019e-10,1.3825909306319772e-08
1828,1.8344602503717056e-09,1.1923991571904935e-08
1829,0.0,1.628903412154159e-08
1830,2.0873671680021744e-09,8.349468672008697e-09
1831,0.0,3.1182412207897414e-09
1832,0.0,4.058990921151917e-09
1833,0.0,4.6334514003376626e-09
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,1.8151411040889798e-08,1.285724948729694e-08
1836,1.1425274948351216e-08,1.8818100855355624e-08
1837,3.478945576063097e-09,1.8090515752078318e-08
1838,2.2723781967215473e-08,2.3354999711955315e-08
1839,2.0974426639952526e-09,1.3283802502428443e-08
1840,2.5478754661634184e-09,2.165694112932215e-08
1841,6.420548537278137e-10,1.8619591202195807e-08
1842,2.683306021822318e-09,1.9453969102301016e-08
1843,0.0,6.497602011990011e-09
1844,6.586273748609983e-09,9.879410178825765e-09
1845,1.674068439427856e-09,3.9061593959388574e-09
1846,7.610851504580296e-09,1.3465353276842507e-08
1847,1.0247124926365814e-08,5.3932236454556914e-09
1848,0.0,0.0
1849,1.6758829879393033e-09,4.1897072478036534e-09
1850,6.788996032014438e-10,1.968808760466345e-08
1851,0.0,9.674158363282004e-09
1852,0.0,1.3021090872200602e-09
1853,0.0,3.5831591027601917e-09
1854,5.195664454227256e-10,1.1430461910322265e-08
1855,1.0613874223963649e-09,2.653468555990912e-09
1856,1.5531567143511893e-09,8.801221973442352e-09
1857,1.4644527812635033e-09,3.4170564155999728e-09
1858,1.468102750479261e-09,4.404308473482388e-09
1859,5.092173349652285e-10,5.092173349652285e-10
1860,9.154367819341758e-10,9.612086238064421e-09
1861,4.715963619617014e-09,5.187560159214399e-09
1862,5.421583626485926e-09,9.487771457372673e-09
1863,3.995696662428827e-09,4.994620717013731e-09
1864,1.9178911792039344e-09,1.0068928801842958e-08
1865,1.6003271596787272e-08,7.0602665935837194e-09
1866,3.8924903300596725e-09,7.784980660119345e-09
1867,3.88224918879132e-09,1.4073153309368536e-08
1868,6.915823469455518e-09,1.679557115608077e-08
1869,4.883519144627257e-10,8.790334682373668e-09
1870,1.1468097582678638e-09,7.454262984651905e-09
1871,0.0,0.0
1872,4.23313739617015e-09,2.4189357183956872e-09
1873,5.986004469882289e-10,1.0176207432266438e-08
1874,0.0,7.766991494406739e-09
1875,5.721527140956084e-10,5.149374260327022e-09
1876,0.0,0.0
1877,0.0,3.710889595609501e-09
1878,0.0,8.4547240319921e-09
1879,0.0,7.331190321480108e-09
1880,0.0,6.417846254436199e-10
1881,2.091752326904839e-09,2.7890030285249168e-09
1882,6.655385131892899e-10,6.655385131892899e-10
1883,6.319338941018771e-10,7.58320695126713e-09
1884,6.601696966868076e-10,1.3203393933736152e-09
1885,6.445635691854079e-10,1.4824961702686323e-08
1886,2.5813855497602844e-09,7.098810428374236e-09
1887,6.528924623161458e-10,1.9586774424595887e-09
1888,0.0,2.53624587998047e-09
1889,0.0,2.5060546970934183e-09
1890,0.0,6.554386478008212e-10
1891,0.0,6.374220040683554e-10
1892,0.0,1.8805537127519756e-09
1893,0.0,5.542574843531156e-09
1894,6.301539290376468e-10,2.520615716150587e-09
1895,0.0,1.8055843487019274e-09
1896,1.179405795248556e-09,5.89702897624278e-10
1897,1.7480140668268973e-09,4.078699600285063e-09
1898,5.6583548957434e-10,5.6583548957434e-10
1899,0.0,1.1055156790007459e-09
1900,5.191053142894475e-10,1.5573159428683425e-09
1901,5.588738916095792e-10,2.794369402536745e-09
1902,4.910283846193408e-10,3.437198747846537e-09
1903,0.0,5.400220270956879e-09
1904,0.0,5.912087708281888e-09
1905,0.0,0.0
1906,0.0,4.115347618238729e-09
1907,0.0,2.057137349353866e-09
1908,0.0,3.437972351250096e-09
1909,5.500983557560346e-10,0.0
1910,1.068830135508847e-09,1.068830135508847e-09
1911,0.0,1.0640748282497725e-09
1912,3.125652625612929e-09,3.125652625612929e-09
1913,1.590896969716482e-09,1.2196876397752021e-08
1914,0.0,2.0090231700464756e-09
1915,2.3561523843085297e-09,0.0
1916,1.0987462051303964e-09,2.197492410260793e-09
1917,0.0,9.869782324756216e-09
1918,2.2972752589112133e-09,0.0
1919,0.0,6.4454939163738345e-09
1920,3.028892692213958e-09,1.514446346106979e-09
1921,0.0,3.7863738810983705e-09
1922,0.0,9.591316185719734e-09
1923,0.0,3.1847844361720945e-09
1924,0.0,2.578324886925998e-09
1925,0.0,2.1996355847875293e-09
1926,0.0,3.343841648018042e-09
1927,0.0,2.2298449753321847e-09
1928,1.1426041224282812e-09,6.8556245125250825e-09
1929,1.1140406375176326e-09,3.342121912552898e-09
1930,1.0503603542488804e-09,7.352522590764465e-09
1931,0.0,0.0
1932,1.0959536611565568e-09,0.0
1933,1.1470662197865522e-09,0.0
1934,0.0,9.585264137967897e-09
1935,0.0,1.196828414151696e-09
1936,0.0,1.2124714565686645e-09
1937,1.2591118148108649e-09,2.5182236296217297e-09
1938,0.0,3.8895642262559704e-09
1939,0.0,0.0
1940,0.0,5.0715658339584024e-09
1941,0.0,1.1806010391524069e-08
1942,0.0,3.034211770724937e-09
1943,0.0,0.0
1944,6.4263723231761105e-09,6.4263723231761105e-09
1945,0.0,2.178504043826024e-09
1946,0.0,5.568441707737293e-09
1947,0.0,1.1920870957027319e-09
1948,0.0,6.523132700664291e-09
1949,0.0,1.9634016634739737e-09
1950,1.0635361480382244e-09,2.1270722960764488e-09
1951,0.0,3.1984206394497505e-09
1952,0.0,0.0
1953,0.0,3.232148326759443e-09
1954,0.0,2.9317608341017376e-09
1955,2.815682353940474e-09,1.8771215692936494e-09
1956,0.0,4.360570571293465e-09
1957,0.0,4.417518795207798e-09
1958,0.0,2.4816730892496253e-09
1959,0.0,6.975672928177801e-09
1960,0.0,1.5225833038812198e-08
1961,0.0,6.94815938118154e-09
1962,6.341956404476434e-10,1.0147130247162295e-08
1963,6.466053248388448e-10,6.466053470433053e-09
1964,0.0,1.8251904432275978e-09
1965,1.0944086747954884e-09,3.2832261354087677e-09
1966,0.0,4.985167390003653e-09
1967,0.0,5.916402479044791e-09
1968,0.0,5.3896989093971115e-09
1969,4.5417578031781147e-10,4.087581828571274e-09
1970,1.3796175313274261e-09,4.1388523719376735e-09
1971,0.0,4.624557625731995e-09
1972,2.0520587451500205e-09,7.182205497002769e-09
1973,0.0,2.205281512956958e-09
1974,3.3753431161187564e-09,1.2376257352286757e-08
1975,3.998036124386317e-09,1.0851811893530794e-08
1976,1.142705374768127e-09,3.4281160132820787e-09
1977,1.7630346071939584e-09,3.526069214387917e-09
1978,0.0,1.0693064211864112e-08
1979,1.1703946700691858e-09,5.851973128301324e-09
1980,5.685150683554241e-10,7.390696055153967e-09
1981,0.0,7.590659656386833e-09
