year,tout_ADV emporté_VERB,tout_ADV remporté_VERB
1800,2.2009151834367913e-08,0.0
1801,4.7623650800687756e-08,0.0
1802,7.832440473976021e-08,0.0
1803,3.900678446910888e-09,0.0
1804,3.9549615138412264e-08,0.0
1805,2.55858996212055e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,3.3991110370834576e-08,0.0
1809,3.840352036377226e-08,2.259030518203531e-09
1810,5.148278958699848e-08,0.0
1811,1.2535383842049441e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,8.627225156487839e-09,0.0
1814,6.608021863030444e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,3.89218364205135e-08,0.0
1818,5.960588467246453e-09,8.344824387052086e-09
1819,1.2421260020545333e-08,0.0
1820,3.441279616822612e-08,0.0
1821,1.8736827200882544e-08,9.86148829262845e-10
1822,4.411270992932259e-08,0.0
1823,5.435477845594505e-08,0.0
1824,5.052667617633233e-08,0.0
1825,5.899646993157148e-08,0.0
1826,2.466235549114515e-08,0.0
1827,9.217273166939322e-09,0.0
1828,6.420610709767516e-09,0.0
1829,2.6576845613135447e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,3.5177919244233635e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,2.333632664885954e-08,0.0
1835,4.0840674842002045e-08,0.0
1836,3.1587525484155776e-08,0.0
1837,3.270208637218275e-08,6.957890930081589e-10
1838,3.471688914125082e-08,0.0
1839,2.3771015378315496e-08,0.0
1840,1.7835128929277744e-08,1.2739377330817092e-09
1841,2.3756030032018316e-08,0.0
1842,4.22620693996123e-08,0.0
1843,1.7720733325177207e-08,0.0
1844,3.0735943568060975e-08,0.0
1845,3.459741293454499e-08,1.1160455892778032e-09
1846,1.8148954339380907e-08,0.0
1847,3.5055954583640414e-08,0.0
1848,3.298540818263973e-08,0.0
1849,2.1786478399121734e-08,8.379414939696517e-10
1850,3.6660580349234806e-08,0.0
1851,1.870337307252612e-08,0.0
1852,3.320378283433456e-08,0.0
1853,5.2552998397459305e-08,0.0
1854,2.7017454939937124e-08,0.0
1855,3.1841622671890946e-08,0.0
1856,2.174419400091665e-08,0.0
1857,6.004255936886693e-08,0.0
1858,5.431980554249094e-08,0.0
1859,4.939408171367177e-08,0.0
1860,6.774232019779447e-08,0.0
1861,4.95176202264247e-08,0.0
1862,4.9246050792817186e-08,9.035972525772706e-10
1863,4.2953737455775354e-08,2.4973103585068657e-09
1864,3.8357823917145595e-08,4.794727948009836e-10
1865,5.036323358353911e-08,4.706844358715045e-10
1866,4.281739518496863e-08,4.865612912574591e-10
1867,5.82337378318698e-08,0.0
1868,4.3964877960434023e-08,0.0
