year,veulent_VERB ouvrir_VERB,veulent_VERB rouvrir_VERB
1800,1.5720821977538435e-08,0.0
1801,3.095537337571841e-08,4.7623651688866175e-09
1802,1.1189200677108602e-08,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,8.645007376628655e-09,0.0
1807,8.540865792383556e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,2.757784400841956e-08,0.0
1812,2.400487453257938e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,2.0239355080775567e-08,0.0
1818,9.536941902865692e-09,0.0
1819,3.001804671498576e-08,0.0
1820,4.6279275522920216e-08,5.933240565525466e-09
1821,8.875339574387908e-09,0.0
1822,4.010246357211145e-09,0.0
1823,1.3835761869529506e-08,0.0
1824,1.1789557774477544e-08,0.0
1825,1.937197424695114e-08,0.0
1826,2.290075862276808e-08,9.688783109140786e-09
1827,5.530363722527909e-09,0.0
1828,5.503380862137419e-09,0.0
1829,1.0287811491593857e-08,8.57317605795771e-10
1830,1.0436835395921662e-08,1.0436835840010872e-09
1831,1.091384405071949e-08,0.0
1832,1.488296597074168e-08,1.352996914505411e-08
1833,3.1275796175123105e-08,0.0
1834,8.401078055442213e-09,0.0
1835,2.4958190181223472e-08,0.0
1836,4.032449929525228e-09,1.3441500135158435e-09
1837,1.8090515752078318e-08,6.957890930081589e-10
1838,5.680945491803868e-09,6.312161904276081e-10
1839,1.3982950353153e-09,0.0
1840,1.52872523528913e-08,8.280594876453051e-09
1841,2.247191943638427e-08,0.0
1842,2.3478927246856074e-08,0.0
1843,1.7130041385371442e-08,2.3627644285539873e-09
1844,2.305195678786731e-08,1.097712254427563e-09
1845,1.0602432709561072e-08,0.0
1846,2.985795788390533e-08,0.0
1847,2.9123407685460734e-08,3.235934187273415e-09
1848,2.896279838182636e-08,8.045221711050488e-10
1849,3.016589289472904e-08,0.0
1850,6.924776130290411e-08,2.0366988096043315e-09
1851,4.1921353499674296e-08,1.9348316282474798e-09
