year,pouvaient_VERB appliquer_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,1.7902721083373763e-08
1803,7.801356893821776e-09
1804,0.0
1805,0.0
1806,8.645007376628655e-09
1807,1.1387820464392462e-08
1808,1.1330369531492579e-08
1809,0.0
1810,2.574139479349924e-08
1811,1.7549536934780008e-08
1812,1.3336041604361526e-08
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,4.670620334934483e-09
1818,1.5497530370112145e-08
1819,2.4842520929269085e-08
1820,0.0
1821,7.88919063410276e-09
1822,1.0025615893027862e-09
1823,0.0
1824,8.421112696055388e-09
1825,2.641632912414593e-09
1826,8.80798456392995e-09
1827,1.8434546111834038e-09
1828,1.2841221419535032e-08
1829,1.3717081692732336e-08
1830,7.305785310052215e-09
1831,1.7150327380477393e-08
1832,1.0823975493678972e-08
1833,3.4750886612755494e-09
1834,1.8669062740173104e-08
1835,1.4369867074037757e-08
1836,2.1506400216253496e-08
1837,2.435261770017405e-08
1838,1.64116205070286e-08
1839,4.894032734625853e-09
1840,1.52872523528913e-08
1841,1.6693427085101575e-08
1842,1.7441490030023488e-08
1843,1.7720733325177207e-08
1844,2.360081374774836e-08
1845,1.5066614622583074e-08
1846,1.0538101946622191e-08
1847,1.833696039454935e-08
1848,7.24069959545659e-09
1849,1.508294644736452e-08
1850,1.1541293254424545e-08
1851,5.8044946626978344e-09
1852,1.4974254725075298e-08
1853,7.166318205520383e-09
1854,8.313063126763609e-09
1855,1.3798036491152743e-08
1856,1.0872097000458325e-08
1857,2.4407544874094356e-09
1858,1.2723557318849998e-08
1859,3.5645213447565993e-09
1860,1.373155189554609e-08
1861,2.0278644541349422e-08
1862,4.517986429419807e-09
1863,3.795911851511846e-08
1864,1.4384183621984903e-08
1865,8.47231973466478e-09
1866,7.784980660119345e-09
1867,1.6014277903764196e-08
1868,4.93987406535723e-10
1869,5.860222973552709e-09
1870,1.204150201772336e-08
1871,1.0621176826930423e-08
1872,3.0236697590169115e-09
1873,2.9331422624068182e-08
1874,5.974609251779839e-09
1875,4.005069165202713e-09
1876,2.418405919968336e-09
1877,1.2988113695655557e-08
1878,3.0195443923020093e-09
1879,2.443730107160036e-09
1880,6.417846254436199e-09
1881,9.064259565150223e-09
1882,1.2645231528551903e-08
1883,1.1374810426900694e-08
1884,7.922036360241691e-09
1885,1.4180398189012067e-08
1886,1.1616235084943582e-08
1887,1.7628096316002484e-08
1888,6.340614699951175e-09
1889,6.265136853755848e-09
1890,6.554386366985909e-09
1891,3.824531802365527e-09
1892,6.268512375839919e-09
1893,1.1085149687062312e-08
1894,1.3233232287745977e-08
1895,1.5648398132839247e-08
1896,1.8280790214930676e-08
1897,1.981082675683865e-08
1898,1.4145887128336199e-08
1899,3.3165470370022376e-09
1900,4.15284251431558e-09
1901,9.500856101851696e-09
1902,1.718599307309887e-08
1903,9.720396931811592e-09
1904,1.6123875568041512e-09
1905,5.160758931310738e-09
1906,1.7490227932626112e-08
1907,4.114274698707732e-09
1908,8.349361202419914e-09
1909,6.0510818578052294e-09
1910,1.2291546447329438e-08
1911,6.916486494645824e-09
1912,1.0418842677495377e-08
1913,7.954484182448596e-09
1914,7.366418142140674e-09
1915,1.295883844676382e-08
1916,4.394984820521586e-09
1917,8.773139548168274e-09
1918,1.722956355365568e-08
1919,7.366278698128781e-09
1920,1.1358347151713133e-08
1921,2.2718242842501013e-09
1922,9.591316185719734e-09
1923,1.0615948120573648e-08
1924,1.675911143195208e-08
1925,9.898360353588487e-09
1926,3.343841648018042e-09
1927,1.5608915049369898e-08
1928,9.14083297942625e-09
1929,1.0026365515614089e-08
1930,1.3654684494213143e-08
1931,1.1405356659111021e-08
1932,1.53433514782364e-08
1933,6.882397318719313e-09
1934,9.585264137967897e-09
1935,9.574627313213568e-09
1936,1.8187071404440758e-08
1937,1.7627565185307503e-08
1938,1.6854778905894818e-08
1939,9.176430282309411e-09
1940,5.0715658339584024e-09
1941,1.4757512545315876e-08
1942,3.034211770724937e-09
1943,1.7419411690866582e-08
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,1.6705325123211878e-08
1947,1.1920871401116528e-08
1948,3.2615663503321457e-09
