year,voulaient_VERB enseigner_VERB
1910,5.34415089958884e-09
1911,5.852411444351446e-09
1912,5.730363294986773e-09
1913,3.71209285532359e-09
1914,3.3483718020477227e-09
1915,0.0
1916,4.394984820521586e-09
1917,6.57985488317081e-09
1918,5.743188147278033e-09
1919,3.6831393490643904e-09
1920,6.815008557481406e-09
1921,7.572747429129834e-10
1922,0.0
1923,4.246379248229459e-09
1924,1.289162443462999e-09
1925,3.299453377181294e-09
1926,6.687683296036084e-09
1927,1.0034302277972529e-08
1928,6.8556245125250825e-09
1929,1.1140406375176326e-09
1930,2.100720708497761e-09
1931,2.2810713318222042e-09
1932,6.575722188983946e-09
1933,3.4411986593596566e-09
1934,2.3963160344919743e-09
1935,5.98414207075848e-09
1936,0.0
1937,1.2591118148108649e-09
1938,1.5558256905023882e-08
1939,1.5294050470515685e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,0.0
1946,4.1763312808029696e-09
1947,0.0
1948,1.0871887834440486e-09
1949,0.0
1950,6.381216888229346e-09
1951,5.330700769690111e-09
1952,1.0544803918932644e-09
1953,6.464296653518886e-09
1954,9.772536113672459e-10
1955,9.385607846468247e-10
1956,9.593255967388359e-09
1957,8.835037701437898e-10
1958,0.0
1959,6.200598257066758e-09
1960,4.844583401109048e-09
1961,2.08444772553662e-09
1962,6.341956404476434e-10
1963,5.1728425987107585e-09
1964,1.2167936658258327e-09
1965,6.5664522708175355e-09
1966,1.6617224263271169e-09
1967,3.451234853457663e-09
1968,2.245707841908029e-09
1969,6.358460868938209e-09
1970,3.6789800095249348e-09
1971,2.0553589941130213e-09
1972,3.5911027485013847e-09
1973,5.513203782392395e-10
1974,7.313243344242437e-09
1975,3.998036124386317e-09
1976,2.285410749536254e-09
1977,4.11374712072643e-09
1978,5.940591352171509e-10
1979,2.3407893401383717e-09
1980,5.6851505725319385e-09
1981,2.5302198114474095e-09
1982,6.207502289967692e-10
1983,2.5261264191556165e-09
1984,1.739702604197646e-09
1985,3.0077789148208467e-09
1986,2.997242676272549e-09
1987,0.0
1988,3.597932174415064e-09
1989,2.7440609784434855e-09
1990,3.814055737905164e-09
1991,5.2753188484189195e-09
1992,4.958949695321735e-09
1993,5.539207426075166e-10
1994,2.637463358823311e-09
1995,1.626735190995987e-09
1996,1.067618438099771e-09
1997,4.315404922294874e-09
1998,1.9072516899143466e-09
1999,3.656160929565999e-09
2000,2.6508188977203417e-09
2001,2.190605918883648e-09
2002,6.133709984368352e-09
2003,2.5001538617175356e-09
2004,1.7619165015858584e-09
2005,2.251874686720612e-09
2006,3.294311934354255e-09
2007,4.393927444112933e-09
2008,1.7029758714315335e-09
2009,1.907277002999308e-09
2010,2.3618964561933353e-09
2011,2.2943831279320648e-09
2012,6.127654827992046e-09
2013,3.3469500504423877e-09
2014,1.9489005964601347e-09
2015,2.21657536769726e-09
2016,2.6927420293532123e-09
2017,5.031222660711876e-10
2018,2.323319980845895e-09
2019,2.04079020349468e-09
