year,faut_VERB abaisser_VERB,faut_VERB rabaisser_VERB
1800,9.746909768182377e-08,9.432493897065797e-09
1801,2.3811825844433088e-09,1.6668277424969347e-08
1802,2.9091921760482364e-08,4.475680270843441e-09
1803,6.046051481689574e-08,3.315576790896557e-08
1804,2.7190360185613827e-08,0.0
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,1.729001475325731e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,3.388545621874073e-08,0.0
1810,2.3401266702194334e-08,1.8721014072298203e-08
1811,4.011322829455821e-08,0.0
1812,6.401299401659344e-08,1.0668832928217853e-08
1813,4.026038169513413e-08,2.8757416448144113e-09
1814,5.349351184236184e-08,2.2026739543434815e-08
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,7.784366928831332e-09,3.113746815941454e-09
1818,5.2453181353939726e-08,7.152706427149269e-09
1819,4.140420006848444e-09,2.4842520929269085e-08
1820,3.9159388620646496e-08,3.9159388620646496e-08
1821,3.155676253641104e-08,9.86148829262845e-10
1822,1.5038423839541792e-08,4.010246357211145e-09
1823,2.2730180404550993e-08,4.941343334508019e-09
1824,1.6000115010683658e-08,5.052667617633233e-09
1825,1.584979791857677e-08,2.641632912414593e-09
1826,4.844391554570393e-08,8.807984341885344e-10
1827,4.3321183085254233e-08,9.217273055917019e-10
1828,3.66892045633449e-08,4.586150570418113e-09
1829,5.401101077495696e-08,1.714635211591542e-09
1830,5.9489963177838945e-08,4.174734336004349e-09
1831,3.585977381703742e-08,1.5591206103948707e-09
1832,1.7588959622116818e-08,5.411987746839486e-09
1833,2.20088942626262e-08,1.1583628500844156e-09
1834,4.480574844478724e-08,6.534171426153534e-09
1835,3.403389570166837e-08,8.31939672707449e-09
1836,3.49478987970997e-08,1.2769425516978572e-08
1837,3.75726116885744e-08,4.174734336004349e-09
1838,2.0830134062066463e-08,6.312161904276081e-09
1839,2.6567605004856887e-08,1.3982950353153e-09
1840,2.4841785517537573e-08,2.5478754661634184e-09
1841,2.6966304744746594e-08,1.926164561183441e-09
1842,2.0124794275488966e-08,2.0124794275488966e-08
1843,2.7762482091020502e-08,8.269675610961258e-09
1844,5.43367555394525e-08,4.9397050894128824e-09
1845,2.3436957263811564e-08,6.138250796539069e-09
1846,2.6930706553685013e-08,2.9272506640865004e-09
1847,1.9954928376364478e-08,0.0
1848,6.033916122305527e-08,4.02261068899179e-09
1849,2.262441967104678e-08,2.513824481908955e-09
1850,3.733947906425783e-08,0.0
1851,5.4175284702751014e-08,2.579775504329973e-09
1852,3.450589147746541e-08,1.9531636308300904e-09
1853,4.478948767427937e-08,5.971931837933653e-10
1854,4.9878380536938494e-08,5.195664454227256e-10
1855,3.8209947206269135e-08,5.306937111981824e-10
1856,5.2807330064297275e-08,7.765783571755946e-09
1857,4.051652524594829e-08,2.4407544874094356e-09
1858,4.4532452392331834e-08,5.872411001917044e-09
1859,3.666364989385329e-08,1.018434669930457e-09
1860,4.622955884769908e-08,3.661747127736703e-09
1861,3.678451676591976e-08,2.8295783494058924e-09
1862,4.337266901188741e-08,2.2589932147099034e-09
1863,3.7459656709870615e-08,1.048870412745373e-08
1864,3.548098703731739e-08,7.1920918109924514e-09
1865,4.9421867487353666e-08,2.3534221238463715e-09
1866,2.5301186923343266e-08,1.9462451650298362e-09
1867,4.998396008204509e-08,3.88224918879132e-09
1868,2.6181332657415624e-08,1.4819622196071691e-09
1869,4.981189505315342e-08,3.4184632902167778e-09
1870,6.078091985273204e-08,1.1468097582678638e-09
