year,avaient_VERB enseigné_VERB,avaient_VERB renseigné_VERB
1800,4.087413785214267e-08,0.0
1801,4.7623650800687756e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,2.145373123596528e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,2.842877755426798e-08,0.0
1806,5.187004603612877e-08,0.0
1807,8.256169792275614e-08,0.0
1808,3.172503681980743e-08,0.0
1809,1.219876537561504e-07,0.0
1810,9.594519667643908e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,4.026038169513413e-08,0.0
1814,4.090680150170556e-08,0.0
1815,1.0249449644561537e-07,0.0
1816,1.1356259221884102e-07,0.0
1817,1.1832237589715078e-07,0.0
1818,7.867976847819591e-08,0.0
1819,1.0765091928988113e-07,0.0
1820,1.8986369809681491e-07,0.0
1821,1.1340711836282935e-07,0.0
1822,1.0526896687679255e-07,0.0
1823,7.115534828017189e-08,0.0
1824,5.9789897477458e-08,0.0
1825,9.774041842547376e-08,0.0
1826,1.0569581121444571e-07,0.0
1827,8.572063592282575e-08,0.0
1828,7.429564163885516e-08,0.0
1829,1.0716470200122785e-07,0.0
1830,5.5315229730013016e-08,1.0436835840010872e-09
1831,2.2451337144957506e-07,0.0
1832,8.659180394943178e-08,4.058990921151917e-09
1833,6.486831694019202e-08,0.0
1834,8.58776871837108e-08,0.0
1835,9.983276072489389e-08,0.0
1836,1.397915951883988e-07,2.688300027031687e-09
1837,1.3428729062070488e-07,0.0
1838,1.2687445405390463e-07,0.0
1839,1.2654570014092315e-07,6.9914751765765e-10
1840,1.3248951802324882e-07,0.0
1841,1.823435837877696e-07,0.0
1842,1.25444557852461e-07,0.0
1843,2.3627644907264767e-07,5.906911071384968e-10
1844,1.5971713196449855e-07,2.195424508855126e-09
1845,1.61268587817176e-07,1.674068439427856e-09
1846,1.3289718481246382e-07,2.9272506640865004e-09
1847,1.9954927665821742e-07,5.393223645455691e-10
1848,1.2791902292974555e-07,0.0
1849,1.2736710175431654e-07,5.865590679832167e-09
1850,1.792294881397538e-07,5.431196825611551e-09
1851,2.1412137130027986e-07,6.449438760824933e-10
1852,1.8229526688173792e-07,6.510545436100301e-10
1853,1.4690952809814917e-07,5.971931837933653e-10
1854,1.2261767778909416e-07,0.0
1855,2.2236066854475212e-07,0.0
1856,1.4910304457771417e-07,0.0
1857,1.4595711661513633e-07,4.393358121745905e-09
1858,1.5415079701597278e-07,1.9574704079872163e-09
1859,1.3545181332119682e-07,1.3748867822016564e-08
1860,1.5150479271142103e-07,4.577183909670879e-10
1861,1.5374041595350718e-07,1.4147891747029462e-09
1862,1.5225613481106848e-07,0.0
1863,1.6881818964975537e-07,0.0
1864,1.3712921997921512e-07,1.4384183844029508e-09
1865,1.5956202048528212e-07,1.4120533631256649e-09
1866,1.3088498462821008e-07,1.9462451650298362e-09
1867,9.317398053099168e-08,9.7056229719783e-10
1868,9.978545278954698e-08,2.4699371437009177e-09
1869,1.250180901024578e-07,4.883519144627257e-10
1870,2.08145976898777e-07,5.734048791339319e-10
1871,1.1046024184224734e-07,0.0
1872,1.4150774063637073e-07,1.2094678591978436e-09
1873,8.08110627303904e-08,5.986004469882289e-10
1874,1.2606425059402682e-07,1.0156835372754358e-08
1875,1.1214193307296227e-07,1.1443054281912168e-09
1876,1.1729268578619667e-07,0.0
1877,1.1132668475966057e-07,1.2369631985365004e-09
1878,1.0024886876180972e-07,4.831270938865373e-09
1879,1.4540194115397753e-07,2.443730107160036e-09
1880,1.0910338943403985e-07,3.2089231272180996e-09
1881,8.855084843162331e-08,4.183504653809678e-09
1882,1.0448954412822786e-07,2.6621540527571597e-09
1883,9.352621788139004e-08,6.319338941018771e-10
1884,7.790002598540013e-08,9.902545450302114e-09
1885,8.314869859304963e-08,4.511945039809007e-09
1886,8.905779935730607e-08,3.2267319927115068e-09
1887,1.0185122079064968e-07,5.223139698529167e-09
1888,9.764546859969414e-08,9.510921827882157e-09
1889,9.523007804546069e-08,1.2530273707511697e-08
1890,8.127439343752485e-08,8.520702365899524e-09
1891,6.69293100941104e-08,7.0116419337296065e-09
1892,1.0405730677121028e-07,1.1283322720601063e-08
1893,8.437030629693254e-08,7.390100087434348e-09
1894,7.309785843290229e-08,1.8904617871129403e-09
1895,7.583454220139174e-08,6.018614495673091e-09
1896,9.31730568254352e-08,4.1279202278587945e-09
1897,9.788878685412783e-08,1.806281169081103e-08
1898,5.941272718246182e-08,2.8291773368493978e-09
1899,6.135611840818456e-08,1.492446166651007e-08
1900,8.565237408220128e-08,7.26747462209687e-09
1901,1.005972976031444e-07,1.4530721514915967e-08
1902,6.530677865157486e-08,1.5221880644844532e-08
1903,6.858279988364302e-08,1.296052865029651e-08
1904,7.739460272659926e-08,2.579820090886642e-08
1905,7.999176432349486e-08,1.8062657147766004e-08
1906,9.979717674468702e-08,1.9033482345776065e-08
1907,8.794262384981266e-08,1.2857108266928208e-08
1908,9.233411191189589e-08,2.553922229253658e-08
1909,9.186642557779123e-08,1.5952851484257735e-08
1910,8.604082779584132e-08,1.0153886620400954e-08
1911,9.470265638356068e-08,5.852411444351446e-09
1912,9.42905273859651e-08,5.730363294986773e-09
1913,1.1507487585049603e-07,4.772690687104841e-09
1914,8.772734361173207e-08,1.1384464038144415e-08
1915,1.0484878032457345e-07,2.1205371680821372e-08
1916,1.483307414673618e-07,2.6369908923129515e-08
1917,6.360526327853222e-08,1.973956464951243e-08
1918,1.2175559049865115e-07,1.378365155346728e-08
1919,9.760319130691641e-08,1.4732557396257562e-08
1920,1.2948515859534382e-07,1.0601124422748853e-08
1921,1.340376343250682e-07,7.572747429129834e-10
1922,1.150957942286368e-07,2.1396012073182646e-08
1923,1.2845296737395984e-07,2.1231896241147297e-08
1924,8.379555538340355e-08,1.2891624656674594e-08
1925,9.458432970177455e-08,9.898360353588487e-09
1926,9.808601930672012e-08,1.114613823460786e-08
1927,1.2152655415320623e-07,7.804457524684949e-09
1928,9.255093402771308e-08,9.14083297942625e-09
1929,1.1140406286358484e-07,1.2254447234738564e-08
1930,1.0608639655629304e-07,1.2604324695075775e-08
1931,1.3344266847070685e-07,1.4826963656844327e-08
1932,1.0849941389778905e-07,8.767629289252454e-09
1933,1.0782422776856038e-07,1.1470662641954732e-08
1934,7.7880272897346e-08,9.585264137967897e-09
1935,8.617164581892212e-08,4.787313656606784e-09
1936,7.396075574206407e-08,1.576212937948185e-08
1937,8.561960385122802e-08,8.813782592653752e-09
1938,9.723910920911294e-08,5.186085783037697e-09
1939,9.788192301130039e-08,4.588215141154706e-09
1940,1.0903866609623947e-07,5.0715658339584024e-09
1941,8.264207451702532e-08,8.854508237732261e-09
1942,1.1226583751522412e-07,6.068423541449874e-09
1943,9.00002916637277e-08,1.1612940831184915e-08
1944,1.124615138792251e-07,0.0
1945,1.1110370934375169e-07,4.357008087652048e-09
1946,1.0580039599972224e-07,1.1136883415474585e-08
1947,1.06095754404123e-07,4.7683483828109274e-09
1948,7.175445659868274e-08,6.523132700664291e-09
1949,5.988375306742455e-08,4.908504269707237e-09
1950,8.933703554703243e-08,8.508289184305795e-09
1951,9.488647378930182e-08,6.396841278899501e-09
1952,6.85412260281737e-08,9.490323193972472e-09
1953,4.955960619668076e-08,1.4005975934594517e-08
1954,1.0456613352971544e-07,1.2704297169818801e-08
1955,7.508486277174597e-08,8.447047505910632e-09
1956,8.372295923209094e-08,8.72114114258693e-09
1957,8.835037590415595e-08,1.7670075402875796e-09
1958,6.286904863372911e-08,1.1581140491045971e-08
1959,8.680837737529146e-08,6.200598257066758e-09
1960,8.028166575968498e-08,1.2457499920515147e-08
1961,6.670232721717184e-08,4.16889545107324e-09
1962,6.84931293903901e-08,6.341956293454132e-09
1963,9.505098574891235e-08,3.879631726988464e-09
1964,6.509846173230471e-08,8.517555549758526e-09
1965,7.66086074577288e-08,1.2585699593614663e-08
1966,9.250254606740782e-08,8.308612464702492e-09
1967,7.691323844483122e-08,2.465167847631733e-09
