year,faut_VERB apporter_VERB,faut_VERB rapporter_VERB
1800,1.7292904885835014e-07,1.4903339433658402e-06
1801,2.7859834972332465e-07,1.9573321878851857e-06
1802,3.5805442166747525e-07,1.5015907592896838e-06
1803,3.6276310311222915e-07,1.525165316706989e-06
1804,2.644880510160874e-07,1.4485046904155752e-06
1805,2.302730877090653e-07,1.1513654953887453e-06
1806,2.9104859322615084e-07,1.2996327996006585e-06
1807,2.562259737715067e-07,1.0647612498360104e-06
1808,2.4246992325061e-07,1.472948042646749e-06
1809,2.1460789412230952e-07,8.290642199426657e-07
1810,3.065566147597565e-07,9.009488053379755e-07
1811,2.8329966994533606e-07,1.2284675676710322e-06
1812,3.947468201204174e-07,1.605659349479538e-06
1813,3.6521919355436694e-07,1.6219182725762948e-06
1814,4.6570821155000885e-07,1.098190296033863e-06
1815,2.939973740012647e-07,2.1739622297900496e-06
1816,4.820616368306219e-07,1.464725642108533e-06
1817,2.9113533628333244e-07,1.524179083389754e-06
1818,3.6001955550091225e-07,1.6355855905203498e-06
1819,3.260580854202999e-07,1.5464469242942869e-06
1820,3.15648406967739e-07,1.1486753237477387e-06
1821,4.161548190495523e-07,1.4101927945375792e-06
1822,3.278376539128658e-07,1.1569560456337058e-06
1823,2.8758617531821073e-07,8.489228093822021e-07
1824,3.28423396922517e-07,1.0492706223885762e-06
1825,2.4655241759319324e-07,1.1359021527823643e-06
1826,2.281267938997189e-07,1.214621079270728e-06
1827,3.0785690796619747e-07,1.0655168125595083e-06
1828,2.7792071932708495e-07,1.2070748880432802e-06
1829,3.5492948313731176e-07,1.1067970717704156e-06
1830,3.465029578819667e-07,9.967178584702197e-07
1831,2.5881402621052985e-07,1.0134283456864068e-06
1832,2.516574397759541e-07,1.129752490669489e-06
1833,2.513647245905304e-07,1.1861635584864416e-06
1834,2.9870500384276966e-07,1.1304116469545988e-06
1835,3.2672539873601636e-07,1.159421344709699e-06
1836,3.246122162181564e-07,1.1734429108400946e-06
1837,3.8616295228166564e-07,1.3303487094162847e-06
1838,2.840472745901934e-07,1.328078838014335e-06
1839,3.1951040568856115e-07,1.3088041441733367e-06
1840,3.318607753044489e-07,1.1306196938676294e-06
1841,3.3579468095013e-07,1.3014451951676165e-06
1842,3.2870499921955343e-07,1.1464425142548862e-06
1843,3.2015458373280126e-07,1.0750578667284572e-06
1844,4.2042378822770843e-07,1.001113560050726e-06
1845,3.576926133064262e-07,1.1177196483913576e-06
1846,3.27852063719547e-07,1.2177363259979757e-06
1847,4.222894176564296e-07,9.772521707418491e-07
1848,3.218088693301979e-07,1.0901275118158082e-06
1849,4.1394309846509714e-07,1.1538454600668047e-06
1850,3.6932138414158544e-07,1.0421108527225442e-06
1851,2.799056346702855e-07,1.0196562243436347e-06
1852,2.5195811304001836e-07,1.0612188816594426e-06
1853,3.4876080690082745e-07,1.3042698583376477e-06
1854,3.569421380689164e-07,1.0141936854779487e-06
1855,3.1682415624345595e-07,1.1802628705481766e-06
1856,3.4272991911166173e-07,9.624394579077489e-07
