year,voulant_VERB ajouter_VERB
1800,1.8864987794131594e-08
1801,4.524246932646747e-08
1802,4.4756802708434407e-08
1803,2.1453731902099094e-08
1804,0.0
1805,3.4114532976303735e-08
1806,5.76333825108577e-09
1807,3.985737118128441e-08
1808,3.852325836106729e-08
1809,3.162642681076022e-08
1810,2.8081521108447305e-08
1811,3.5099073869560016e-08
1812,2.9339290108509886e-08
1813,5.751483289628823e-09
1814,8.181360477976796e-08
1815,2.1577788444915313e-08
1816,1.3905623319487859e-08
1817,1.2454987263765815e-08
1818,5.722165141719415e-08
1819,7.142224411893494e-08
1820,3.0852851828910843e-08
1821,4.141825171721791e-08
1822,3.208197085768916e-08
1823,3.656594316225892e-08
1824,3.536867154707579e-08
1825,3.258013947515792e-08
1826,6.077508885038441e-08
1827,5.7147094167930845e-08
1828,3.8523666034961934e-08
1829,3.857929353756617e-08
1830,4.696576105800432e-08
1831,1.2472964883158966e-08
1832,3.5177920576501265e-08
1833,4.9809603552830595e-08
1834,6.254135875849443e-08
1835,4.0840674842002045e-08
1836,2.4194700909418998e-08
1837,3.409366655660051e-08
1838,3.1560810409558826e-08
1839,4.334714542864049e-08
1840,2.3567847673433562e-08
1841,2.632424811466194e-08
1842,5.366612176871399e-08
1843,3.485077559872707e-08
1844,1.920996517412732e-08
1845,5.3012166656429827e-08
1846,2.810160659727501e-08
1847,3.3977308966370856e-08
1848,2.172209923045898e-08
1849,2.597618720123762e-08
1850,4.820187271548093e-08
1851,2.3862923193007646e-08
1852,1.95316360862563e-08
1853,2.20961471342207e-08
1854,1.6106559863615644e-08
1855,2.5473298137512757e-08
1856,3.365172973612829e-08
1857,2.538384707984065e-08
1858,2.4468379766773296e-08
1859,3.768208323151612e-08
1860,2.5632230560290736e-08
1861,3.301174711367594e-08
1862,4.47280652515758e-08
1863,2.796987619291258e-08
1864,3.5001514575583315e-08
1865,2.447559044327363e-08
1866,1.556996132023869e-08
1867,1.261730986357179e-08
1868,9.385760724178738e-09
1869,1.7092317561306913e-08
1870,2.064257564882155e-08
1871,2.7615060904651045e-08
1872,1.9351485636143195e-08
1873,1.6760812737715014e-08
1874,2.5093358502203955e-08
1875,2.5174719198162165e-08
1876,2.539326171557832e-08
1877,9.895705366247398e-09
1878,1.751335776400964e-08
1879,1.649517811230794e-08
1880,2.6954953824542827e-08
1881,1.1853262871230896e-08
1882,6.655385131892899e-09
1883,1.8958016934078614e-08
1884,2.1125431182156262e-08
1885,9.023890079618013e-09
1886,8.38950331427668e-09
1887,8.4876022321545e-09
1888,9.510921605837552e-09
1889,1.4409814397264853e-08
1890,1.835228202740069e-08
1891,1.8485238229004608e-08
1892,5.641661138255927e-09
1893,1.847524933040745e-08
1894,6.9316934414587195e-09
1895,1.3240952112525406e-08
1896,1.2973463636711813e-08
1897,1.2236098356765979e-08
1898,1.8106735888423486e-08
1899,4.4220627160029835e-09
1900,2.8031686971630165e-08
1901,1.6207343245255856e-08
1902,1.3748795213430753e-08
1903,8.640351989441797e-09
1904,1.827372564378038e-08
1905,5.676835002077496e-09
1906,1.2346042410626978e-08
1907,1.645709940545359e-08
1908,1.2769611368312894e-08
1909,1.1552065082298668e-08
1910,6.412980813053082e-09
1911,7.44852390877071e-09
1912,1.1981668990301841e-08
1913,2.6514948014977335e-09
1914,1.0714789944188396e-08
1915,8.246533234057551e-09
1916,1.2086207812345151e-08
1917,1.864292187292449e-08
1918,3.44591288836682e-09
1919,1.2890987832747669e-08
1920,1.817335615328375e-08
1921,1.817459427400081e-08
1922,4.426761179843197e-09
1923,8.492758496458919e-09
1924,3.867487219366694e-09
1925,2.1996355847875293e-09
1926,4.458455382660986e-09
1927,8.919380012351041e-09
1928,1.1426041446327417e-08
1929,1.4482527843640014e-08
1930,1.2604324250986565e-08
1931,2.2810713318222042e-09
1932,3.287861094491973e-09
1933,6.882397318719313e-09
1934,1.0783422155213884e-08
1935,9.574627313213568e-09
1936,1.2124714565686645e-09
1937,2.5182236296217297e-09
1938,2.5930428915188486e-09
1939,1.070583532936098e-08
1940,1.0143131667916805e-08
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,2.322588166236983e-08
1944,3.2131861615880553e-09
1945,1.089252021913012e-08
1946,8.352662561605939e-09
1947,5.960435700558264e-09
1948,1.0871887834440486e-09
1949,0.0
1950,9.571825110299415e-09
1951,5.330700769690111e-09
1952,7.381362632230548e-09
1953,2.1547654771580937e-09
1954,6.840775279570721e-09
1955,3.754243138587299e-09
1956,1.3081712602058815e-08
1957,2.6505113104313693e-09
1958,4.136121722897457e-09
1959,4.650448581777766e-09
1960,7.612916630428401e-09
1961,5.55852741612739e-09
1962,5.073564957047694e-09
1963,1.939815863494232e-09
1964,6.083968218106861e-09
1965,2.736021686988721e-09
1966,7.200797402795445e-09
1967,1.0846738118797106e-08
1968,6.737123525724087e-09
1969,1.0446043141598693e-08
1970,6.898087351325799e-09
1971,9.762954888969944e-09
1972,6.669190977248718e-09
1973,4.410563136936219e-09
1974,3.3753429495853027e-09
1975,8.567219822452898e-09
1976,6.856232415142216e-09
1977,3.526069214387917e-09
1978,6.534650376366358e-09
1979,2.925986564150662e-09
1980,1.0801786354264209e-08
1981,2.5302198114474095e-09
1982,4.345251602977385e-09
1983,1.2630632095778083e-09
1984,2.8995042478108246e-09
1985,1.2031116103372597e-09
1986,4.7955883708539204e-09
1987,5.499735167280306e-09
1988,5.3968984281560495e-09
1989,6.036934174780129e-09
1990,4.90378582185258e-09
1991,6.4476117778156095e-09
1992,2.2039776670368383e-09
1993,7.754890063438324e-09
1994,3.6924485691258724e-09
1995,3.2534704930142766e-09
1996,3.736664533349199e-09
1997,3.3564262480467733e-09
1998,5.244941925219848e-09
1999,2.7421206694189237e-09
2000,4.418031274155965e-09
2001,3.943090742808408e-09
2002,5.6955877791864395e-09
2003,3.7502307925763034e-09
2004,3.0833537945085254e-09
2005,5.404499514582994e-09
2006,8.235779613841032e-09
2007,4.393927360846206e-09
2008,6.386159684401704e-09
2009,4.76819250749827e-09
2010,3.30665506087513e-09
2011,3.0591774669019856e-09
2012,5.1063788752969685e-09
2013,3.6258624991347688e-09
2014,4.76397932214212e-09
2015,5.984753692622746e-09
2016,8.078226365615393e-09
2017,4.024978239591803e-09
2018,5.679226700028295e-09
2019,8.163160591934115e-09
