year,doivent_VERB avoir_VERB,doivent_VERB ravoir_VERB
1800,8.504965080646798e-06,3.144164484325529e-09
1801,8.188886567950249e-06,2.3811825844433088e-09
1802,9.094582310353871e-06,0.0
1803,8.283091119665187e-06,0.0
1804,8.317778338096105e-06,0.0
1805,8.594019163865596e-06,0.0
1806,8.426000931649469e-06,0.0
1807,8.498161150782835e-06,0.0
1808,7.151729732868262e-06,0.0
1809,8.507508937327657e-06,0.0
1810,8.389354661630932e-06,0.0
1811,7.0148007580428384e-06,0.0
1812,1.0346100680180825e-05,0.0
1813,8.351154065167066e-06,0.0
1814,7.010796707618283e-06,0.0
1815,6.395116997737205e-06,0.0
1816,8.519511538906954e-06,0.0
1817,5.96126847085543e-06,0.0
1818,6.230007329577347e-06,0.0
1819,7.073907454469008e-06,0.0
1820,6.334327736112755e-06,0.0
1821,6.239363756321836e-06,0.0
1822,6.922687589394627e-06,0.0
1823,5.797184257971821e-06,0.0
1824,5.80467303734622e-06,0.0
1825,6.363693501043599e-06,0.0
1826,5.869640972377965e-06,0.0
1827,6.640123501711059e-06,0.0
1828,6.560029760294128e-06,0.0
1829,6.000365829095244e-06,0.0
1830,6.957194727874594e-06,0.0
1831,6.654326625721296e-06,0.0
1832,7.235827524709748e-06,0.0
1833,6.1543819356302265e-06,0.0
1834,6.3017419051902834e-06,0.0
1835,6.0050920183130074e-06,0.0
1836,5.8920813899021596e-06,0.0
1837,5.888462965231156e-06,1.0436836284100082e-08
1838,6.015490271238377e-06,5.049729523420865e-09
1839,5.963728199276375e-06,0.0
1840,5.839093773829518e-06,0.0
1841,5.631462954625022e-06,0.0
1842,5.957610028417548e-06,1.2745703159566801e-08
1843,5.8903715398628265e-06,0.0
1844,5.782199423265411e-06,7.1351298203126134e-09
1845,5.468065410241252e-06,0.0
1846,5.8146906667388976e-06,0.0
1847,5.985938969388371e-06,0.0
1848,5.695212621503742e-06,0.0
1849,5.527900157176191e-06,1.005529792763582e-08
1850,5.7115821618936025e-06,0.0
1851,5.156971383257769e-06,6.449438760824933e-10
1852,5.724722541344818e-06,0.0
1853,5.001492809242336e-06,5.971931837933653e-10
1854,5.10993595526088e-06,5.195664454227256e-10
1855,5.0421208470652346e-06,5.306937111981824e-10
1856,5.46245246368926e-06,0.0
1857,4.712609097623499e-06,0.0
1858,4.662205355998594e-06,0.0
1859,4.634895958588459e-06,5.092173349652285e-10
1860,4.583134341373807e-06,0.0
1861,4.880079359281808e-06,0.0
1862,4.8771662477520294e-06,0.0
1863,4.854771304962924e-06,0.0
1864,4.668147084885277e-06,0.0
1865,5.041971689934144e-06,3.294791106611683e-09
1866,4.62135903944727e-06,4.865612912574591e-10
1867,4.63686137663899e-06,9.7056229719783e-10
1868,4.598034593072953e-06,0.0
1869,4.632994659914402e-06,4.883519144627257e-10
1870,4.689878551289439e-06,5.734048791339319e-10
1871,4.857064141106093e-06,1.0621177271019633e-09
1872,4.75986098535941e-06,6.047339295989218e-10
1873,4.995320523448754e-06,0.0
1874,4.602241460816003e-06,0.0
1875,4.265970801498042e-06,0.0
1876,4.446843831829028e-06,0.0
1877,4.637993697542697e-06,0.0
1878,4.6241302698035724e-06,6.039088673581716e-10
1879,4.338231974543305e-06,8.55305515301552e-09
1880,4.206256562611088e-06,0.0
1881,4.592790901369881e-06,0.0
1882,4.3113586798426695e-06,0.0
1883,4.237116627336945e-06,0.0
1884,4.305626589484746e-06,6.601696966868076e-10
1885,4.531926606432535e-06,0.0
1886,4.473541139304871e-06,0.0
1887,4.64337108496693e-06,0.0
1888,4.1334465095133055e-06,0.0
1889,4.305401944293408e-06,0.0
1890,4.586759587255074e-06,6.554386478008212e-10
1891,4.7946882659744006e-06,0.0
1892,4.103368155483622e-06,6.268512375839919e-10
1893,4.2283686525479425e-06,6.158416554491453e-10
1894,4.299540250940481e-06,0.0
1895,4.1847424654406495e-06,1.2037228991346183e-09
1896,4.051259111292893e-06,1.179405795248556e-09
1897,4.192320375295822e-06,1.1653427112179315e-09
1898,4.49386561740539e-06,6.224190496340043e-09
1899,4.409349458001088e-06,1.1055156790007459e-09
1900,4.0775721572572365e-06,5.191053142894475e-10
1901,4.080897269886918e-06,0.0
1902,4.234137577441288e-06,1.4730852093691738e-09
1903,4.0075033211905975e-06,0.0
1904,4.184683348285034e-06,0.0
1905,4.230790182191413e-06,5.160759042333041e-10
1906,4.150842414674116e-06,0.0
1907,4.086503395228647e-06,0.0
1908,4.10199208999984e-06,2.9468334439286537e-09
1909,4.219254606141476e-06,1.6502950117569526e-09
1910,4.216534762235824e-06,0.0
1911,4.0349718801735435e-06,0.0
1912,4.061785602971213e-06,0.0
1913,4.169740805082256e-06,0.0
1914,4.028091552754631e-06,0.0
1915,3.818145160039421e-06,0.0
1916,3.481926796666812e-06,0.0
1917,4.011518285551574e-06,0.0
1918,3.5515874969860306e-06,0.0
1919,3.870058662869269e-06,0.0
1920,3.8489652069984e-06,0.0
1921,3.936313987651374e-06,0.0
1922,3.812917157119955e-06,0.0
1923,3.7994477679603733e-06,0.0
1924,3.480738541838946e-06,1.289162443462999e-09
1925,3.783373131227563e-06,0.0
1926,3.6570479551301105e-06,0.0
1927,3.711576937348582e-06,0.0
