year,faudrait_VERB envoyer_VERB,faudrait_VERB renvoyer_VERB
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,1.755305234496518e-08,5.851017448321727e-09
1804,7.4155526164076946e-09,1.730295728918918e-08
1805,2.842877711017877e-09,0.0
1806,0.0,5.76333825108577e-09
1807,5.693910232196231e-09,1.9928686256776018e-08
1808,2.039466551195801e-08,9.064295980465431e-09
1809,0.0,4.518061036407062e-09
1810,1.1700633351097167e-08,1.1700633351097167e-08
1811,4.262030373070047e-08,5.0141535368197765e-09
1812,2.400487453257938e-08,3.467370746079723e-08
1813,7.764502640839055e-08,2.0130190847567064e-08
1814,1.5733386149463513e-08,0.0
1815,3.236668177919455e-08,5.394447111228828e-09
1816,1.1588019432906549e-08,4.6352077731626196e-09
1817,2.9580593974287694e-08,0.0
1818,8.344824387052086e-09,4.768470951432846e-09
1819,1.449147024601416e-08,5.175524897538253e-09
1820,2.7292905713238724e-08,9.493184904840746e-09
1821,1.3806083387635226e-08,4.930744257336528e-09
1822,2.0051231786055723e-08,3.0076847679083585e-09
1823,2.8659792761231984e-08,5.929612356680991e-09
1824,3.9579230559638745e-08,2.0210670470532932e-08
1825,1.584979791857677e-08,1.7610886082763955e-09
1826,3.3470339388941284e-08,1.0569580766173203e-08
1827,2.488663675137559e-08,1.1982455028203276e-08
1828,4.494427585655103e-08,1.834460228167245e-08
1829,6.77280880267972e-08,2.1432940755516938e-08
1830,2.400472176589119e-08,1.1480519646056564e-08
1831,2.6505050598757407e-08,1.5591206548037917e-08
1832,6.764984572527055e-09,2.841293600397421e-08
1833,3.4750886612755494e-08,1.3900354645102198e-08
1834,3.267085801894609e-08,7.467624740797874e-09
1835,1.2100940693926532e-08,2.7983425354705105e-08
1836,1.8818100855355624e-08,6.048674894287842e-09
1837,3.2006298056330706e-08,1.0436836284100082e-08
1838,3.029837714052519e-08,1.64116205070286e-08
1839,2.6567605004856887e-08,4.9639474752893875e-08
1840,5.159447979963261e-08,9.554533164646273e-09
1841,1.9903700021473014e-08,7.704658244733764e-09
1842,4.159124245006751e-08,2.0124794275488966e-08
1843,2.4218335781256428e-08,2.9534556134080958e-08
1844,1.701453911095996e-08,2.6345094994439933e-08
1845,3.348136701220028e-08,3.906159662392383e-08
1846,1.7563504428608212e-08,1.3465353276842507e-08
1847,2.480882876909618e-08,2.534815024546333e-08
1848,3.057184372323718e-08,5.63165514222419e-08
1849,5.865590679832167e-09,5.614208120618969e-08
1850,3.869727649430388e-08,3.733947906425783e-08
1851,1.2898877521649865e-08,1.870337307252612e-08
1852,1.8880582430824688e-08,8.463708844885787e-09
1853,3.762317035693741e-08,1.0749477752369785e-08
1854,4.676098086520142e-08,1.2469595134234623e-08
1855,2.4942604426314574e-08,6.8990182455763716e-09
1856,2.5368226630462232e-08,1.1389816201301528e-08
1857,3.270611159678083e-08,1.610898081594314e-08
1858,3.7191938417890924e-08,1.6149130033227266e-08
1859,3.258990943777462e-08,1.476730293603623e-08
1860,6.133426211363258e-08,1.2816115280145368e-08
1861,4.904602235455968e-08,7.073945429425521e-09
1862,8.313094923551034e-08,1.3102160245637151e-08
1863,4.545104914654985e-08,1.2986014041871385e-08
1864,3.7398876884253696e-08,1.9178912680217763e-08
1865,7.060266682401561e-08,2.6829013677343028e-08
1866,4.7683005988119476e-08,1.1190909532388105e-08
1867,9.365925990323376e-08,1.455843445796745e-08
1868,5.977247496957716e-08,1.6301584082611953e-08
1869,7.276443625414686e-08,4.0533208789383934e-08
1870,3.039045992636602e-08,2.2936195165357276e-08
1871,3.3987767267262825e-08,2.973929724703339e-08
1872,3.8702971494330995e-08,5.019291648977742e-08
1873,1.97538145840781e-08,2.6937019725892242e-08
1874,2.4495896866483235e-08,3.0470506118263074e-08
1875,2.803548326824057e-08,1.7736734747586524e-08
1876,3.506688628363008e-08,3.143927784776679e-08
1877,4.08197848855707e-08,2.8450154232473324e-08
1878,4.3481438893877566e-08,1.69094480639842e-08
1879,2.504823370941267e-08,1.9549840857280287e-08
1880,2.8238524407697696e-08,2.1178893305773272e-08
1881,6.623881887435346e-08,3.486253774553916e-08
1882,4.3925542314582344e-08,2.0631693686823382e-08
1883,6.256145468341856e-08,3.222862687835004e-08
1884,5.413391335196138e-08,2.8387297845711146e-08
1885,3.287274097374393e-08,1.4824961702686323e-08
1886,6.388929563172496e-08,1.613365974151293e-08
1887,3.525619263200497e-08,2.9380160526670807e-08
1888,2.599652049184442e-08,1.775372027168487e-08
1889,4.385595886446936e-08,1.8795409673089125e-08
1890,3.6704562944578356e-08,2.0318598359381213e-08
1891,3.314594465564369e-08,2.1672347472190268e-08
1892,5.2655504845233736e-08,2.570090096298827e-08
