year,auraient_VERB appelé_VERB,auraient_VERB rappelé_VERB
1800,6.288328968651058e-09,9.432493897065797e-09
1801,1.1905912700171939e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,5.851017448321727e-09,3.900678446910888e-09
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,2.842877711017877e-09
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,3.3991110370834576e-08,0.0
1809,1.129515236897305e-08,0.0
1810,4.680253518074551e-09,1.1700633351097167e-08
1811,7.521229861140455e-09,1.504245972228091e-08
1812,8.00162425207418e-09,0.0
1813,5.463909147351842e-08,0.0
1814,9.440030979135372e-09,0.0
1815,1.3486118000116676e-08,1.8880564667256294e-08
1816,3.0128852301913867e-08,0.0
1817,2.9580593974287694e-08,1.71256075987003e-08
1818,5.96058882251782e-08,2.384235475716423e-09
1819,1.7596784473994376e-08,2.070210003424222e-09
1820,4.746592452420373e-08,2.254631326081835e-08
1821,3.254291058851777e-08,1.2819934447350079e-08
1822,2.606660132187244e-08,4.010246357211145e-09
1823,4.0519015698237126e-08,8.894418535021487e-09
1824,3.705289586264371e-08,3.115811608722652e-08
1825,3.258013947515792e-08,1.7610886082763955e-09
1826,4.932471142637951e-08,1.2331177856594877e-08
1827,4.885154680778214e-08,2.6730091917670507e-08
1828,2.2013523448549677e-08,1.4675682002973645e-08
1829,4.115124596637543e-08,3.429270423183084e-09
1830,5.218418053232199e-08,7.305785310052215e-09
1831,1.1693404644574912e-07,9.354723218280014e-09
1832,2.3000948701223933e-08,1.352996914505411e-08
1833,4.2859426230279496e-08,1.7375443306377747e-08
1834,2.42697808516823e-08,1.6802156110884425e-08
1835,2.0420337421001022e-08,5.294161553592858e-09
1836,2.8899226123257904e-08,5.376600054063374e-09
1837,2.99189295560609e-08,4.174734336004349e-09
1838,2.209256599883247e-08,3.1560809521380406e-09
1839,1.4682098203877558e-08,1.0487212875887053e-08
