year,puissent_VERB approcher_VERB,puissent_VERB rapprocher_VERB
1800,9.432493897065797e-09,1.8864987794131594e-08
1801,5.2386017301842e-08,1.1905912700171939e-08
1802,3.5805442166747525e-08,1.1189200677108602e-08
1803,5.655983770225248e-08,5.851017448321727e-09
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,1.7057265822018053e-08
1806,1.152667650217154e-08,5.4751712497136396e-08
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,1.1330369531492579e-08,6.798221985349073e-09
1809,0.0,2.259030518203531e-09
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,2.8320094713762956e-08,0.0
1815,2.966945977789237e-08,0.0
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,6.227493631882908e-09,2.3353100786493997e-08
1818,2.741870730460505e-08,3.5763532135746345e-09
1819,1.8631890696951814e-08,7.24573512300708e-09
1820,3.5599443393152796e-09,2.1359666035891678e-08
1821,1.2819934447350079e-08,2.9584463767662328e-09
1822,3.5089655625597516e-08,2.0051231786055723e-09
1823,5.929612356680991e-09,2.174191138237802e-08
1824,2.189489300974401e-08,5.894778887238772e-09
1825,1.8491430608946757e-08,1.7610886082763955e-09
1826,1.5854372037438225e-08,8.80798456392995e-09
1827,1.2904182611350734e-08,1.8434546111834038e-09
1828,1.834460228167245e-08,0.0
1829,1.628903412154159e-08,6.001223074036943e-09
1830,1.2524203008013046e-08,5.218417697960831e-09
1831,9.354723218280014e-09,3.1182412207897414e-09
1832,2.0294953273491956e-08,8.117981842303834e-09
1833,9.266902800675325e-09,6.950177322551099e-09
1834,3.640467127752345e-08,4.667265685043276e-09
1835,3.1764969321557146e-08,2.2689263801112247e-09
1836,2.4866775305554256e-08,6.72075017860152e-09
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,1.4517972601879592e-08,5.049729523420865e-09
1839,1.0487212875887053e-08,7.690622361167243e-09
1840,4.458782232319436e-09,2.5478754661634184e-09
1841,9.630822361827995e-09,5.1364388298225094e-09
1842,1.2745703159566801e-08,7.379091560011375e-09
1843,1.063243981747064e-08,2.3627644285539873e-09
1844,1.811225303072206e-08,2.7442805805577564e-09
1845,3.9061593959388574e-09,8.37034175305007e-09
1846,2.8101606375230404e-08,9.367202125076801e-09
1847,1.5640349459999925e-08,4.853901280910122e-09
1848,1.6090443422100975e-09,4.02261068899179e-09
1849,1.6758829879393033e-09,0.0
1850,6.1100964288129944e-09,6.788996032014438e-10
1851,1.3543821175687754e-08,0.0
1852,1.6927417689771573e-08,9.114764054629632e-09
1853,1.2541057081705276e-08,2.9859659189668264e-09
1854,1.2469595134234623e-08,1.558699391779328e-09
1855,1.8574279891936385e-08,1.0613874223963649e-09
1856,6.212626857404757e-09,1.0354378465748937e-09
1857,3.4170564155999728e-09,8.298565390418844e-09
1858,9.787352261980686e-09,1.468102750479261e-09
1859,8.147477359443656e-09,4.582956236731661e-09
1860,2.0597328287408345e-08,6.865775947773045e-09
1861,1.4619487842537637e-08,2.357981809808507e-09
1862,4.517986429419807e-09,4.066187830886747e-09
1863,1.1987090431375691e-08,1.9978483312144135e-09
1864,6.233146443435089e-09,1.9178911792039344e-09
1865,5.6482134525026595e-09,6.118897832863013e-09
1866,3.8924903300596725e-09,0.0
1867,3.88224918879132e-09,0.0
1868,1.0867722721741302e-08,2.4699371437009177e-09
1869,1.0743741896135361e-08,0.0
1870,4.013834153937523e-09,0.0
1871,4.248470908407853e-09,1.0621176826930423e-08
1872,8.4662747923403e-09,6.047339295989218e-10
1873,8.380406590902112e-09,5.986004469882289e-10
1874,7.766991494406739e-09,0.0
1875,4.577221712764867e-09,0.0
1876,9.673623679873344e-09,0.0
1877,1.6699003069220453e-08,0.0
1878,8.4547240319921e-09,0.0
1879,8.55305515301552e-09,0.0
1880,1.4119262203848848e-08,5.134277003548959e-09
1881,8.367009307619355e-09,0.0
1882,7.320923423037584e-09,1.3310770263785798e-09
1883,3.791603475633565e-09,2.5277355764075082e-09
1884,1.1222884843675729e-08,5.281357573494461e-09
1885,7.7347630522695e-09,7.090199094506033e-09
1886,7.098810428374236e-09,6.453463874400711e-10
1887,5.876032105334161e-09,0.0
1888,1.1413106904001324e-08,1.268122939990235e-09
1889,9.397704836544563e-09,6.265136742733546e-10
1890,5.243509182406569e-09,1.3108772956016423e-09
1891,1.529812720946211e-08,1.9122659011827636e-09
1892,1.191017329205124e-08,4.387958441043338e-09
1893,4.310891643655168e-09,0.0
1894,7.561847148451761e-09,0.0
1895,1.2639090662958097e-08,0.0
1896,1.7691086373616827e-09,5.89702897624278e-10
1897,4.661370844871726e-09,5.2440420894583895e-09
1898,5.6583548957434e-10,1.13167097914868e-09
1899,3.8693048765026106e-09,5.527578395003729e-09
1900,1.0901211489056095e-08,1.038210628578895e-09
1901,3.912117296778206e-09,6.147612641171918e-09
1902,1.4730852093691738e-09,4.910283846193408e-10
1903,3.2401321625741275e-09,3.7801539676252105e-09
1904,5.374625189347171e-09,5.374625189347171e-10
1905,2.580379465655369e-09,5.160759042333041e-10
1906,7.201858220895474e-09,2.0576738091193647e-09
1907,5.65712765521198e-09,1.028568674676933e-09
1908,3.437972351250096e-09,0.0
1909,4.400786846048277e-09,1.1001967115120692e-09
1910,4.809735720812114e-09,5.344150677544235e-10
1911,6.384448969498635e-09,4.788336838146279e-09
1912,4.167536982180309e-09,5.209421227725386e-10
1913,3.71209285532359e-09,1.060597942803554e-09
1914,9.37544086809794e-09,1.3393487430235496e-09
1915,4.712304768617059e-09,2.3561523843085297e-09
1916,5.493730803607377e-09,5.493730803607377e-09
1917,6.57985488317081e-09,6.57985488317081e-09
1918,5.743188147278033e-09,6.89182577673364e-09
1919,2.762354567309444e-09,2.762354567309444e-09
1920,3.786115865267448e-09,4.543339038320937e-09
1921,7.572747762196741e-09,8.330022005509363e-09
1922,8.853522359686394e-09,7.377935484775833e-10
1923,4.246379248229459e-09,2.1231896241147297e-09
1924,1.289162443462999e-09,0.0
1925,4.399271169575059e-09,0.0
1926,3.343841648018042e-09,0.0
1927,1.1149224654616319e-08,0.0
1928,2.2852082448565625e-09,0.0
1929,8.912325100141061e-09,1.1140406375176326e-09
1930,4.201441416995522e-09,0.0
1931,4.5621426636444085e-09,0.0
1932,0.0,0.0
1933,9.176529758292418e-09,0.0
1934,2.3963160344919743e-09,0.0
1935,3.590485242455088e-09,0.0
1936,7.274828739411987e-09,0.0
1937,0.0,1.2591118148108649e-09
1938,0.0,0.0
1939,0.0,0.0
1940,2.5357829169792012e-09,0.0
1941,0.0,2.9515025978810172e-09
1942,6.068423541449874e-09,0.0
1943,2.9032352077962287e-09,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,6.960552134671616e-09,0.0
1947,0.0,0.0
1948,1.0871887834440486e-09,1.0871887834440486e-09
1949,2.945102384188658e-09,0.0
1950,7.444753258312176e-09,0.0
1951,2.1322803522849654e-09,0.0
1952,0.0,0.0
1953,0.0,0.0
1954,0.0,1.9545072227344917e-09
1955,1.8771215692936494e-09,0.0
1956,8.72114158667614e-10,8.72114158667614e-10
1957,3.534015080575159e-09,0.0
1958,5.790570245522986e-09,6.617794756635931e-09
1959,4.650448914844674e-09,5.425523585955716e-09
1960,4.152500121534786e-09,6.920833350854139e-10
1961,1.181187059273725e-08,0.0
1962,5.0735651235811474e-09,1.2683912808952869e-09
1963,9.052474325699222e-09,6.466053248388448e-10
1964,6.6923653285755336e-09,6.083968329129164e-10
1965,5.472043373977442e-10,1.0944086747954884e-09
1966,4.431259803538978e-09,3.3234448526542337e-09
1967,1.9721342336964653e-09,4.930335584241163e-10
1968,4.940557296606585e-09,4.4914158503495116e-10
1969,4.995933444718048e-09,4.995933444718048e-09
1970,5.978342709767048e-09,1.8394900047624674e-09
1971,9.24911525146399e-09,2.0553589941130213e-09
1972,6.156176013405457e-09,2.0520587451500205e-09
1973,8.821126051827832e-09,2.7566018356850464e-09
1974,3.937900228123681e-09,2.2502286700643026e-09
1975,5.140332159925265e-09,0.0
1976,2.856763492431469e-09,1.142705374768127e-09
1977,1.7630346071939584e-09,5.876781838942691e-10
1978,5.346532105932056e-09,1.7821774056514528e-09
1979,4.096381456264453e-09,5.851973350345929e-10
1980,5.116635559687666e-09,5.685150683554241e-10
1981,0.0,1.2651099057237047e-09
1982,4.966001831974154e-09,2.483000915987077e-09
1983,4.4207211225000265e-09,1.89459470334441e-09
1984,3.479405208395292e-09,2.3196033982486597e-09
1985,5.414002135495366e-09,3.609334831011779e-09
1986,4.196139880008332e-09,0.0
1987,4.888653482026939e-09,1.8332451112712533e-09
1988,1.798966087207532e-09,0.0
1989,2.7440609784434855e-09,1.0976244357863152e-09
1990,2.724325431913144e-09,5.44865097484859e-10
1991,2.344586080837985e-09,3.5168792322792797e-09
1992,4.4079553340736766e-09,5.509944167592096e-10
1993,5.539207315052863e-09,4.4313659408601325e-09
1994,7.384897138251745e-09,2.637463358823311e-09
1995,1.0844901643380922e-09,5.422450821690461e-10
1996,4.804283193493575e-09,1.067618438099771e-09
1997,4.315404922294874e-09,1.438468344439059e-09
1998,2.86087753487152e-09,1.9072516899143466e-09
1999,3.1991407301035224e-09,0.0
2000,7.510653432518666e-09,1.3254094488601709e-09
2001,3.5049694258049158e-09,4.3812117822561447e-10
2002,2.6287327870022636e-09,2.1906108038649563e-09
2003,1.6667691671301554e-09,1.6667691671301554e-09
2004,4.845270407116686e-09,4.404791253964646e-10
2005,7.205999352777326e-09,2.251874686720612e-09
2006,2.0589450144825605e-09,8.235779835885637e-10
2007,4.7933754743212376e-09,1.5977917877663117e-09
2008,2.1287198670449925e-09,8.514879357157668e-10
2009,5.245011536203492e-09,1.907277002999308e-09
2010,5.668551850135373e-09,1.4171379625338432e-09
2011,7.647943611743813e-09,1.1471915639660324e-09
2012,6.127654827992046e-09,6.808505426114664e-10
2013,5.29933741333366e-09,1.9523875849358774e-09
2014,4.980523993225461e-09,1.0827225782605865e-09
2015,5.098123256885856e-09,0.0
2016,4.142679976837371e-09,6.214020409345267e-10
2017,3.2702947017071438e-09,7.54683426862357e-10
2018,6.453666934191915e-09,2.5814667070633845e-10
2019,4.3366790158927415e-09,1.02039510174734e-09
