year,veulent_VERB aller_VERB
1800,3.7729972746092244e-07
1801,2.5478652787569445e-07
1802,1.8350289110458107e-07
1803,3.179052896484791e-07
1804,1.9033252840472414e-07
1805,2.0184431548386783e-07
1806,1.0662175498055149e-07
1807,9.394951661079176e-08
1808,1.2010191596800723e-07
1809,1.0843346842648316e-07
1810,1.6380887757350138e-07
1811,1.7298829391165782e-07
1812,5.3344166417446104e-08
1813,8.339650747757332e-08
1814,1.258670891957081e-07
1815,1.1598061178119679e-07
1816,1.9467873357825738e-07
1817,1.0898114055635233e-07
1818,2.1696543228699738e-07
1819,1.8424869097088958e-07
1820,1.4477106446975085e-07
1821,1.4003313708599308e-07
1822,1.3935606091308728e-07
1823,2.2334872085139068e-07
1824,2.6189661639364203e-07
1825,1.4617035049013793e-07
1826,1.559013185215008e-07
1827,1.44711179927981e-07
1828,1.990389364436851e-07
1829,1.7403547758476634e-07
1830,1.80557265139214e-07
1831,1.4967557149248023e-07
1832,1.5830063659905136e-07
1833,1.7722950929055514e-07
1834,2.1469421085384965e-07
1835,2.1630431490393676e-07
1836,1.5995385638234438e-07
1837,1.669893805456013e-07
1838,1.4770458278690057e-07
1839,1.642996636519456e-07
1840,1.490507202106528e-07
1841,1.624398748845124e-07
1842,1.395319202401879e-07
1843,1.2050098519011954e-07
1844,1.2184605679976812e-07
1845,1.350415175238595e-07
1846,1.3582443614268414e-07
1847,1.294373674909366e-07
1848,1.4481399546184548e-07
1849,1.3993623326769011e-07
1850,1.3645882290802547e-07
1851,1.754247307417245e-07
1852,1.3476828542025032e-07
1853,1.7557479736751702e-07
1854,1.6262430335700628e-07
1855,1.634536630490402e-07
1856,1.496207744366984e-07
1857,1.3570594603606878e-07
1858,1.7323613121789094e-07
1859,1.2475824462399032e-07
1860,1.1580275582900867e-07
1861,1.7543385411045165e-07
1862,1.3237699647561385e-07
1863,1.3135853293988475e-07
1864,1.462392020812331e-07
1865,1.5014833820714557e-07
1866,1.5569960964967322e-07
1867,1.3830512557433394e-07
1868,1.4375034140812204e-07
1869,1.6017942527923879e-07
1870,1.1009373679371492e-07
1871,1.2108142755096196e-07
1872,1.6811603131827724e-07
1873,1.316921043326147e-07
1874,1.0993280596949262e-07
1875,1.1443054148685405e-07
1876,1.2515251057720889e-07
1877,1.5090951421825594e-07
1878,1.1655441056745985e-07
1879,1.3440515544971277e-07
1880,1.546700900689757e-07
1881,1.7640444127664523e-07
1882,1.3377324137309188e-07
1883,1.320741773724876e-07
1884,1.1420935663863929e-07
1885,1.4502680301120563e-07
1886,1.516563941095228e-07
1887,1.214379921066211e-07
1888,1.32518849227381e-07
1889,1.0086870361192268e-07
1890,1.1994526971648156e-07
1891,1.376831590960137e-07
1892,1.1847488678995433e-07
1893,1.262475421981435e-07
1894,1.2224985823650059e-07
1895,1.6370631783502176e-07
1896,1.775005671333929e-07
1897,1.4450249352648825e-07
1898,1.8502819898458256e-07
1899,1.0557674556821439e-07
1900,1.3289096045809856e-07
1901,1.1959900803049095e-07
1902,1.2815840477742313e-07
1903,1.2906527047107375e-07
1904,1.435024898910342e-07
1905,1.5585492008085566e-07
1906,1.6615716447176965e-07
1907,1.4451390484282456e-07
1908,1.4881509002862003e-07
1909,1.4907665502050804e-07
1910,1.1115833586927693e-07
1911,1.1917637721126084e-07
1912,1.4846850149297097e-07
1913,1.394686250932864e-07
1914,1.366135649050193e-07
1915,1.4372530188211385e-07
1916,1.801943767532066e-07
1917,1.2392060000365746e-07
1918,1.297960494639483e-07
1919,1.6205812869429792e-07
1920,1.0298235508798825e-07
1921,1.0829028695980014e-07
1922,9.517536625480716e-08
1923,1.1359064444604883e-07
1924,1.5985614254532265e-07
1925,1.0448268739082778e-07
1926,8.916910587686289e-08
1927,1.3379069230268215e-07
1928,1.0054916543822401e-07
1929,1.0026365515614089e-07
1930,1.3549649224842142e-07
1931,1.0264820815564235e-07
1932,1.1288322809832607e-07
1933,7.800050383366397e-08
1934,7.548395331014035e-08
1935,1.0053358323602879e-07
1936,7.517323297179246e-08
1937,1.0954272511298768e-07
1938,9.205302120562919e-08
1939,1.0552894735837981e-07
1940,5.832300686847702e-08
1941,3.836953510472085e-08
1942,7.58552971547033e-08
1943,1.2483911859817454e-07
1944,9.639558129492798e-08
1945,1.3942425880486553e-07
1946,1.225057246756478e-07
1947,1.3828210398969532e-07
1948,9.34982367084558e-08
1949,1.3841982138274034e-07
1950,1.3294202005909028e-07
1951,1.1087858098335346e-07
1952,1.1599284022167922e-07
1953,1.3251808184122638e-07
1954,1.2313395814089745e-07
1955,1.023031259705931e-07
1956,9.942101542037562e-08
1957,9.718541349457155e-08
1958,8.603133494489157e-08
1959,9.455912675093714e-08
1960,1.2803542404071777e-07
1961,1.1186536141849501e-07
1962,1.458650018548724e-07
1963,1.319074840466783e-07
1964,1.3019692346460943e-07
1965,1.3953710720215895e-07
1966,1.5343236725584575e-07
1967,1.4741704035259318e-07
1968,1.733686474381102e-07
1969,1.4715294582856586e-07
1970,2.0510313447630324e-07
1971,2.3482476763092563e-07
1972,1.5698249455908808e-07
1973,1.576776327283369e-07
1974,1.2713792330032447e-07
1975,1.4564274408712663e-07
1976,1.6683497960912064e-07
1977,1.4515650548219128e-07
1978,1.461385465972853e-07
1979,1.8609274832215306e-07
1980,1.4895094579969737e-07
1981,1.5877130010721885e-07
1982,1.6387805601425498e-07
1983,1.3767389361873938e-07
1984,1.8382857547294407e-07
1985,1.6542784919693077e-07
1986,1.7204173730078764e-07
1987,1.6560314008984278e-07
1988,1.7270075147735042e-07
1989,1.6793653401236952e-07
1990,1.8579899574433512e-07
1991,1.8287771297309519e-07
1992,1.90093075502773e-07
1993,1.7836248389357934e-07
1994,2.0202969608362764e-07
1995,1.8490557351924508e-07
1996,1.9750940793983318e-07
1997,1.9802914152933226e-07
1998,1.8786428768180485e-07
1999,1.7138253838311357e-07
2000,1.8997535278231226e-07
2001,1.81820283273737e-07
2002,1.7743947466897225e-07
2003,1.845946826506406e-07
2004,1.9513225879563834e-07
2005,1.909589855131344e-07
2006,1.8365788889695978e-07
2007,1.941317009368504e-07
2008,2.0265413525066833e-07
2009,2.1313820752766333e-07
2010,1.9036886556023092e-07
2011,2.1490723156603053e-07
2012,2.0527643584955513e-07
2013,1.7738835822456167e-07
2014,2.000871290874784e-07
2015,2.0414658763456828e-07
2016,1.936702886951025e-07
2017,1.665334679046282e-07
2018,1.7708862287690863e-07
2019,1.982117510124226e-07
