year,faut_VERB égaler_VERB,faut_VERB régaler_VERB
1800,3.144164395507687e-08,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,7.801356893821776e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,3.458002950651462e-08,0.0
1807,4.555128185756985e-08,0.0
1808,6.345007363961486e-08,0.0
1809,2.710836710662079e-08,9.036122072814123e-09
1810,6.084329839950442e-08,0.0
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,0.0,0.0
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,2.697223555614414e-09,0.0
1816,6.952811304472561e-08,0.0
1817,7.784366928831332e-09,1.556873407970727e-09
1818,1.4305412854298538e-08,0.0
1819,8.280840013696888e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,0.0,1.97229765852569e-09
1822,4.511527151862538e-08,4.010246357211145e-09
1823,1.3835761869529506e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,7.924898959288385e-09,8.805443041381977e-10
1826,2.4662355713189754e-08,1.7615968683770689e-09
1827,4.608636583469661e-09,0.0
1828,5.503380862137419e-09,0.0
1829,3.429270423183084e-09,0.0
1830,1.461157062010443e-08,8.349468672008697e-09
1831,2.8064171431196883e-08,0.0
1832,1.7588959622116818e-08,1.3529969367098715e-09
1833,5.791814139399776e-09,0.0
1834,5.600718555598405e-09,9.334530925997342e-10
1835,4.5378527602224494e-09,5.294161553592858e-09
1836,8.064899859050456e-09,6.720750067579218e-10
1837,9.74104708006962e-09,6.957890930081589e-10
1838,5.049729523420865e-09,0.0
1839,7.690622361167243e-09,0.0
1840,1.4013314952876499e-08,8.917564464638872e-09
1841,3.852329122366882e-09,1.2841097074556274e-09
1842,1.475818312002275e-08,0.0
1843,9.451057714215949e-09,0.0
1844,6.037417232818143e-09,0.0
1845,1.9530798311961917e-08,5.580227946389016e-10
1846,1.5221703009160592e-08,0.0
1847,1.5101026207275936e-08,5.393223645455691e-10
1848,1.448139919091318e-08,0.0
1849,5.865590679832167e-09,0.0
1850,1.3577992064028876e-09,0.0
1851,9.029214709244116e-09,0.0
1852,4.557382027314816e-09,0.0
1853,2.388772735173461e-09,0.0
1854,1.3508727469968562e-08,7.27393034694046e-09
1855,3.1841622671890946e-09,5.306937111981824e-10
1856,2.174419400091665e-08,0.0
1857,2.4407544874094356e-09,1.9526036343364694e-09
1858,1.468102750479261e-09,2.4468380654951716e-09
1859,1.018434669930457e-08,0.0
1860,2.0597328287408345e-08,0.0
1861,2.782418562219391e-08,0.0
1862,1.626475132354699e-08,4.066187830886747e-09
1863,9.489779628779615e-09,0.0
1864,1.342523781033833e-08,7.671564716815737e-09
1865,1.553258677233771e-08,0.0
1866,8.75810357570117e-09,0.0
1867,1.164674756637396e-08,9.7056229719783e-10
1868,1.2349684830326169e-08,0.0
1869,1.8557372527538973e-08,0.0
1870,2.408300403544672e-08,2.8670243956696595e-09
1871,1.5931766128574054e-08,1.0621177271019633e-09
1872,2.116568786902917e-08,3.0236697590169115e-09
1873,2.1549615425442425e-08,1.1972008939764578e-09
1874,8.961913877669758e-09,1.1949218281515073e-09
1875,8.010138330405425e-09,0.0
1876,9.673623679873344e-09,1.209202959984168e-09
1877,3.0924081073635534e-08,0.0
1878,1.4493812372506909e-08,1.8117265465633636e-09
1879,1.4051448005147904e-08,3.665595160740054e-09
1880,2.0537108014195837e-08,6.417846254436199e-10
1881,1.1853263259808955e-08,2.7890030285249168e-09
1882,9.983077475794744e-09,0.0
1883,6.951272890631799e-09,1.8958017378167824e-09
1884,1.650424152899177e-08,2.6406787867472303e-09
1885,2.320428826863008e-08,1.2891271383708158e-09
1886,1.8069698626277386e-08,0.0
1887,1.1099172247952538e-08,1.9586774424595887e-09
1888,1.775372027168487e-08,6.340614699951175e-10
1889,2.255449160770695e-08,0.0
1890,7.209825181320184e-09,3.2771931834929546e-09
1891,8.286486163910922e-09,0.0
1892,1.5044429702015805e-08,1.2537024751679837e-09
1893,9.853466487186324e-09,6.158416554491453e-10
1894,1.449354058991048e-08,6.301539290376468e-10
1895,6.018614495673091e-09,6.018614495673091e-10
1896,1.533227589334274e-08,0.0
1897,5.826713334045053e-09,0.0
1898,1.0750873968845553e-08,1.6975064687230201e-09
1899,7.738609753005221e-09,0.0
1900,1.142031713641245e-08,1.038210628578895e-09
1901,5.58873880507349e-09,5.588738916095792e-10
1902,7.856454153909453e-09,4.910283846193408e-10
1903,7.020286574288548e-09,1.6200660812870638e-09
1904,1.1286712897629059e-08,1.0749250378694342e-09
1905,7.741138396966107e-09,0.0
1906,9.773950537805831e-09,0.0
1907,1.2342823652033985e-08,0.0
1908,4.4202499438483756e-09,9.822778146428846e-10
1909,5.5009836685826485e-09,5.500983557560346e-10
1910,3.206490406526541e-09,4.275320542035388e-09
1911,1.3300935464144459e-08,0.0
1912,5.2094213387476884e-09,0.0
1913,2.121195885607108e-09,0.0
1914,4.018046340092951e-09,3.3483718020477227e-09
1915,2.3561523843085297e-09,2.3561523843085297e-09
1916,2.197492410260793e-09,0.0
1917,9.869782324756216e-09,7.676496771580332e-09
1918,1.033773866510046e-08,0.0
1919,9.207848705727883e-09,6.4454939163738345e-09
1920,6.057785384427916e-09,0.0
1921,1.2873671018098776e-08,7.572747429129834e-10
1922,3.6889677978990676e-09,7.377935484775833e-10
1923,1.8047112249064412e-08,7.431163684401554e-09
1924,6.445812328337297e-09,0.0
1925,1.3197813508725176e-08,0.0
1926,6.687683296036084e-09,0.0
