year,devait_VERB aller_VERB,devait_VERB râler_VERB
1800,2.8926314143973286e-07,0.0
1801,2.0240051412656612e-07,0.0
1802,1.4098392853156838e-07,0.0
1803,1.9893460034836608e-07,0.0
1804,3.633620906384749e-07,0.0
1805,2.0184431548386783e-07,0.0
1806,1.9595350408962986e-07,0.0
1807,2.2775640218242188e-07,0.0
1808,2.447359861434961e-07,0.0
1809,1.987946802728402e-07,0.0
1810,1.8487001796074765e-07,0.0
1811,2.3065106802278024e-07,0.0
1812,3.040617286842462e-07,0.0
1813,2.875741529351217e-07,0.0
1814,2.4858749725353846e-07,0.0
1815,3.1018069535093673e-07,0.0
1816,3.1287652291212e-07,0.0
1817,3.3161404644488357e-07,0.0
1818,4.494283984968206e-07,0.0
1819,3.9023458953124646e-07,0.0
1820,3.678609061807947e-07,0.0
1821,4.871575356446556e-07,0.0
1822,5.403807108450565e-07,0.0
1823,5.850550905961427e-07,0.0
1824,5.743198698837659e-07,0.0
1825,5.336098638508702e-07,0.0
1826,5.372870646169758e-07,0.0
1827,5.346018383534101e-07,0.0
1828,5.246556042948214e-07,0.0
1829,7.75872422309476e-07,0.0
1830,6.262101237552997e-07,0.0
1831,5.129506917000981e-07,0.0
1832,5.912596634516376e-07,0.0
1833,7.506191082029545e-07,0.0
1834,6.179459433042211e-07,0.0
1835,5.619374405796407e-07,0.0
1836,6.351108936542005e-07,0.0
1837,5.364533990359632e-07,0.0
1838,6.021802505529195e-07,0.0
1839,5.215640612732386e-07,0.0
1840,6.484343089141476e-07,0.0
1841,5.020868911742582e-07,0.0
1842,7.41263306736073e-07,0.0
1843,5.322127094586904e-07,0.0
1844,6.547853672600468e-07,0.0
1845,6.41168185211427e-07,0.0
1846,6.059408974579128e-07,0.0
1847,6.574339863618661e-07,0.0
1848,5.285710926727916e-07,0.0
1849,5.320928266883129e-07,0.0
1850,5.83174767143646e-07,0.0
1851,5.720652325180708e-07,0.0
1852,5.677195531461621e-07,0.0
1853,5.458345526676567e-07,0.0
1854,5.351534468900354e-07,0.0
1855,6.368324534378189e-07,0.0
1856,6.590561838493159e-07,0.0
1857,5.726010385842528e-07,0.0
1858,6.410715513993637e-07,0.0
1859,6.472152449532587e-07,0.0
1860,6.293627734521579e-07,0.0
1861,5.748759690504812e-07,0.0
1862,6.492346074082889e-07,0.0
1863,5.354233394427865e-07,0.0
1864,5.662573698828055e-07,0.0
1865,6.020054001965036e-07,0.0
1866,6.276640647229215e-07,0.0
1867,6.051456011846312e-07,0.0
1868,5.414102020040445e-07,0.0
1869,5.972543704046984e-07,0.0
1870,7.01847568507219e-07,0.0
1871,5.246861292107496e-07,0.0
1872,5.88406123824825e-07,0.0
1873,6.285304721131979e-07,0.0
1874,6.327111350401537e-07,0.0
1875,6.705629971293092e-07,0.0
1876,5.810220500279684e-07,0.0
1877,4.700460181084054e-07,0.0
1878,5.19965510648035e-07,0.0
1879,6.457556764871697e-07,0.0
1880,5.307558694767067e-07,0.0
1881,6.086999064791598e-07,0.0
1882,5.630456030303321e-07,0.0
1883,4.6257559915829916e-07,0.0
1884,6.443256097554695e-07,0.0
1885,6.123353841758217e-07,0.0
1886,5.698408358512097e-07,0.0
1887,5.353718393052986e-07,0.0
1888,5.693872253687005e-07,0.0
1889,5.726334961764223e-07,0.0
1890,4.430765159213479e-07,0.0
1891,5.163118430573377e-07,0.0
1892,5.334504180609656e-07,0.0
1893,5.776594775852573e-07,0.0
1894,5.419323656496999e-07,0.0
1895,5.188045975046407e-07,0.0
1896,6.097528171267186e-07,0.0
1897,5.337269612937234e-07,0.0
1898,5.788497219327837e-07,0.0
1899,5.831595331073913e-07,0.0
1900,4.962647039974399e-07,0.0
1901,5.20870457876299e-07,0.0
1902,4.586205193390924e-07,0.0
1903,5.35161802872608e-07,0.0
1904,4.7511687739643094e-07,0.0
1905,5.310421329340898e-07,0.0
1906,4.979570462637639e-07,0.0
1907,4.751987319195905e-07,0.0
1908,4.7542246761622664e-07,0.0
1909,5.143419343767164e-07,0.0
1910,5.167793801774678e-07,0.0
1911,5.921576189393818e-07,0.0
1912,5.636593982671911e-07,0.0
1913,5.557533313549357e-07,0.0
1914,4.506908624080097e-07,0.0
1915,4.5120319214220217e-07,0.0
1916,4.4718970571011596e-07,0.0
1917,5.044554995947692e-07,1.0966424435210342e-09
