year,peuvent_VERB ouvrir_VERB,peuvent_VERB rouvrir_VERB
1800,5.345079756580162e-08,0.0
1801,7.143547975374531e-08,0.0
1802,7.608656460433849e-08,0.0
1803,2.145373123596528e-08,0.0
1804,6.179627121127851e-08,0.0
1805,3.695740957709859e-08,0.0
1806,6.916005901302924e-08,0.0
1807,7.971474502710407e-08,0.0
1808,5.6651849433819734e-08,0.0
1809,4.0662548883574345e-08,0.0
1810,6.084329839950442e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,3.467370746079723e-08,0.0
1813,8.339650747757332e-08,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-08,0.0
1817,8.407116069975018e-08,0.0
1818,4.410835785506606e-08,2.384235475716423e-09
1819,2.070209959015301e-08,0.0
1820,5.3399165977907614e-08,1.6613073583471305e-08
1821,2.9584464655840748e-08,0.0
1822,4.3110148340019805e-08,0.0
1823,5.5343047478118024e-08,0.0
1824,3.3684450784221553e-08,9.263223965660927e-09
1825,4.6668848341369085e-08,8.805443041381977e-10
1826,4.4039921931471326e-08,8.807984341885344e-10
1827,4.2399456390285195e-08,0.0
1828,3.5771975603893225e-08,0.0
1829,5.572564276690173e-08,1.2859763920403111e-08
1830,1.6698937344017395e-08,0.0
1831,4.989185953263586e-08,1.2472964883158966e-08
1832,3.5177919244233635e-08,0.0
1833,3.243415847009601e-08,0.0
1834,4.760610750054184e-08,0.0
1835,3.932805725526123e-08,7.563087933704082e-10
1836,3.763620171071125e-08,0.0
1837,5.287997240088771e-08,6.957890930081589e-10
1838,3.976661844262708e-08,1.2624323808552163e-09
1839,3.4957377437194737e-08,6.9914751765765e-10
1840,6.051204337609306e-08,1.2739377330817092e-09
1841,5.1364388298225094e-08,3.2102742686390684e-09
1842,4.8970335342346516e-08,1.341653010911159e-09
1843,5.0208743829216473e-08,1.1813822142769936e-09
1844,6.147188713612195e-08,4.9397050894128824e-09
1845,2.622707206967334e-08,0.0
1846,4.0981507964943376e-08,0.0
1847,6.579733025091627e-08,1.6179670936367074e-09
1848,6.838438793010937e-08,2.413566457803995e-09
1849,7.709061833338637e-08,9.217356655710773e-09
1850,5.838536765168101e-08,2.7155984128057753e-09
1851,4.9660677348128957e-08,0.0
1852,4.817803755940986e-08,0.0
1853,2.7470886010405593e-08,1.1943863675867306e-09
1854,6.806320129726373e-08,1.0391328908454511e-09
1855,6.952087971967558e-08,0.0
1856,7.092749143566834e-08,0.0
1857,3.4658715009072694e-08,0.0
1858,7.487324182875454e-08,2.4468380654951716e-09
1859,6.721668910358858e-08,5.092173349652285e-10
1860,5.950339243554481e-08,0.0
1861,4.6688040100661965e-08,5.659156698811785e-09
1862,6.822159548391937e-08,5.873382225018986e-09
1863,5.4940830551686304e-08,4.994620828036034e-10
1864,4.411149845395812e-08,0.0
1865,6.354240156269952e-08,1.4120533631256649e-09
1866,5.54679857600604e-08,8.271541673821048e-09
1867,7.085104414272791e-08,0.0
1868,4.544684273355415e-08,0.0
1869,8.936839890338888e-08,0.0
1870,6.364793847524197e-08,1.1468097582678638e-09
1871,5.098165090089424e-08,0.0
1872,5.805445724149649e-08,3.628403577593531e-09
1873,4.908523720814628e-08,0.0
1874,5.317401985394099e-08,0.0
1875,9.612165285943775e-08,0.0
1876,8.222580305528027e-08,6.04601479992084e-10
1877,6.865145962819952e-08,0.0
1878,8.092379033541874e-08,0.0
1879,5.498392852132383e-08,4.27652757650776e-09
1880,6.225310755780811e-08,4.492492600149944e-09
1881,9.691785862742108e-08,4.183504653809678e-09
1882,9.450646842878996e-08,0.0
1883,8.531107908993363e-08,6.319338941018771e-10
1884,8.912290638818376e-08,6.601696966868076e-10
1885,7.348024411157894e-08,1.2891271383708158e-09
1886,7.486018205327127e-08,5.808117542471791e-09
1887,7.442974236937516e-08,0.0
1888,6.847864142400795e-08,0.0
1889,6.077182490571431e-08,1.8795409673089125e-09
1890,5.702316130395957e-08,1.9663159989136147e-09
1891,9.433845349349212e-08,1.2748440081367107e-09
1892,7.083419006903569e-08,0.0
1893,8.313862309705655e-08,4.926733243593162e-09
1894,7.309785843290229e-08,6.301539290376468e-10
1895,9.088108043897591e-08,0.0
1896,7.31231608597227e-08,1.7691086373616827e-09
1897,6.817254671886985e-08,1.1653427112179315e-09
1898,6.620275172508627e-08,1.13167097914868e-09
1899,8.45719512199139e-08,5.527578395003729e-10
1900,6.592637191715767e-08,5.191053142894475e-10
1901,6.874148539282032e-08,3.353243460679778e-09
1902,9.86967023663965e-08,1.9641135384773634e-09
1903,7.2902970771338e-08,3.2401321625741275e-09
1904,8.276922613958959e-08,1.6123875568041512e-09
1905,7.895961573467503e-08,5.160759042333041e-10
1906,9.773950893077199e-08,2.572092316910357e-09
1907,6.685696263275531e-08,4.6285588695127444e-09
1908,6.974172350737717e-08,9.822778146428846e-10
1909,6.876229718955074e-08,4.950885035270858e-09
1910,5.50447509795049e-08,5.344150677544235e-10
