year,aient_VERB apporté_VERB,aient_VERB rapporté_VERB
1800,5.65949598296811e-08,4.4018303668735825e-08
1801,4.0480102825313224e-08,3.333655484993869e-08
1802,4.4756802708434407e-08,3.1329761895904085e-08
1803,4.6808139586573816e-08,3.900678446910888e-09
1804,2.7190360185613827e-08,2.4718509905596875e-08
1805,3.695740957709859e-08,1.1371510844071508e-08
1806,6.627838899930794e-08,2.0171682990621775e-08
1807,5.97860605466849e-08,2.2775640928784924e-08
1808,4.758755522971114e-08,3.6257183921861724e-08
1809,4.51806094758922e-08,3.162642769893864e-08
1810,3.978215445954447e-08,9.360507036149102e-09
1811,1.7549536934780008e-08,2.5070768572277302e-08
1812,1.3336041604361526e-08,2.6672083208723052e-08
1813,3.738464116054274e-08,0.0
1814,4.090680150170556e-08,3.776012391654149e-08
1815,3.236668177919455e-08,2.4275012222574333e-08
1816,3.476405652236281e-08,3.476405652236281e-08
1817,2.80237220096069e-08,3.89218364205135e-08
1818,3.2187177367859476e-08,2.741870730460505e-08
1819,5.693077653745604e-08,1.2421260464634543e-08
1820,4.2719332071783356e-08,2.254631326081835e-08
1821,6.409967312492881e-08,2.3667571014129862e-08
1822,5.213320264374488e-08,3.8097340393505874e-08
1823,3.261286707356703e-08,3.4589405117912975e-08
1824,4.126345132249298e-08,3.115811608722652e-08
1825,6.163810439829831e-08,3.6982861217893515e-08
1826,3.6112734136395375e-08,1.9377566218281572e-08
1827,3.871254605769536e-08,1.8434546333878643e-08
1828,5.595103758082587e-08,2.2013523448549677e-08
1829,7.11573591161141e-08,3.8579290873030914e-08
1830,9.393152566872232e-08,2.400472176589119e-08
1831,5.14509785887185e-08,2.494592976631793e-08
1832,3.788391467196561e-08,5.411987746839486e-09
1833,4.054269808762001e-08,1.1583628278799551e-08
1834,7.28093425550469e-08,1.8669062740173104e-08
1835,4.0840674842002045e-08,9.075705520444899e-09
1836,5.5782226837663984e-08,3.763620171071125e-08
1837,4.174734513640033e-08,3.478945487245255e-08
1838,4.229148586887277e-08,1.64116205070286e-08
1839,4.894032556990169e-08,3.076248944466897e-08
1840,6.051204337609306e-08,1.9109066329292546e-08
1841,4.6227949468402585e-08,3.0818632978935057e-08
1842,4.628702754416736e-08,5.634942823462552e-08
1843,7.442707783411606e-08,1.6539351221922516e-08
1844,5.3239045172404076e-08,3.4577936958157807e-08
1845,5.524425716885162e-08,4.296775557577348e-08
1846,4.6836010625384006e-08,3.219975752699611e-08
1847,6.525800699819229e-08,1.833696039454935e-08
1848,5.551202875153649e-08,2.091757700384278e-08
