year,auraient_VERB usé_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,0.0
1804,1.730295728918918e-08
1805,5.685755422035754e-09
1806,0.0
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,4.44624070894406e-08
1811,7.521229861140455e-09
1812,8.00162425207418e-09
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,9.341240669868967e-09
1818,5.960588467246453e-09
1819,3.1053151161586356e-09
1820,9.493184904840746e-09
1821,3.94459531705138e-09
1822,5.012807946513931e-09
1823,2.3718449426723964e-08
1824,1.1789557774477544e-08
1825,3.0819052199149155e-08
1826,7.927186018719112e-09
1827,1.2904182611350734e-08
1828,7.337841001486822e-09
1829,1.714635211591542e-09
1830,9.39315203396518e-09
1831,3.274153215215847e-08
1832,2.4353944638733083e-08
1833,1.1583628278799551e-08
1834,1.120143711119681e-08
1835,3.2521278114927554e-08
1836,1.6129799718100912e-08
1837,2.7135774516295896e-08
1838,1.7042836475411605e-08
1839,1.3982949909063791e-08
1840,8.280594876453051e-09
1841,1.219904177673925e-08
1842,2.4820581145945653e-08
1843,2.3627643841450663e-08
1844,2.360081374774836e-08
1845,3.57134588568897e-08
1846,1.1709002656346001e-08
1847,3.128069891999985e-08
1848,1.206783295515379e-08
1849,1.75967720394965e-08
1850,2.0366988096043315e-08
1851,4.1921353499674296e-08
1852,7.161600201754936e-09
1853,2.030456869306363e-08
1854,5.7152309551611324e-09
1855,1.2736649068756378e-08
1856,1.5531567143511893e-08
1857,1.4156376515472857e-08
1858,1.4191660291373864e-08
1859,1.7313389832906978e-08
1860,1.373155189554609e-08
1861,1.6034276129062164e-08
1862,1.1294965851504912e-08
1863,7.491931519609807e-09
1864,1.4384183621984903e-08
1865,1.5061901947888146e-08
1866,1.6056523222118813e-08
1867,3.396968040192405e-08
1868,1.333765986544222e-08
1869,2.6859355628516823e-08
1870,3.325748210158963e-08
1871,4.248470730772169e-08
1872,9.675742873582749e-09
1873,4.788803575905831e-09
1874,9.559374625212058e-09
1875,1.2015206607429718e-08
1876,9.673623679873344e-09
1877,1.1751150275074451e-08
1878,3.200716847118201e-08
1879,2.6270098985037293e-08
1880,2.1820676820993867e-08
1881,1.3945014920579979e-08
1882,1.6638463051776853e-08
1883,3.159669414998234e-09
1884,1.8484751507230612e-08
1885,3.0939052209078e-08
1886,1.7424351739236954e-08
1887,1.697520346510828e-08
1888,1.3315291091942072e-08
1889,1.1277245803853475e-08
1890,1.9007721618891082e-08
1891,9.561330394092238e-09
1892,1.2537024751679837e-08
1893,1.3548516086814288e-08
1894,2.079507943619774e-08
1895,1.444467478961542e-08
1896,2.0639602027472392e-08
1897,1.3401440845939305e-08
1898,1.9238406423482957e-08
1899,1.9346524382513053e-08
1900,8.30568502863116e-09
1901,1.3412973842719111e-08
1902,1.9641134940684424e-08
1903,9.720396931811592e-09
1904,2.203596238814498e-08
1905,1.4450125540577119e-08
1906,1.2346042410626978e-08
1907,1.0799970695529737e-08
1908,2.2592390180875555e-08
1909,1.4852655993990993e-08
1910,8.01622590529405e-09
1911,9.576673676292558e-09
1912,1.1460726589973547e-08
1913,6.893886794756554e-09
1914,1.0045115850232378e-08
1915,3.534228465440492e-09
1916,8.789969641043172e-09
1917,2.1932848870420685e-09
1918,5.743188147278033e-09
1919,1.3811772170413406e-08
1920,9.843901693784574e-09
1921,1.741731914250977e-08
1922,1.623145884366295e-08
1923,2.229349149729387e-08
1924,1.5469948877466777e-08
1925,1.3197813508725176e-08
1926,2.229227646921572e-08
1927,2.5643217327342427e-08
1928,1.1426041446327417e-08
1929,2.33948540540041e-08
1930,9.453243521306831e-09
1931,1.4826963656844327e-08
1932,2.1919072779041926e-08
1933,1.3764794637438627e-08
1934,1.4377896206951846e-08
1935,2.0346082152400413e-08
1936,1.8187071404440758e-08
1937,1.1332006444320086e-08
1938,3.8895642262559704e-09
1939,9.176430282309411e-09
1940,1.5214697057785997e-08
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,1.742803235060819e-08
