year,eût_VERB usé_VERB
1800,1.2576657937302116e-08
1801,1.904946067554647e-08
1802,2.6854081625060644e-08
1803,1.5602713787643552e-08
1804,2.9662210465630778e-08
1805,3.695740957709859e-08
1806,1.729001475325731e-08
1807,3.9857372513552036e-08
1808,5.211970233176544e-08
1809,4.51806094758922e-08
1810,2.574139479349924e-08
1811,2.2563691359778204e-08
1812,5.3344166417446104e-08
1813,1.4378708002027452e-08
1814,3.4613449884091096e-08
1815,2.6972236000233352e-08
1816,5.5622493277951435e-08
1817,4.203558034987509e-08
1818,3.457141417584353e-08
1819,3.9333990287104825e-08
1820,2.3732962262101864e-08
1821,7.001656854299654e-08
1822,1.303330066093622e-08
1823,8.993244904331732e-08
1824,3.705289586264371e-08
1825,5.371320099811783e-08
1826,1.4973572604048968e-08
1827,9.309445658800541e-08
1828,3.210305266065916e-08
1829,5.486832677092934e-08
1830,2.0873670791843324e-08
1831,1.4032085715598441e-08
1832,2.1647950987357945e-08
1833,1.0425265983826648e-08
1834,1.5868701908061666e-08
1835,4.61348363955949e-08
1836,5.376600142881216e-08
1837,5.844628248041772e-08
1838,7.132742751991827e-08
1839,3.985140750728533e-08
1840,3.3759349093998026e-08
1841,4.8796167106957e-08
1842,5.769107858100142e-08
1843,2.7171790151214736e-08
1844,5.0494762149355665e-08
1845,3.4039391749729475e-08
1846,2.985795788390533e-08
1847,3.128069891999985e-08
1848,2.172209789819135e-08
1849,3.603148357456121e-08
1850,3.055048125588655e-08
1851,2.644269869733762e-08
1852,2.669323606596663e-08
1853,3.702597695109944e-08
1854,2.909572138776184e-08
1855,2.2819829581521844e-08
1856,2.2779632402603056e-08
1857,3.368241152656992e-08
1858,4.7468656561022726e-08
1859,2.5970084749360467e-08
1860,1.785101666484934e-08
1861,1.6977470096435354e-08
1862,1.536115412648087e-08
1863,1.7980635647063536e-08
1864,3.068625886726295e-08
1865,2.729969672543575e-08
1866,2.1408697037372804e-08
1867,1.4073153309368536e-08
1868,2.9145256874585357e-08
1869,3.564969119906891e-08
1870,3.4404294524392753e-08
1871,3.292564798584863e-08
1872,1.4513614310374123e-08
1873,2.3944018323618366e-08
1874,1.1949218503559678e-08
1875,4.520006413599731e-08
1876,1.269663130187837e-08
1877,1.6699003069220453e-08
1878,1.69094480639842e-08
1879,2.871382953628654e-08
1880,4.428314070992201e-08
1881,1.045876096839038e-08
1882,1.2645231528551903e-08
1883,1.9589950994713945e-08
1884,1.650424152899177e-08
1885,1.353583467533781e-08
1886,9.680196200179125e-09
1887,1.4363633837888301e-08
1888,8.242799331981132e-09
1889,5.012109394186837e-09
1890,2.6872983838188702e-08
1891,1.211101796627645e-08
1892,9.402768341715273e-09
1893,1.4780200174868696e-08
1894,1.449354058991048e-08
1895,1.0833506536300774e-08
1896,7.076434549446731e-09
1897,1.3401440845939305e-08
1898,1.7540900287826844e-08
1899,1.2713430308508578e-08
1900,1.142031713641245e-08
1901,2.179608138419553e-08
1902,7.856454153909453e-09
1903,5.940242076007962e-09
1904,9.674325340824907e-09
1905,1.7546581076999246e-08
1906,1.8519063615940468e-08
1907,1.2342823652033985e-08
1908,8.840499887696751e-09
1909,7.701377313651392e-09
1910,1.068830179917768e-08
1911,1.0108711201439746e-08
1912,1.9795800554334164e-08
1913,1.0075680734189518e-08
1914,9.37544086809794e-09
1915,5.890381071793627e-09
1916,1.0987462051303964e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,1.5653341733923298e-08
1920,1.741613253614105e-08
1921,4.543648568500203e-09
1922,8.115729421831475e-09
1923,1.2739137744688378e-08
1924,5.156649773851996e-09
1925,4.399271169575059e-09
1926,8.916910765321973e-09
1927,1.5608915049369898e-08
1928,1.0283437212876834e-08
1929,1.4482528065684619e-08
1930,4.201441416995522e-09
1931,9.124285327288817e-09
1932,6.575722188983946e-09
1933,6.882397318719313e-09
1934,9.585264137967897e-09
1935,7.180970484910176e-09
1936,6.0623572828433225e-09
1937,8.813782592653752e-09
1938,1.2965214457594243e-09
1939,1.070583532936098e-08
1940,2.028626333583361e-08
1941,0.0
1942,6.068423541449874e-09
1943,8.709705845433291e-09
1944,0.0
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,7.152522574216391e-09
1948,1.522064252412747e-08
1949,8.835307596655184e-09
1950,3.190608444114673e-09
1951,1.3859822622919182e-08
1952,9.490323193972472e-09
1953,4.3095309543161875e-09
1954,2.9317608341017376e-09
1955,3.754243138587299e-09
1956,1.4825940475304833e-08
1957,2.6505113659425206e-09
1958,4.9633461784992505e-09
1959,1.705164542897819e-08
1960,5.536666680683311e-09
1961,7.64297514166401e-09
1962,1.331810839388936e-08
1963,9.69907976156037e-09
1964,1.1559539991878864e-08
1965,7.660860390501512e-09
1966,1.3293779410616935e-08
1967,1.0846738618397467e-08
1968,8.533690198930799e-09
1969,9.991866889436096e-09
1970,3.6789800095249348e-09
1971,8.735275613958038e-09
1972,3.5911027485013847e-09
1973,5.513203671370093e-09
1974,1.1251143350321513e-09
1975,3.998036124386317e-09
1976,7.427584769459372e-09
1977,6.464460078348111e-09
1978,2.970295565063452e-09
1979,4.096381456264453e-09
1980,2.8425752862659692e-09
1981,6.325549417596221e-09
1982,9.311253101884631e-09
1983,1.2630632095778083e-09
1984,8.69851302098823e-09
1985,3.0077789148208467e-09
1986,4.7955883708539204e-09
1987,3.6664902225425067e-09
1988,2.398621523624911e-09
1989,8.232182935330457e-09
1990,3.814055737905164e-09
1991,2.344586080837985e-09
1992,2.2039776670368383e-09
