year,grand_ADJ apport_NOUN,grand_ADJ rapport_NOUN
1800,0.0,8.237710744651849e-07
1801,2.3811825844433088e-09,1.0143837698706193e-06
1802,2.9091921760482364e-08,1.5575367342535174e-06
1803,1.1702034896643454e-08,2.3657614747207845e-06
1804,0.0,1.5276038993761176e-06
1805,2.842877711017877e-09,1.464082060920191e-06
1806,0.0,1.1094425644841976e-06
1807,0.0,8.854030397742463e-07
1808,0.0,1.0809172863446292e-06
1809,0.0,1.6039116417232435e-06
1810,0.0,8.330851528626226e-07
1811,2.5070767684098882e-09,1.0203802958130836e-06
1812,2.6672082320544632e-09,9.521933179712505e-07
1813,2.8757416448144113e-09,1.1416694860599819e-06
1814,0.0,1.123363745136885e-06
1815,0.0,8.253504120148136e-07
1816,0.0,1.2422357258401462e-06
1817,0.0,1.128733174482477e-06
1818,5.960588467246453e-09,5.85329814839497e-07
1819,1.0351049795076506e-08,6.158874725770147e-07
1820,0.0,5.980706418995396e-07
1821,0.0,6.725534831275581e-07
1822,0.0,7.76985245920514e-07
1823,0.0,8.835122002892604e-07
1824,2.5263338088166165e-09,5.212668838794343e-07
1825,1.2327619813845558e-08,5.036713446315844e-07
1826,0.0,6.887843824188167e-07
1827,0.0,5.677840135831502e-07
1828,0.0,6.374749546012026e-07
1829,0.0,4.92957610731537e-07
1830,2.817945699007396e-08,5.47933893813024e-07
1831,6.236482441579483e-09,5.11391533564165e-07
1832,8.117981842303834e-09,5.100798716739519e-07
1833,0.0,5.594892513727245e-07
1834,0.0,4.975304932486324e-07
1835,0.0,6.889973178658693e-07
1836,0.0,5.988188149785856e-07
1837,0.0,4.814860403712373e-07
1838,0.0,5.011856387682201e-07
1839,0.0,4.131961759412661e-07
1840,1.2739377330817092e-09,4.2804308009181113e-07
1841,3.852329122366882e-09,5.040130872657755e-07
1842,0.0,4.3603722588159144e-07
1843,0.0,4.902736350231862e-07
1844,0.0,3.4468163789824757e-07
1845,3.348136878855712e-09,4.98314363994723e-07
1846,1.1709002656346001e-09,4.420148513872846e-07
1847,3.775256551818984e-09,2.6103202799276914e-07
1848,1.528592186161859e-08,3.137636497285712e-07
1849,0.0,2.5473420350863307e-07
1850,0.0,3.4895438716375793e-07
1851,0.0,2.96674187438839e-07
1852,6.510545436100301e-10,4.472744592476374e-07
1853,1.1943863675867306e-09,3.2367870517191477e-07
1854,1.0391328908454511e-09,2.566658281466516e-07
1855,1.5920811335945473e-09,3.847529512768233e-07
1856,2.5885946719483854e-09,4.089979483978823e-07
1857,5.857811125054013e-09,3.099758316693624e-07
1858,4.893676130990343e-09,3.6017456750414567e-07
1859,7.129042689513199e-09,2.6021007215604186e-07
1860,0.0,3.295572525985335e-07
1861,9.431927239234028e-09,2.71167920118387e-07
1862,0.0,2.177669387037895e-07
1863,0.0,1.8879666185966926e-07
1864,4.794728170054441e-09,2.9823206659784773e-07
1865,1.4120533631256649e-09,2.574643929165177e-07
1866,8.271541673821048e-09,1.9997669653548655e-07
1867,4.85281148598915e-10,2.86801167703743e-07
1868,2.9639244392143382e-09,2.6329527713642165e-07
1869,1.0255390314739543e-08,2.2659529008706158e-07
1870,0.0,2.2076088157518825e-07
1871,5.3105884134652115e-09,2.0817508072923374e-07
1872,6.047339295989218e-10,2.685018785086868e-07
1873,1.3767810003173508e-08,2.5141218884527916e-07
1874,1.1949218281515073e-09,2.2942498389966204e-07
1875,1.716458086775674e-09,2.1913449188559753e-07
1876,4.836811839936672e-09,2.515142227821343e-07
1877,4.9478527941460015e-09,2.2017944445451576e-07
1878,1.3285995414946683e-08,2.6028473598671553e-07
1879,4.27652757650776e-09,1.9916400617603358e-07
1880,1.1552122813895949e-08,1.9510252968757413e-07
1881,6.9725074602899895e-09,2.3357900147402688e-07
1882,1.0648616211028639e-08,1.7503663229945232e-07
1883,1.579834751908038e-08,2.9321734018594725e-07
1884,5.281357573494461e-09,2.3502040846778982e-07
1885,7.7347630522695e-09,2.410667718777404e-07
1886,6.453463874400711e-10,1.8263303047660884e-07
1887,5.223139698529167e-09,1.9390905947602732e-07
1888,1.0779045211961602e-08,1.9655905703075405e-07
1889,5.6386229019267375e-09,2.098820743867691e-07
1890,1.3764211992395303e-08,1.7565756138537836e-07
1891,1.2748440081367107e-09,2.122615256894278e-07
1892,5.014809900671935e-09,1.962044393621909e-07
1893,5.542574843531156e-09,1.5950298859479517e-07
1894,1.764431090123253e-08,2.054301830867189e-07
1895,7.824199066419624e-09,1.7634540938615828e-07
1896,1.7101383420481397e-08,1.792696764368884e-07
1897,7.574727511894253e-09,1.6722667339763575e-07
1898,3.3950129374460403e-09,1.6861898188835767e-07
1899,4.4220627160029835e-09,1.9180697563569993e-07
1900,8.30568502863116e-09,1.9622180502665287e-07
1901,1.0059729937950124e-08,1.8610501228977228e-07
1902,1.3257766440233354e-08,1.5369188588465477e-07
1903,6.480264325148255e-09,1.5606636338816315e-07
1904,9.13686282189019e-09,1.5317681345550227e-07
1905,1.9610883583709438e-08,1.6669251579060074e-07
1906,2.1605574218597212e-08,1.5329669622587971e-07
1907,2.5714216533856415e-08,2.1394228610915889e-07
1908,1.7189861978295085e-08,1.5225306526645e-07
1909,2.1453836041018803e-08,1.6778000144768157e-07
1910,1.9238942883248455e-08,1.9933682438022515e-07
1911,1.0108711201439746e-08,1.5854715229579597e-07
1912,1.5628263128064646e-08,1.6149205350757256e-07
1913,1.9090762748419365e-08,1.6015029302707262e-07
1914,1.5402511266415786e-08,1.948752412772592e-07
1915,1.5314990164938536e-08,1.1427339074998599e-07
1916,2.8567400889301098e-08,1.1866458748954756e-07
1917,1.7546279096336548e-08,1.7765607651654136e-07
1918,2.8715941624568586e-08,1.9526839878380997e-07
1919,1.6574126959767455e-08,1.7771147042822122e-07
1920,2.1202248845497706e-08,1.6356020182684006e-07
1921,1.3630945261411398e-08,1.3706673485103238e-07
1922,2.0658220023506146e-08,1.5198547487216274e-07
1923,2.1231896241147297e-08,1.3163776202418376e-07
1924,1.2891624656674594e-08,1.521211743238382e-07
1925,2.0896537833436923e-08,1.7047176470441627e-07
1926,4.681378129589575e-08,1.8391128264738654e-07
1927,1.8953683067479687e-08,2.1852480358575121e-07
1928,2.6279895593006586e-08,1.9767051639973943e-07
1929,1.6710609784809094e-08,2.0498347907960124e-07
1930,2.520864939015155e-08,1.7751089842477086e-07
1931,4.904303452235581e-08,1.7564249787938024e-07
1932,3.287861005674131e-08,1.3261039555345633e-07
