year,pouvant_VERB aller_VERB
1800,1.3519907327008696e-07
1801,9.524730160137551e-08
1802,1.3650824826072494e-07
1803,1.2287136996746995e-07
1804,1.1370514130248921e-07
1805,1.250866148438945e-07
1806,2.0459850702536642e-07
1807,1.2811298688575334e-07
1808,7.704651494577774e-08
1809,9.487928309681593e-08
1810,1.0530570193623134e-07
1811,1.3788921648938413e-07
1812,3.7340914360584065e-08
1813,1.1790540810352468e-07
1814,8.181360300341112e-08
1815,1.0519171667056071e-07
1816,1.2978581764855335e-07
1817,1.4167548556542897e-07
1818,1.2040389663070528e-07
1819,1.2628281353954662e-07
1820,1.5663755448258598e-07
1821,1.0255947557880063e-07
1822,2.76706998647569e-07
1823,1.7294702558956487e-07
1824,1.6084325693555002e-07
1825,1.681839592038159e-07
1826,1.6294771398861485e-07
1827,1.115290046982409e-07
1828,1.8803217471941025e-07
1829,1.2431105744781235e-07
1830,1.49246758951449e-07
1831,6.392394169552063e-08
1832,1.569476495433264e-07
1833,1.1351956175076339e-07
1834,1.1761508744712046e-07
1835,1.2554725969948777e-07
1836,2.2917757291907037e-07
1837,1.468115016223237e-07
1838,1.8747121544038237e-07
1839,2.796590194975579e-07
1840,1.6370100297535828e-07
1841,1.4703056194775854e-07
1842,1.2343207345111296e-07
1843,1.1341269612330507e-07
1844,1.08673511078905e-07
1845,1.4452790253471903e-07
1846,1.5221704074974696e-07
1847,1.4561703665094683e-07
1848,1.1182858372649207e-07
1849,1.7512977024125576e-07
1850,1.9620198088432517e-07
1851,1.6252585055553936e-07
1852,1.2955985084772692e-07
1853,1.6960287041456468e-07
1854,2.400396965640539e-07
1855,1.4594077413221385e-07
1856,1.9000285078618617e-07
1857,1.9623666958068497e-07
1858,1.7812980956932734e-07
1859,1.7669842122813861e-07
1860,2.0460012706280395e-07
1861,1.9052492916671326e-07
1862,1.911108142849116e-07
1863,2.0627784635962598e-07
1864,2.406953569789039e-07
1865,2.2969400959027553e-07
1866,2.228450739494292e-07
1867,2.450669853715226e-07
1868,2.494636532901495e-07
1869,2.515012340609246e-07
1870,2.2076088157518825e-07
1871,2.3791437797626713e-07
1872,2.709207933548896e-07
1873,3.2264563287753845e-07
1874,3.7998515267645416e-07
1875,2.860763572698488e-07
1876,3.25880193940975e-07
1877,3.4573122320580296e-07
1878,3.955603062877344e-07
1879,3.4212220612062083e-07
1880,2.663406064584706e-07
1881,3.0818483764960547e-07
1882,3.3742801974767644e-07
1883,2.8816185704272357e-07
1884,3.961018251175119e-07
1885,2.9714379934375756e-07
1886,3.110569650743855e-07
1887,3.1991731930247624e-07
1888,4.01360921387095e-07
1889,4.435716789430444e-07
1890,5.13863881224097e-07
1891,4.5703157525167626e-07
1892,4.644967646072473e-07
1893,4.9698422799338e-07
1894,4.549711434265191e-07
1895,4.3454397768982744e-07
1896,4.293036965918873e-07
1897,5.593644800683251e-07
1898,5.494262609317957e-07
1899,4.3667870386343566e-07
1900,5.08723189796001e-07
1901,5.404310741141671e-07
1902,6.186957648424141e-07
1903,5.772835720563307e-07
1904,5.363875743569224e-07
1905,5.227848873801122e-07
1906,5.190482283978781e-07
1907,4.937129460813594e-07
1908,5.201160888645973e-07
1909,6.216111501089472e-07
1910,5.349494927031628e-07
1911,6.294002332651871e-07
1912,6.319028216239531e-07
1913,6.575707516276452e-07
1914,6.904342626512516e-07
1915,1.3064865242995438e-06
1916,1.1503872201501508e-06
1917,1.2392059716148651e-06
1918,1.0085038866236573e-06
1919,8.148945767061377e-07
1920,1.0033206763182534e-06
1921,1.0897183528868482e-06
1922,8.381334737350699e-07
1923,9.278338666263153e-07
1924,8.35377250041347e-07
1925,6.653897912656248e-07
1926,6.799144216529385e-07
1927,7.213548656181956e-07
1928,7.529761205660179e-07
1929,7.675740221202432e-07
1930,8.549933454560232e-07
1931,7.390671044049668e-07
1932,7.507282475671673e-07
1933,8.293288829008816e-07
1934,8.255308898696967e-07
1935,8.018750463634206e-07
1936,8.899540375750803e-07
1937,8.070906574175751e-07
1938,9.270128202842898e-07
1939,7.47879084883607e-07
1940,8.317367701238254e-07
1941,9.562868399370927e-07
1942,9.072293210010685e-07
1943,1.0887132475545513e-06
1944,9.318239904132497e-07
1945,8.14760539924464e-07
1946,8.380504823435331e-07
1947,8.96449478204886e-07
1948,8.664894721732708e-07
1949,1.0248957096337108e-06
1950,9.476107152295299e-07
1951,7.804146093803865e-07
1952,9.384875738760456e-07
1953,9.556384839015664e-07
1954,9.059140779754671e-07
1955,8.700458238308784e-07
1956,9.654303312345291e-07
1957,8.198915111279348e-07
1958,9.877059028440272e-07
1959,9.897704558170517e-07
1960,8.782537292972847e-07
1961,9.032606840264634e-07
1962,8.453827717858076e-07
1963,9.052474752024864e-07
1964,9.028609042616154e-07
1965,8.43241878101253e-07
1966,8.818207106742193e-07
1967,8.652738756609324e-07
1968,8.331576282216702e-07
1969,8.379543032788206e-07
1970,8.070762191891845e-07
1971,8.724998679099372e-07
1972,8.613516797595366e-07
1973,9.05268052520114e-07
1974,9.962886906578206e-07
1975,9.578152457834221e-07
1976,8.815972023512586e-07
