year,peuvent_VERB aller_VERB,peuvent_VERB râler_VERB
1930,4.915686417916731e-07,0.0
1931,5.326301675268041e-07,0.0
1932,5.129062969899678e-07,0.0
1933,5.058561782789184e-07,0.0
1934,4.816595264856005e-07,0.0
1935,4.883060000793193e-07,0.0
1936,5.019631998948171e-07,0.0
1937,4.809807023775647e-07,0.0
1938,4.6674770715071645e-07,0.0
1939,4.725861515453289e-07,0.0
1940,4.3615466438495787e-07,0.0
1941,5.401249723036017e-07,2.9515025978810172e-09
1942,5.158159979146149e-07,0.0
1943,5.632276156575244e-07,0.0
1944,5.976526153972372e-07,0.0
1945,4.422363133471663e-07,0.0
1946,5.164729941498081e-07,0.0
1947,5.686255235559656e-07,0.0
1948,5.609894060398801e-07,0.0
1949,5.958924020887935e-07,0.0
1950,6.179145088935911e-07,0.0
1951,5.949062256149773e-07,0.0
1952,5.304036108100263e-07,1.0544803918932644e-09
1953,5.440782615551143e-07,0.0
1954,5.443302484309243e-07,0.0
1955,5.415495820670913e-07,9.385607846468247e-10
1956,5.991424245621602e-07,0.0
1957,6.087340693738952e-07,0.0
1958,5.641670099976182e-07,0.0
1959,5.743303859162552e-07,0.0
1960,6.31180000709719e-07,0.0
1961,5.836453738083947e-07,0.0
1962,6.024858407727152e-07,0.0
1963,6.006963531035581e-07,0.0
1964,5.944037297922478e-07,0.0
1965,6.01924796228559e-07,0.0
1966,6.043130724719958e-07,0.0
1967,6.177710361043864e-07,0.0
1968,6.557467031598208e-07,0.0
1969,6.562839871548931e-07,0.0
1970,6.658953566329728e-07,0.0
1971,6.479519356616947e-07,0.0
1972,6.643539904871432e-07,0.0
1973,6.704055977024836e-07,0.0
1974,6.80694199672871e-07,0.0
1975,6.722412422277557e-07,0.0
1976,6.604836926271673e-07,0.0
1977,6.958109679544577e-07,0.0
1978,7.015838150437048e-07,0.0
1979,7.145259246499336e-07,0.0
1980,7.055272135403357e-07,1.1370301367108482e-09
1981,7.438846409968392e-07,6.325549528618524e-10
1982,7.337267788898316e-07,0.0
1983,7.351027875301952e-07,1.2630632095778083e-09
1984,7.184971764218062e-07,0.0
1985,6.845705229352461e-07,0.0
1986,7.319266615013476e-07,0.0
1987,7.057993229864223e-07,0.0
1988,7.567650754936039e-07,0.0
1989,7.65593028972944e-07,0.0
1990,7.677149369555991e-07,1.089730194969718e-09
1991,7.567151669718442e-07,0.0
1992,7.636782584086177e-07,0.0
1993,7.594253474962898e-07,0.0
1994,7.733042366453446e-07,0.0
1995,8.215013167500729e-07,0.0
1996,8.32742387046892e-07,0.0
1997,7.949935252327123e-07,4.79489448146353e-10
1998,8.806734399513516e-07,0.0
1999,8.454871931462549e-07,4.570201161957499e-10
2000,8.668177997606108e-07,0.0
2001,8.666036706017621e-07,0.0
2002,8.328702278959099e-07,0.0
2003,8.646364904052461e-07,1.2500769308587678e-09
2004,8.756725264902343e-07,4.404791253964646e-10
2005,9.358791430713609e-07,4.5037495954858286e-10
2006,9.199366104439832e-07,8.235779835885637e-10
2007,8.372429078917776e-07,0.0
2008,8.859731792654202e-07,0.0
2009,9.016652029458783e-07,4.76819250749827e-10
2010,8.961035291576991e-07,1.8895172093635892e-09
2011,9.77789682110597e-07,1.911985902935953e-09
2012,9.695311291579856e-07,3.404252713057332e-10
2013,8.576559480388823e-07,2.789125042035323e-10
2014,8.001319997674727e-07,6.496335691608124e-10
2015,8.247877190115105e-07,6.649726325136385e-10
2016,7.637030989826599e-07,4.1426800878596737e-10
2017,7.944300364215451e-07,5.031222660711876e-10
2018,7.75472585701209e-07,5.162933414126769e-10
2019,8.158058903973142e-07,7.65296326310505e-10
