year,pouvant_VERB entrer_VERB,pouvant_VERB rentrer_VERB
1800,1.1633408547595536e-07,2.5153315874604232e-08
1801,1.2144030847593967e-07,0.0
1802,1.208433673127729e-07,8.951360541686881e-09
1803,7.996391104825307e-08,9.751696339321825e-09
1804,1.359518080334965e-07,4.943701892301533e-09
1805,1.847870549909203e-07,5.970043304159844e-08
1806,9.797675204481493e-08,5.76333825108577e-09
1807,1.1387820109121094e-07,2.562259560079383e-08
1808,1.4276265858370607e-07,4.5321479902327155e-09
1809,7.228897658251299e-08,3.6144488291256494e-08
1810,6.31834211617388e-08,7.020380277111826e-09
1811,1.855236746450828e-07,5.0141535368197765e-09
1812,1.1735716043403954e-07,4.267533171287141e-08
1813,7.764502640839055e-08,5.751483289628823e-09
1814,1.3530711839848664e-07,3.1466771410748606e-09
1815,9.170560133497929e-08,1.3486118000116676e-08
1816,1.6454987417091615e-07,6.952811659743929e-09
1817,1.9460917144442647e-07,2.6466848268569265e-08
1818,1.2398024296089716e-07,2.026600220972341e-08
1819,1.573359611484193e-07,3.9333990287104825e-08
1820,1.0205173595068118e-07,2.8479554714522237e-08
1821,1.065040748926549e-07,2.859831660373402e-08
1822,9.524335098376469e-08,3.60922172149003e-08
1823,1.1068609495623605e-07,6.522573414713406e-08
1824,2.3579116259497823e-07,4.6316120716483056e-08
1825,1.0478477463493618e-07,7.220463515977826e-08
1826,1.1714619319036501e-07,4.4039921931471326e-08
1827,2.1476246558904677e-07,3.3182182335167454e-08
1828,1.5226019911551703e-07,5.228211819030548e-08
1829,1.577464416868679e-07,2.8291481157793896e-08
1830,1.2211097555336892e-07,3.444155893816969e-08
1831,1.02901957177437e-07,2.6505050598757407e-08
1832,1.2988770947686135e-07,2.0294953273491956e-08
1833,9.151066393542351e-08,4.40177885252524e-08
1834,1.278830694673161e-07,5.974099792638299e-08
1835,1.1117739262545001e-07,4.310960122211327e-08
1836,2.022945722046643e-07,3.629205025390547e-08
1837,1.6211885167649598e-07,2.2961039292113128e-08
1838,1.35711474058553e-07,4.670999942391063e-08
1839,1.4052865537905745e-07,4.1249702320556025e-08
1840,1.3949617994057917e-07,3.885510224677091e-08
1841,1.752809737354255e-07,5.778493772368165e-08
1842,1.5764422300890146e-07,4.9641162291891305e-08
1843,1.334961865495643e-07,3.071593823733565e-08
1844,1.5532629049630486e-07,2.9089374464774664e-08
1845,9.430585379277545e-08,4.2409730838244286e-08
1846,1.8031863646683632e-07,3.9810608143397985e-08
1847,9.761734531821276e-08,3.4516631330916425e-08
1848,1.4159590477902384e-07,3.378993085334514e-08
1849,1.0977033326753372e-07,4.4410899846525353e-08
1850,1.3102761897698656e-07,4.6844071732721204e-08
1851,1.4446743534790585e-07,2.902247508984601e-08
1852,1.2435141627520352e-07,3.1250618093281446e-08
1853,1.3078530969323765e-07,4.001194398028929e-08
1854,1.1378504893855279e-07,4.1045748133683446e-08
1855,1.3267342069411825e-07,2.4411910715116392e-08
1856,1.3874867477170483e-07,2.485050742961903e-08
1857,1.4546897375566914e-07,3.172980811427806e-08
1858,1.6932119706325466e-07,4.159624467092726e-08
1859,1.1100937769015218e-07,2.1387128512628806e-08
1860,1.684403656554423e-07,5.5841642421228244e-08
1861,1.2638783175589197e-07,6.177912581506462e-08
1862,1.292144133913098e-07,3.6143891435358455e-08
1863,1.0638542136121032e-07,4.145535115185339e-08
1864,1.3712921997921512e-07,3.7398876884253696e-08
1865,1.106108413750917e-07,5.0833918407988676e-08
1866,1.605652215630471e-07,2.968023871119385e-08
1867,1.5383412232949922e-07,3.494024269912188e-08
1868,1.2991868914014049e-07,3.853101659956337e-08
1869,1.562726197334996e-07,4.688178378842167e-08
1870,1.5481931825434003e-07,5.390005952676802e-08
1871,1.4763436695375276e-07,4.5671061599250606e-08
1872,1.4815981330684735e-07,5.1402384571019866e-08
1873,1.460585110635293e-07,2.7535620006347017e-08
1874,1.171023384927139e-07,1.9716210886144836e-08
1875,1.361723462878217e-07,3.318485752856759e-08
1876,1.6807921099371015e-07,3.748529309177684e-08
1877,1.7503029425824934e-07,6.184816214727107e-08
1878,1.2984040154151444e-07,6.159870480360041e-08
1879,1.6800645141756831e-07,4.581993806596074e-08
1880,1.642968641135667e-07,6.995452395130997e-08
1881,1.3735839843320719e-07,5.508281120114589e-08
1882,1.7636770621720643e-07,2.3293848627758962e-08
1883,2.0095497177408106e-07,4.613117354779206e-08
1884,1.7362462756409514e-07,3.762967182296961e-08
1885,1.6243001255134004e-07,6.058897383809381e-08
1886,1.832783738109356e-07,4.7755634113855194e-08
1887,2.2981814140621282e-07,7.834709236931303e-08
1888,1.3505508889011253e-07,4.5018364147608736e-08
1889,1.1590503135039398e-07,3.759081934617825e-08
1890,1.4747369903034269e-07,5.767860145056147e-08
1891,1.6827941351493791e-07,3.824532157636895e-08
1892,1.5608596015681542e-07,6.644623340434919e-08
1893,1.872158605920049e-07,4.249307394843527e-08
1894,1.8211449059890583e-07,4.7261544011689693e-08
1895,1.6250258738637058e-07,4.814891596538473e-08
1896,1.3504195806035568e-07,4.65865284127176e-08
1897,1.590692733088872e-07,2.7385553380554484e-08
1898,1.7201398350152886e-07,3.395012981854961e-08
1899,1.6748562359225616e-07,5.03009616181771e-08
1900,1.489832186507556e-07,3.114631752509922e-08
1901,1.380418552798801e-07,4.526878427668635e-08
