year,peut_VERB aller_VERB,peut_VERB râler_VERB
1800,3.10329028252454e-06,0.0
1801,3.1264926292351447e-06,0.0
1802,2.9808029466948938e-06,0.0
1803,2.4827818378980737e-06,0.0
1804,2.6201619220955763e-06,0.0
1805,3.1897088774712756e-06,0.0
1806,2.37449535234191e-06,0.0
1807,2.2462475044449093e-06,0.0
1808,2.6105171855306253e-06,0.0
1809,2.514301058909041e-06,0.0
1810,2.4664936972840223e-06,0.0
1811,2.459442384861177e-06,0.0
1812,2.5391823328391183e-06,0.0
1813,2.8498600386228645e-06,0.0
1814,2.4984617539303144e-06,0.0
1815,1.901542646010057e-06,0.0
1816,2.500694563423167e-06,0.0
1817,3.095064357694355e-06,0.0
1818,2.6178904590778984e-06,0.0
1819,2.834117594829877e-06,0.0
1820,2.3139639324654127e-06,0.0
1821,2.4860812573024305e-06,0.0
1822,2.4713142465770943e-06,0.0
1823,2.1277423911669757e-06,0.0
1824,2.2509634618472774e-06,0.0
1825,2.4699268124095397e-06,0.0
1826,2.311214984729304e-06,0.0
1827,2.048078158622957e-06,0.0
1828,2.3462746412405977e-06,0.0
1829,2.506796590751037e-06,0.0
1830,2.4056905658653704e-06,0.0
1831,2.368304194533266e-06,0.0
1832,2.197267122028279e-06,0.0
1833,2.5947326776076807e-06,0.0
1834,2.4185769689211156e-06,0.0
1835,2.3770785446686205e-06,0.0
1836,2.2931199055165052e-06,0.0
1837,2.446394546495867e-06,0.0
1838,2.136035618605092e-06,0.0
1839,2.386889718763996e-06,0.0
1840,2.3593327114213025e-06,2.5478754661634184e-09
1841,2.2182994143804535e-06,0.0
1842,2.3089849037205568e-06,0.0
1843,2.5163440113828983e-06,0.0
1844,2.2085971522756154e-06,0.0
1845,2.444139909130172e-06,0.0
1846,2.3236516426550224e-06,0.0
1847,2.1799410205858294e-06,0.0
1848,2.3113921088224743e-06,0.0
1849,2.2951217033551075e-06,0.0
1850,2.239689820271451e-06,0.0
1851,2.2740721306035994e-06,0.0
1852,2.2109811652626377e-06,0.0
1853,2.4514779397577513e-06,0.0
