year,devait_VERB amener_VERB,devait_VERB ramener_VERB
1800,1.3834323908668011e-07,3.772997558826319e-08
1801,1.142967676059925e-07,2.1430643926123594e-08
1802,4.0281122437590966e-08,1.3427040812530322e-08
1803,9.751695984050457e-08,2.9255089017965474e-08
1804,1.3347995775347954e-07,6.426812149129546e-08
1805,9.950071699904584e-08,3.695740957709859e-08
1806,1.0374009207225754e-07,6.051504897186533e-08
1807,1.822051274302794e-07,7.971474502710407e-08
1808,1.5635910699529632e-07,4.078933102391602e-08
1809,9.262025457701384e-08,1.129515236897305e-08
1810,6.31834211617388e-08,2.3401266702194334e-08
1811,3.359483002896013e-07,6.016983888912364e-08
1812,9.601949813031752e-08,1.0668832928217853e-08
1813,1.6104152678053651e-07,5.463909147351842e-08
1814,2.108273662315696e-07,6.922689976818219e-08
1815,2.6702514333010186e-07,8.361393355471591e-08
1816,1.9004352225238108e-07,2.7811246638975717e-08
1817,3.829908621355571e-07,8.095742032310227e-08
1818,2.0266001854452043e-07,3.457141417584353e-08
1819,2.1323162968656106e-07,1.0040518816367694e-07
1820,2.859821961465059e-07,9.8491796052258e-08
1821,3.0471997547465435e-07,7.790576006527772e-08
1822,3.1680946221968043e-07,6.416394171537831e-08
1823,3.261286565248156e-07,1.1068609495623605e-07
1824,4.3284518369546277e-07,6.231623217445303e-08
1825,3.918422066817584e-07,5.811592274085342e-08
1826,4.03405692850356e-07,1.0217262058631604e-07
1827,4.286031867195561e-07,1.0507691428074395e-07
1828,3.8798833656983334e-07,6.695779575238703e-08
1829,4.140844112043851e-07,1.1145128553380346e-07
1830,4.132986930471816e-07,6.053365098068753e-08
1831,4.1316695842397166e-07,7.483778574624012e-08
1832,5.506697675627947e-07,8.117981309396782e-08
1833,4.4596970383281587e-07,6.370995464521911e-08
1834,5.768740152234386e-07,5.787409307345115e-08
1835,4.31095998010278e-07,9.453859917130103e-08
1836,4.832219246964087e-07,5.779845224651581e-08
1837,5.086218379801721e-07,1.2106730196137505e-07
1838,5.289591626933543e-07,8.268931850352601e-08
1839,4.7611945319658844e-07,1.5311330514578003e-07
1840,6.6690643052425e-07,1.1083258044664035e-07
1841,5.695026743524068e-07,9.695028069245382e-08
1842,6.278935984482814e-07,9.458653948968276e-08
1843,5.5524964182041e-07,9.569195924541418e-08
1844,6.739953164469625e-07,9.659867572509029e-08
1845,6.779977184123709e-07,1.0825642249301382e-07
1846,6.843911819487403e-07,1.042101231973902e-07
1847,5.932545832365577e-07,7.820174374728595e-08
1848,6.790166935388697e-07,1.1746023886871626e-07
1849,6.720291025885672e-07,1.2317740072376182e-07
1850,6.381656021403614e-07,6.721106160512136e-08
1851,7.552292800028226e-07,1.1544495492898932e-07
1852,5.748811418015976e-07,1.1263243493431219e-07
1853,6.32427600066876e-07,1.2720214215278247e-07
1854,5.772383246949175e-07,8.520889593910397e-08
1855,7.121909675333882e-07,8.438030363322468e-08
1856,5.529238364943012e-07,8.594134470740755e-08
1857,6.336198907774815e-07,7.761599363220739e-08
1858,5.887092129341909e-07,8.172438725750908e-08
1859,5.591206218014122e-07,1.028619038834222e-07
1860,6.311936431302456e-07,6.59114505197067e-08
1861,5.918534498050576e-07,8.724532563064713e-08
1862,6.280000661718077e-07,7.680576885604751e-08
1863,5.96357722315588e-07,9.889349428249261e-08
1864,6.065330921956047e-07,8.678457419364349e-08
1865,6.147138833512145e-07,9.131277778351432e-08
1866,6.111209813752794e-07,7.347075836605654e-08
1867,6.264979788284109e-07,8.298307818677131e-08
1868,5.79941229261749e-07,8.496583348005515e-08
1869,5.694183187188173e-07,9.376356757684334e-08
1870,6.278783644120267e-07,8.658413719331293e-08
1871,6.05407080911391e-07,7.647247457498452e-08
1872,6.367848186528136e-07,7.075387031818536e-08
1873,6.237416414478503e-07,1.0056487553811166e-07
1874,5.574310080191935e-07,6.990292433783907e-08
1875,6.5454270270493e-07,8.58229043387837e-08
1876,5.659069870489475e-07,7.194757500883497e-08
1877,5.24472397955833e-07,9.895705943563371e-08
1878,5.072834596830944e-07,6.461824852976861e-08
1879,5.883280209673103e-07,5.9260454321474754e-08
1880,5.519347610061232e-07,7.123809098175116e-08
1881,4.852865345128521e-07,7.251407652120179e-08
1882,5.044781801188947e-07,1.0448954412822786e-07
1883,4.5499240286517306e-07,7.58320695126713e-08
1884,5.182332074582519e-07,8.186104594187782e-08
1885,4.96958534768055e-07,7.670306700902074e-08
1886,5.433816454569751e-07,8.77671055832252e-08
1887,4.720412505321292e-07,8.74875922818319e-08
1888,4.990063757759344e-07,6.340614788769017e-08
1889,5.538381060432584e-07,8.269980611430583e-08
1890,4.4700917101181403e-07,7.537544632896243e-08
1891,3.869151612434507e-07,8.605196910593804e-08
1892,4.6324305458256276e-07,6.205826963423533e-08
1893,4.7666145519542624e-07,6.096832549928877e-08
1894,5.482339133777714e-07,6.301539201558626e-08
1895,5.194064556235389e-07,6.018614584490933e-08
1896,5.419369699666277e-07,5.366296207398591e-08
1897,4.690504340487678e-07,4.486569338268964e-08
1898,3.9551900954393204e-07,4.9227686815811467e-08
1899,3.8416669667640235e-07,4.643165851803133e-08
