year,avaient_VERB accompagné_VERB,avaient_VERB raccompagné_VERB
1800,2.924072930454713e-07,0.0
1801,3.3812793276410957e-07,0.0
1802,1.6336232988578558e-07,0.0
1803,2.398917331447592e-07,0.0
1804,2.71903616066993e-07,0.0
1805,2.643876371166698e-07,0.0
1806,1.7290014397985942e-07,0.0
1807,3.074711401040986e-07,0.0
1808,1.1783584596969376e-07,0.0
1809,4.179206598564633e-07,0.0
1810,2.2699229873524018e-07,0.0
1811,4.964011850461247e-07,0.0
1812,2.880584872855252e-07,0.0
1813,2.0705340375570813e-07,0.0
1814,3.838946156520251e-07,0.0
1815,7.14764269105217e-07,0.0
1816,4.5888558020124037e-07,0.0
1817,3.5496714190230705e-07,0.0
1818,6.139406423244509e-07,0.0
1819,4.657972567656543e-07,0.0
1820,5.304316914589435e-07,0.0
1821,5.118112653690332e-07,0.0
1822,5.363704644878453e-07,0.0
1823,5.3761817753184e-07,0.0
1824,6.955839353395277e-07,0.0
1825,6.489611337201495e-07,0.0
1826,6.561948566741194e-07,0.0
1827,7.272428206306358e-07,0.0
1828,7.50294248064165e-07,0.0
1829,6.618491852350417e-07,0.0
1830,6.189043801896332e-07,0.0
1831,4.942412488162518e-07,0.0
1832,7.779732413837337e-07,0.0
1833,5.977152568448219e-07,0.0
1834,5.516707801689336e-07,0.0
1835,6.526944957840897e-07,0.0
1836,6.357829533953918e-07,0.0
1837,6.51954394470522e-07,0.0
1838,7.038060516606492e-07,0.0
1839,6.103557552705752e-07,0.0
1840,9.051327651832253e-07,0.0
1841,6.118782494013431e-07,0.0
1842,7.318716939153092e-07,0.0
1843,5.901003987673903e-07,0.0
1844,6.844235826974909e-07,0.0
1845,5.451882429952093e-07,0.0
1846,5.57933958589274e-07,0.0
1847,6.908719569764799e-07,0.0
1848,6.69362464122969e-07,0.0
1849,6.88787906710786e-07,0.0
1850,5.594132517217076e-07,0.0
1851,6.430090593312343e-07,0.0
1852,5.800895905849757e-07,0.0
1853,5.571812380367192e-07,0.0
1854,6.239993126655463e-07,0.0
1855,7.058226287881553e-07,0.0
1856,5.876109980818001e-07,0.0
1857,6.07747892900079e-07,0.0
1858,6.063264663680457e-07,0.0
1859,5.530100111172942e-07,0.0
1860,7.396729415631853e-07,0.0
1861,5.107388574288052e-07,0.0
1862,6.329698862828081e-07,0.0
1863,5.404180001278291e-07,0.0
1864,5.139948484611523e-07,0.0
1865,5.304613637235889e-07,0.0
1866,5.400830218604824e-07,0.0
1867,5.241036546976829e-07,0.0
1868,5.088070338388206e-07,0.0
1869,4.61004219687311e-07,0.0
1870,5.458814484882168e-07,0.0
1871,3.6112001566834806e-07,0.0
1872,4.3903682467316685e-07,0.0
1873,3.6694206073661917e-07,0.0
1874,3.7401053987196065e-07,0.0
1875,4.823247650165285e-07,0.0
1876,4.292670610084315e-07,0.0
1877,4.1994900357167353e-07,0.0
1878,4.2756747120620275e-07,0.0
1879,3.8916402900213143e-07,0.0
1880,4.2036893432850775e-07,0.0
1881,3.2631334079269436e-07,0.0
1882,3.9799203932489036e-07,0.0
1883,3.8168806781868625e-07,0.0
