year,pourront_VERB emporter_VERB,pourront_VERB remporter_VERB
1800,2.829747991484055e-08,0.0
1801,7.143547975374531e-09,0.0
1802,3.5805442166747525e-08,0.0
1803,9.751696339321825e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,2.55858996212055e-08,0.0
1806,3.458002950651462e-08,8.645007376628655e-09
1807,4.839823830593559e-08,0.0
1808,6.798221985349073e-09,1.1330369531492579e-08
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,1.3905623319487859e-08,0.0
1817,6.383181272440197e-08,0.0
1818,9.536941902865692e-09,0.0
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,2.6626018723163725e-08,0.0
1822,1.4035862250239006e-08,1.0025615893027862e-09
1823,3.9530746676064155e-08,0.0
1824,5.642145595174952e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,1.6735169694470642e-08,0.0
1827,1.1982455028203276e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,1.3717081692732336e-08,0.0
1830,2.0873670791843324e-08,0.0
1831,1.870944643656003e-08,0.0
1832,2.0294953273491956e-08,5.411987746839486e-09
1833,1.7375443306377747e-08,0.0
1834,2.333632664885954e-08,0.0
1835,3.479020449503878e-08,0.0
1836,3.2259599436201825e-08,5.376600054063374e-09
1837,6.957891152126194e-09,6.957890930081589e-10
1838,2.840472923537618e-08,6.312161904276081e-10
1839,2.7965899818127582e-08,0.0
1840,9.554533164646273e-09,1.0191501864653674e-08
1841,6.420548537278137e-09,1.2841097074556274e-09
1842,3.287049921141261e-08,2.683306021822318e-09
1843,1.4767278067040479e-08,1.1813822142769936e-09
1844,1.0977122322231025e-08,0.0
1845,8.37034175305007e-09,4.464182357111213e-09
1846,8.781752214304106e-09,2.3418005312692003e-09
1847,1.6718992412734224e-08,1.0786447290911383e-09
1848,1.287235473768078e-08,0.0
1849,7.54147322368226e-09,2.513824481908955e-09
1850,8.82569484161877e-09,0.0
1851,1.9993260380601896e-08,1.9348316282474798e-09
1852,3.059956199535918e-08,5.859490670445666e-09
1853,1.0749477752369785e-08,0.0
1854,2.0782657372819813e-08,0.0
1855,1.9104973603134567e-08,5.306937111981824e-10
1856,1.5531567143511893e-08,0.0
1857,1.9526035899275485e-08,0.0
1858,1.761723389392955e-08,0.0
1859,1.171199848215565e-08,5.092173349652285e-10
1860,1.2816115280145368e-08,2.288591982591015e-09
