year,faudrait_VERB amener_VERB,faudrait_VERB ramener_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,0.0,4.943701892301533e-09
1805,0.0,1.1371510844071508e-08
1806,0.0,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,1.6183340889597275e-08
1816,4.6352077731626196e-08,2.3176038865813098e-09
1817,3.113746815941454e-09,1.401186100480345e-08
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,3.415846450138815e-08,0.0
1820,2.3732962262101864e-09,9.493184904840746e-09
1821,9.86148829262845e-10,5.9168927535324656e-09
1822,5.012807946513931e-09,9.023054303725075e-09
1823,1.9765373782121287e-09,1.2847492847356534e-08
1824,4.210556348027694e-09,1.0105335235266466e-08
1825,0.0,5.283265824829186e-09
1826,0.0,0.0
1827,1.1982455028203276e-08,8.295545583791863e-09
1828,4.586150570418113e-09,2.2013523448549677e-08
1829,4.286587973467704e-09,5.143905745796928e-09
1830,3.1310507520032616e-09,0.0
1831,4.677361609140007e-09,6.236482441579483e-09
1832,5.411987746839486e-09,5.411987746839486e-09
1833,1.1583628278799551e-08,8.108539617524002e-09
1834,9.334530925997342e-10,1.0267983796552471e-08
1835,1.285724948729694e-08,7.563087933704082e-10
1836,1.0753200108126748e-08,2.016224964762614e-09
1837,1.530736071231331e-08,9.74104708006962e-09
1838,1.8936486156917454e-08,6.943378316748294e-09
1839,1.677954131196202e-08,3.4957374772659477e-09
1840,6.369688665408546e-10,3.1848443882154243e-09
1841,8.988767952189392e-09,3.852329122366882e-09
1842,6.708265054555795e-09,3.3541325272778977e-09
1843,5.31621990873532e-09,1.1813822142769936e-09
1844,4.390849017710252e-09,4.390849017710252e-09
1845,1.0044410636567136e-08,7.812318791877715e-09
1846,2.3418005312692003e-09,1.8734404250153602e-08
1847,8.089835468183537e-09,8.089835468183537e-09
1848,4.82713291560799e-09,6.43617736884039e-09
1849,8.379414939696517e-10,6.703531951757213e-09
1850,5.431196825611551e-09,2.7834882843080777e-08
1851,1.0319102017319892e-08,9.674158363282004e-09
1852,1.1067927019325907e-08,5.859490670445666e-09
1853,1.7915795513800958e-09,1.3735443005202796e-08
1854,4.1565315633818045e-09,1.1430461910322265e-08
1855,9.552486801567284e-09,8.491099379170919e-09
1856,1.0354378687793542e-08,2.5368226630462232e-08
1857,4.393358121745905e-09,1.5620829074691756e-08
1858,7.34051397444091e-09,7.829881631948865e-09
1859,1.2730433596175317e-08,1.323965115318515e-08
1860,9.154367819341758e-10,9.612086238064421e-09
1861,2.8295783494058924e-09,1.3676294763342867e-08
1862,4.066187830886747e-09,9.487771457372673e-09
1863,7.491931519609807e-09,1.4484400345793347e-08
1864,9.589456340108882e-09,1.342523781033833e-08
1865,4.706844358715045e-10,1.7415324293779122e-08
1866,2.919367858567057e-09,9.244664589402873e-09
1867,3.396968040192405e-09,2.2808213984149006e-08
1868,1.975949626142892e-09,5.9278488784286765e-09
1869,1.0255390314739543e-08,1.953407657850903e-09
1870,2.2936195165357276e-09,8.027668307875047e-09
1871,0.0,2.8677177965619194e-08
1872,2.4189357183956872e-09,6.652073114565837e-09
1873,4.190203295451056e-09,1.1373408881354408e-08
1874,1.0156835372754358e-08,3.5847653734322193e-09
1875,5.721527140956084e-10,1.1443054503956773e-08
1876,6.04601479992084e-10,2.1765654167893445e-08
1877,5.566334504436554e-09,2.4739263970730008e-09
1878,4.831270938865373e-09,6.039088784604019e-09
1879,1.3440515367335593e-08,9.774920428640144e-09
1880,7.701415505323439e-09,1.7328185109022343e-08
1881,1.1853263259808955e-08,1.045876096839038e-08
1882,2.4624924321869912e-08,1.0648616211028639e-08
1883,1.1374810426900694e-08,2.338155447034751e-08
1884,5.941527270181268e-09,1.9805090900604227e-09
1885,8.379326565943757e-09,2.320428826863008e-08
1886,9.680196200179125e-09,7.744156427236248e-09
1887,1.4363633837888301e-08,2.154545164501087e-08
1888,1.521747527988282e-08,1.3949351895803375e-08
1889,1.2530273485467092e-09,1.8168895721260014e-08
1890,1.0487018364813139e-08,6.554386366985909e-09
1891,1.8485238229004608e-08,6.3742202627281586e-09
1892,1.56712811616444e-08,1.56712811616444e-08
1893,3.079208221734575e-09,1.3548516086814288e-08
1894,1.2603078580752936e-09,1.0082462864602348e-08
1895,9.629783193076946e-09,5.416753268150387e-09
1896,1.179405795248556e-09,2.299841384001411e-08
1897,6.409385022720926e-09,7.574727511894253e-09
1898,1.584339415217073e-08,5.092519295146758e-09
1899,1.0502398950507086e-08,6.633094074004475e-09
