year,ait_VERB enseigné_VERB,ait_VERB renseigné_VERB
1963,2.7157422977097667e-08,1.939815863494232e-09
1964,7.726639950078606e-08,1.8251904432275978e-09
1965,5.581484074923537e-08,1.6416130677043839e-09
1966,3.5450078428311826e-08,4.431259803538978e-09
1967,7.691323844483122e-08,9.860671168482327e-10
1968,3.1439910230801615e-08,1.7965663401398047e-09
1969,4.723428048691858e-08,3.1792304344691047e-09
1970,4.092865424354386e-08,2.2993624781975086e-09
1971,6.114692752134943e-08,3.5968783507200897e-09
1972,3.796308689629768e-08,1.0260293725750103e-09
1973,3.6938466507763223e-08,4.410563025913916e-09
1974,3.7691329168865195e-08,0.0
1975,2.1132477101559743e-08,1.7134440533084216e-09
1976,2.971033907783749e-08,1.7140580066410394e-09
1977,2.8208553715103335e-08,4.11374712072643e-09
1978,2.0198010375338527e-08,5.940591352171509e-10
1979,2.3993090181306798e-08,1.1703946700691858e-09
1980,1.6486936260662333e-08,1.1370301367108482e-09
1981,2.340453342242199e-08,2.5302198114474095e-09
1982,1.9864007327896616e-08,0.0
1983,3.599730291625747e-08,6.315316047889041e-10
1984,1.681712546997005e-08,1.1598016991243298e-09
1985,2.2257564680217e-08,0.0
1986,2.2179596825822046e-08,5.994485463567401e-10
1987,1.8943532964499354e-08,3.0554083707556856e-09
1988,2.938311283173789e-08,1.1993107618124554e-09
1989,3.1831110192115375e-08,2.1952488715726304e-09
1990,2.9967580417178397e-08,5.44865097484859e-10
1991,3.106576684785978e-08,1.1722930404189924e-09
1992,3.195767561692264e-08,0.0
1993,2.2710750613441633e-08,2.2156829704300662e-09
1994,3.9034457444131476e-08,0.0
1995,2.7112253775385398e-08,3.795715741716776e-09
1996,1.6548085568501847e-08,1.067618438099771e-09
1997,2.5412941084823615e-08,2.3974471297094624e-09
1998,1.1920323395031573e-08,2.86087753487152e-09
1999,2.7878227726318983e-08,4.570201161957499e-10
2000,1.767212509662386e-08,8.836062992401139e-10
2001,1.796296800193886e-08,4.3812117822561447e-10
2002,2.541108479192644e-08,2.6287327870022636e-09
2003,2.5834921757450502e-08,0.0
2004,2.2904915297772277e-08,8.809582507929292e-10
2005,2.0717248361279417e-08,9.007499190971657e-10
2006,2.388376074691223e-08,0.0
2007,2.7162460725094206e-08,7.988958938831558e-10
2008,2.171294255504108e-08,8.514879357157668e-10
2009,1.7165493915172192e-08,2.384096253749135e-09
2010,1.6533276081531767e-08,9.447586046817946e-10
2011,1.873746313663105e-08,3.82397197240536e-10
2012,2.246806829475645e-08,6.808505426114664e-10
2013,2.2034088331679413e-08,5.578250084070646e-10
2014,1.8189739492413537e-08,1.9489005964601347e-09
2015,2.4825643762937943e-08,6.649726325136385e-10
2016,2.7755955755992545e-08,1.0356699942093428e-09
2017,1.7860839918171223e-08,1.2578056374223934e-09
2018,3.201018827780899e-08,1.5488800242380307e-09
2019,1.8622211328533922e-08,1.7856913725466939e-09
