year,puissent_VERB appliquer_VERB
1800,6.288328968651058e-09
1801,9.524730337773235e-09
1802,1.1189200677108602e-08
1803,0.0
1804,2.4718509461507665e-09
1805,1.7057265822018053e-08
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,0.0
1809,0.0
1810,9.360507036149102e-09
1811,2.5070768572277302e-08
1812,1.600324850414836e-08
1813,2.8757416448144113e-09
1814,1.2586708564299443e-08
1815,2.697223555614414e-09
1816,2.5493642752394408e-08
1817,6.227493631882908e-09
1818,1.3113295338484932e-08
1819,1.1386155129855524e-08
1820,8.306536791735653e-09
1821,1.1833785507064931e-08
1822,0.0
1823,6.917880934764753e-09
1824,1.1789557774477544e-08
1825,1.2327619813845558e-08
1826,8.807984341885344e-10
1827,1.8434546111834038e-09
1828,1.559291185060374e-08
1829,2.571952872898464e-09
1830,1.461157062010443e-08
1831,4.677361609140007e-09
1832,2.976593194148336e-08
1833,1.3900354645102198e-08
1834,1.213489042584115e-08
1835,4.5378527602224494e-09
1836,6.72075017860152e-09
1837,1.0436836284100082e-08
1838,5.680945491803868e-09
1839,9.088918062616358e-09
1840,8.917564464638872e-09
1841,1.0272877659645019e-08
1842,1.341653010911159e-08
1843,1.7130041385371442e-08
1844,8.232841963717874e-09
1845,1.2834524554250493e-08
1846,8.196302303531411e-09
1847,9.707802561820245e-09
1848,6.43617736884039e-09
1849,3.016589289472904e-08
1850,2.0366988096043315e-08
1851,3.2247193804124663e-09
1852,7.161600201754936e-09
1853,5.3747388761848924e-09
1854,1.558699302961486e-08
1855,4.776243400783642e-09
1856,4.141751386299575e-09
1857,4.881508974818871e-09
1858,2.936205500958522e-09
1859,6.110608019582742e-09
1860,1.7393299245327398e-08
1861,8.960331143725853e-09
1862,6.325180823552046e-09
1863,1.2486552236623538e-08
1864,1.6781548595190543e-08
1865,1.0355057256106193e-08
1866,3.4059290943133647e-09
1867,2.0867089389753346e-08
1868,9.385760613156435e-09
1869,7.813630631403612e-09
1870,6.880858549607183e-09
1871,2.973929724703339e-08
1872,1.814201766592305e-08
1873,7.183205141814142e-09
1874,1.3144139998644278e-08
1875,1.6592428764283795e-08
1876,1.0278225381910033e-08
1877,1.4843558382438005e-08
1878,6.6429977074733415e-09
1879,1.8938909107646396e-08
1880,1.4119262203848848e-08
1881,6.2752567586699115e-09
1882,4.6587693702804245e-09
1883,9.479008689083912e-09
1884,5.281357573494461e-09
1885,3.2228177904158883e-09
1886,1.2261581083805595e-08
1887,1.1752064210668323e-08
1888,4.4384300679212174e-09
1889,6.265136853755848e-09
1890,9.831579994568074e-09
1891,7.0116419337296065e-09
1892,7.522214851007902e-09
1893,3.695050043717174e-09
1894,8.192000855444803e-09
