year,voulut_VERB envoyer_VERB,voulut_VERB renvoyer_VERB
1800,3.772997558826319e-08,0.0
1801,6.905429472681135e-08,0.0
1802,3.5805442166747525e-08,2.2378401354217203e-08
1803,4.8758479920252285e-08,1.950339223455444e-09
1804,2.7190360185613827e-08,9.887403784603066e-09
1805,8.24434565060983e-08,2.842877711017877e-09
1806,8.35684019762084e-08,2.881669125542885e-09
1807,2.8469550272802735e-08,1.4234775136401367e-08
1808,2.7192887941396293e-08,4.5321479902327155e-09
1809,2.25903047379461e-08,9.036122072814123e-09
1810,5.148278958699848e-08,2.3401267590372754e-09
1811,5.515568801683912e-08,4.262030373070047e-08
1812,6.668020802180763e-08,1.600324850414836e-08
1813,1.7254450312975678e-08,3.738464116054274e-08
1814,4.72001566720337e-08,2.8320094713762956e-08
1815,1.8880564667256294e-08,5.1247248222807684e-08
1816,6.025770460382773e-08,2.3176038865813098e-08
1817,9.808302792180257e-08,2.1796227045456362e-08
1818,4.768470773797162e-08,2.98029441125891e-08
1819,7.03871378959775e-08,1.3456364911235141e-08
1820,4.746592452420373e-08,4.746592452420373e-09
1821,9.2697987952306e-08,1.1833785507064931e-08
1822,1.0727409005539812e-07,4.210758675071702e-08
1823,1.353928098524193e-07,5.138997138942614e-08
1824,1.5410635967327835e-07,1.9368560089105813e-08
1825,5.987701001686219e-08,3.258013947515792e-08
1826,8.807984386294265e-08,2.906634755106552e-08
1827,8.019027575301152e-08,3.6869092223668076e-09
1828,6.879226077671774e-08,2.7516904310687096e-09
1829,1.6374765721138829e-07,2.6576845613135447e-08
1830,5.740259823028282e-08,2.400472176589119e-08
1831,4.365537620287796e-08,0.0
1832,4.7354891563600177e-08,1.6235963684607668e-08
1833,4.749287541017111e-08,1.1583628278799551e-08
1834,6.534171603789218e-08,7.467624740797874e-09
1835,4.61348363955949e-08,1.8151411040889798e-08
1836,9.610672435655943e-08,1.344150035720304e-08
1837,1.071515214334795e-07,1.530736071231331e-08
1838,8.0164454629994e-08,2.209256599883247e-08
1839,7.2012191765225e-08,1.4682098203877558e-08
1840,1.0892167523479657e-07,6.3696887764308485e-09
1841,3.78812359258518e-08,9.630822361827995e-09
1842,4.427455024824667e-08,2.683306021822318e-08
1843,5.9069112268161916e-08,2.3036953678001737e-08
1844,5.54344694592146e-08,1.920996517412732e-08
1845,3.682950477923441e-08,8.37034175305007e-09
1846,7.903576459966644e-08,7.025401593807601e-09
1847,6.795461615638487e-08,1.294373674909366e-08
1848,5.551202875153649e-08,1.769948809737798e-08
1849,4.608678239037545e-08,1.6758829879393033e-09
1850,4.820187271548093e-08,2.0366988096043315e-09
1851,5.159551008659946e-08,9.029214709244116e-09
1852,4.817803755940986e-08,1.3672145193766028e-08
1853,4.120633079196523e-08,1.1943863675867306e-08
1854,8.313062949127925e-08,1.7665259477439577e-08
1855,3.502578493908004e-08,1.8043586180738203e-08
1856,7.610468344410037e-08,1.0354378687793542e-08
1857,7.224633691294002e-08,1.3180074809326925e-08
