year,aurait_VERB appelé_VERB,aurait_VERB rappelé_VERB
1800,4.087413785214267e-08,6.288328968651058e-09
1801,1.1905912700171939e-08,1.1905912700171939e-08
1802,2.0140561218795483e-08,2.2378401354217203e-09
1803,2.3404069793286908e-08,1.755305234496518e-08
1804,7.662737999680758e-08,2.4718509905596875e-08
1805,2.55858996212055e-08,5.970043304159844e-08
1806,2.0171682990621775e-08,3.458002950651462e-08
1807,3.9857372513552036e-08,1.9928686256776018e-08
1808,2.4926814390369145e-08,2.2660739951163578e-09
1809,4.51806094758922e-08,9.036122072814123e-09
1810,9.126494404654295e-08,1.1700633351097167e-08
1811,4.512738271955641e-08,1.0028307073639553e-08
1812,6.401299401659344e-08,2.400487453257938e-08
1813,7.476928232108548e-08,4.3136125782439194e-08
1814,1.1328037885505182e-07,4.72001566720337e-08
1815,7.552225866902518e-08,6.203614333344376e-08
1816,7.648093003354006e-08,9.270415546325239e-09
1817,6.227493543065066e-08,2.9580593974287694e-08
1818,1.1205906957911793e-07,4.887682791832049e-08
1819,4.6579724966022695e-08,2.4842520929269085e-08
1820,7.001224133773576e-08,9.8491796052258e-08
1821,8.382264837791809e-08,6.114122896860863e-08
1822,8.020492714422289e-08,4.6117833107928163e-08
1823,5.929612001409623e-08,1.7788837070042973e-08
1824,9.515857612996115e-08,2.947389532437228e-08
1825,8.365170600654892e-08,5.6354835464844655e-08
1826,6.958307352533666e-08,2.9947145208097936e-08
1827,8.387718253288767e-08,3.96342727526644e-08
1828,9.172300963200541e-08,5.870272801189458e-08
1829,1.568891150327545e-07,3.772197487705853e-08
1830,1.2106730196137505e-07,2.5048406016026092e-08
1831,1.340843738262265e-07,1.0446107978623331e-07
1832,1.3394669906574563e-07,3.5177919244233635e-08
1833,1.656458863408261e-07,7.876867158529421e-08
1834,1.344172488870754e-07,2.333632664885954e-08
1835,1.323540459452488e-07,2.571449897459388e-08
1836,1.290383977448073e-07,5.712637474175608e-08
1837,9.045258053674843e-08,6.053365098068753e-08
1838,1.249808008196851e-07,4.9234863297442644e-08
1839,1.566090475080273e-07,3.8453112694014635e-08
1840,1.5350950377523986e-07,5.923810419972142e-08
1841,1.2776891367138887e-07,5.1364388298225094e-08
1842,9.12324082946725e-08,4.494537719779146e-08
1843,1.0278025541765601e-07,5.2571508035725856e-08
1844,1.0263609340199764e-07,4.006649589882727e-08
1845,6.305657507255091e-08,2.8459162138005922e-08
1846,1.4928978941952664e-07,1.9905304071698993e-08
1847,1.1002175881458243e-07,1.9954928376364478e-08
1848,9.412909207640041e-08,4.103063133698015e-08
1849,1.843471295615018e-07,6.284561493430374e-08
1850,1.222019250235462e-07,2.5119284430275002e-08
1851,1.0319102017319892e-07,1.1608989325395669e-08
1852,1.3411722932232806e-07,4.101643469311966e-08
1853,1.3854881331099023e-07,5.4941772020811186e-08
1854,1.2053941134126944e-07,3.16935526711859e-08
1855,1.0985360177073744e-07,3.078023524949458e-08
1856,7.972871429728912e-08,6.73034605824796e-08
1857,1.0641689840440449e-07,4.4421732070532016e-08
1858,1.5317205281917268e-07,5.138359782108637e-08
1859,1.2526746218100016e-07,3.920973412618878e-08
1860,1.080215383808536e-07,4.7602711106264906e-08
1861,1.207286715043665e-07,3.678451676591976e-08
1862,1.093352679504278e-07,4.382446761042047e-08
1863,1.0888273749287691e-07,4.295374012031061e-08
1864,1.1315557912894292e-07,4.1234660130839984e-08
1865,1.1767110663640779e-07,5.9306238142653456e-08
1866,1.109359715201208e-07,4.7683005988119476e-08
1867,1.1501163044158602e-07,5.046923945428716e-08
1868,9.138766898786344e-08,3.507310708528166e-08
1869,1.2111127034586389e-07,4.395167252368992e-08
1870,1.4793846503380337e-07,5.2179842668920173e-08
1871,1.603797699090137e-07,1.0621176826930423e-08
1872,1.1550417866601492e-07,3.1446163006876304e-08
1873,9.817047441629256e-08,2.9331422624068182e-08
1874,8.543690910300938e-08,3.943242177228967e-08
1875,1.1614699957362973e-07,4.520006413599731e-08
1876,7.920279188056156e-08,4.17175023414984e-08
1877,7.978412952525105e-08,3.5253449937044934e-08
1878,8.031987874801416e-08,4.5293166550663955e-08
1879,1.3684888244824833e-07,7.636656818021947e-08
1880,1.0974517294926045e-07,4.171599954361227e-08
1881,9.203709794292081e-08,4.044054335849978e-08
1882,1.271178575734666e-07,3.9932309903178975e-08
1883,9.921362220666197e-08,4.676310894069502e-08
1884,7.591951600716129e-08,5.743476449993068e-08
1885,1.0248560755599101e-07,4.383032248256313e-08
1886,1.1809839151055712e-07,2.6459201052375647e-08
1887,9.858676008889233e-08,4.700825684267329e-08
1888,8.559830178000993e-08,4.311618084784641e-08
1889,1.014952175637518e-07,4.9494580878217675e-08
1890,9.045053417366944e-08,3.211649257650606e-08
1891,1.121862709396737e-07,3.952016314201501e-08
1892,9.653508925566712e-08,2.9462007944403013e-08
1893,8.005941509736658e-08,4.865148994781521e-08
1894,8.885170643679885e-08,4.600123659770361e-08
1895,9.569597381187123e-08,3.009307292245467e-08
1896,9.31730568254352e-08,4.009979548413867e-08
1897,8.215666014166345e-08,1.981082675683865e-08
1898,9.562619851521958e-08,4.4701003787395166e-08
1899,8.512471083577111e-08,4.0351324059884064e-08
1900,7.215563613272025e-08,2.906989848838748e-08
1901,7.209473551483825e-08,3.1855812210324075e-08
1902,7.316322836459221e-08,3.191684427861219e-08
1903,8.748357060994749e-08,4.050165358648883e-08
