year,dut_VERB appeler_VERB,dut_VERB rappeler_VERB
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,0.0,0.0
1803,5.851017448321727e-09,1.3652374342143503e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,8.645007376628655e-09
1807,0.0,0.0
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,4.518061036407062e-09,4.518061036407062e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,2.0130190847567064e-08
1814,0.0,3.1466772298927026e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,4.670620334934483e-09
1818,1.1921177378582115e-09,2.026600220972341e-08
1819,3.001804671498576e-08,8.280840013696888e-09
1820,3.5599443393152796e-09,3.5599443393152796e-09
1821,8.875339574387908e-09,0.0
1822,1.604098542884458e-08,1.5038423839541792e-08
1823,1.8777104315859106e-08,9.882686891060644e-10
1824,0.0,3.705289586264371e-08
1825,2.641632912414593e-09,9.68598712347557e-09
1826,3.5231937367541377e-09,1.4092774947016551e-08
1827,1.3825909306319772e-08,3.041700225026034e-08
1828,5.503380862137419e-09,6.420610709767516e-09
1829,9.430493719264632e-09,2.571952872898464e-09
1830,1.3567886369969528e-08,1.878630406793036e-08
1831,1.5591206103948707e-09,1.4032085715598441e-08
1832,4.329590197471589e-08,2.705993873419743e-09
1833,6.950177322551099e-09,2.3167256557599103e-08
1834,2.240287422239362e-08,3.733812370398937e-09
1835,2.4958190181223472e-08,1.9664028627630614e-08
1836,1.1425274948351216e-08,6.720750067579218e-10
1837,2.435261770017405e-08,2.0873671680021744e-09
1838,1.9567702125300457e-08,4.418513555037862e-09
1839,6.292327547896548e-09,1.3982949909063791e-08
1840,1.0191501864653674e-08,1.9109066329292546e-08
1841,3.852328944731198e-08,1.733548060656176e-08
1842,1.7441490030023488e-08,1.609983613093391e-08
1843,1.8311423488626133e-08,1.5357969118667825e-08
1844,1.4819115712327857e-08,2.25031016043431e-08
1845,1.2276501593078137e-08,6.696273757711424e-09
1846,1.6978054517835517e-08,1.7563504428608212e-08
1847,1.4561703842730367e-08,5.9325460100012606e-09
1848,2.011305433313737e-08,8.04522137798358e-09
1849,2.011059585527164e-08,2.0948537127196687e-08
1850,1.2220192857625989e-08,2.647708541303473e-08
1851,1.483370937194195e-08,4.514607354622058e-09
1852,1.1718981340891332e-08,1.6927417689771573e-08
1853,6.569124799682413e-09,5.3747388761848924e-09
1854,2.6497888327980945e-08,1.2469595134234623e-08
1855,1.8043586180738203e-08,1.751289246954002e-08
1856,2.3815070804289462e-08,1.1907535402144731e-08
1857,1.0251168802710708e-08,1.2691923956253959e-08
1858,1.3702292633865909e-08,2.0064071293290908e-08
1859,1.171199848215565e-08,2.2405561850291633e-08
