year,devrait_VERB ajouter_VERB,devrait_VERB rajouter_VERB
1800,1.4463157071986643e-07,0.0
1801,1.9287578822968499e-07,0.0
1802,1.8126505096915935e-07,0.0
1803,6.241085515057421e-08,0.0
1804,9.887403784603066e-09,0.0
1805,8.528632911009026e-09,0.0
1806,2.305335300434308e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,2.945896149242344e-08,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,0.0
1811,2.0056614147279106e-08,0.0
1812,3.467370746079723e-08,0.0
1813,5.751483289628823e-09,0.0
1814,9.440030979135372e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,2.3353100786493997e-08,0.0
1818,9.536941902865692e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,2.966620371580575e-08,0.0
1821,2.2681422962023134e-08,0.0
1822,2.0051231786055723e-08,0.0
1823,5.929612356680991e-09,0.0
1824,1.6842225392110777e-08,0.0
1825,8.805443485471187e-09,0.0
1826,2.8185549894033102e-08,0.0
1827,2.166059118735575e-07,0.0
1828,1.0272977135628025e-07,0.0
1829,3.257806824308318e-08,0.0
1830,3.339787468803479e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,2.4353944638733083e-08,0.0
1833,7.761030929032131e-08,0.0
1834,2.5203233278148218e-08,0.0
1835,2.4958190181223472e-08,0.0
1836,1.0013917517426307e-07,0.0
1837,1.461157062010443e-08,0.0
1838,1.1361890983607736e-08,0.0
1839,1.7478688718597368e-08,0.0
1840,3.248541347034006e-08,0.0
1841,3.531301828729738e-08,0.0
1842,2.750388716776797e-08,0.0
1843,4.7255287682901326e-08,0.0
1844,1.975882035765153e-08,0.0
1845,4.2409730838244286e-08,0.0
1846,3.219975752699611e-08,0.0
1847,4.476375536910382e-08,0.0
1848,6.91889070481011e-08,0.0
1849,4.524883934209356e-08,0.0
1850,4.5486274302675156e-08,0.0
1851,3.676180071465751e-08,0.0
1852,3.1250618093281446e-08,0.0
1853,1.3735443005202796e-08,0.0
1854,1.2989160858012383e-08,0.0
1855,2.5473298137512757e-08,0.0
1856,6.316170697573398e-08,0.0
1857,4.29572786231347e-08,0.0
1858,3.131952652779546e-08,0.0
1859,2.34239969643113e-08,0.0
1860,3.158256944857385e-08,0.0
1861,4.480165571862926e-08,0.0
1862,3.34330998441601e-08,0.0
1863,3.5461809488879226e-08,0.0
1864,5.7057263802562375e-08,1.9178911792039344e-09
1865,1.8733240381152427e-07,0.0
1866,4.135770836910524e-08,0.0
1867,4.464586567110018e-08,0.0
1868,3.853101659956337e-08,0.0
1869,3.320792885119772e-08,0.0
1870,4.759260363584872e-08,0.0
1871,4.460894587055009e-08,0.0
1872,3.4469834986339265e-08,0.0
1873,2.2746817762708815e-08,0.0
