year,veut_VERB abattre_VERB,veut_VERB rabattre_VERB
1800,8.174827570428533e-08,0.0
1801,2.6193008650921e-08,0.0
1802,2.0140561218795483e-08,6.713520406265161e-09
1803,8.191424427650418e-08,1.950339223455444e-09
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,2.55858996212055e-08,0.0
1806,8.645007376628655e-09,1.4408345627714425e-08
1807,2.562259560079383e-08,1.4234775136401367e-08
1808,1.8128591960930862e-08,0.0
1809,2.710836710662079e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,2.400487453257938e-08,0.0
1813,6.901780125190271e-08,0.0
1814,5.97868634599763e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,7.416332437060191e-08,0.0
1817,9.49692804397273e-08,3.113746815941454e-09
1818,7.152706427149269e-09,0.0
1819,3.2088255608186955e-08,1.035105001712111e-09
1820,3.797273961936298e-08,0.0
1821,2.465372084259343e-08,0.0
1822,5.213320264374488e-08,6.015369535816717e-09
1823,5.830785099192326e-08,1.1859224713361982e-08
1824,9.515857612996115e-08,0.0
1825,4.57883047033647e-08,0.0
1826,5.19671061738336e-08,0.0
1827,2.5808365222701468e-08,1.8434546111834038e-09
1828,5.044765671868845e-08,7.337841001486822e-09
1829,2.4862210068476998e-08,0.0
1830,3.339787468803479e-08,2.0873671680021744e-09
1831,4.365537620287796e-08,0.0
1832,5.547287429408243e-08,6.764984572527055e-09
1833,5.3284690437749305e-08,3.4750886612755494e-09
1834,3.547121707470069e-08,9.334530925997342e-10
1835,3.857174846189082e-08,0.0
1836,5.712637474175608e-08,6.048674894287842e-09
1837,9.671468603755784e-08,0.0
1838,2.5248647617104325e-08,2.5248647617104325e-09
1839,5.733009800223954e-08,2.0974426639952526e-09
1840,5.987507023519356e-08,2.5478754661634184e-09
1841,4.4301785351308354e-08,1.3483152372373297e-08
1842,4.8299508392801727e-08,1.341653010911159e-09
1843,3.7804230856863796e-08,1.1813822142769936e-09
1844,4.720162749549672e-08,8.232841963717874e-09
1845,5.357019006169139e-08,2.2320911785556063e-09
1846,5.444686124178588e-08,1.1709002656346001e-09
1847,4.260646591092154e-08,5.3932236454556914e-09
1848,6.677534258869855e-08,2.413566457803995e-09
1849,5.111443002192573e-08,0.0
1850,4.8880771430503955e-08,8.146795238417326e-09
1851,5.611011744122152e-08,1.0319102017319892e-08
1852,4.296959943417278e-08,6.510545436100301e-10
1853,4.538668108011734e-08,5.971931837933653e-10
1854,3.636965217879151e-08,4.676098175337984e-09
1855,4.617035287424187e-08,1.0613874223963649e-08
1856,2.9509978460851016e-08,5.177189343896771e-09
1857,2.001418764052687e-08,0.0
1858,3.474509924217273e-08,0.0
1859,4.1755821911237945e-08,3.055304009791371e-09
1860,5.1722178540103414e-08,4.119465657481669e-09
1861,4.1500481273715195e-08,4.2443675241088386e-09
1862,6.957699127951855e-08,7.680577063240435e-09
