year,petit_ADJ habit_NOUN,petit_ADJ rabbi_NOUN
1800,6.60274537267469e-08,0.0
1801,2.6193008650921e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,3.707776485839531e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,4.610670600868616e-08,0.0
1807,1.9928686700865228e-08,0.0
1808,4.758755522971114e-08,0.0
1809,9.939734546549062e-08,0.0
1810,3.510190182964834e-08,0.0
1811,4.763445815569867e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,6.326631307729258e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,2.966945977789237e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,3.269434145636296e-08,0.0
1818,6.556647247357716e-08,0.0
1819,3.2088255608186955e-08,0.0
1820,2.610625848831205e-08,0.0
1821,3.254291103260698e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,7.708495530778237e-08,0.0
1824,7.073734753504368e-08,0.0
1825,9.15766094067294e-08,0.0
1826,3.2589542509064984e-08,0.0
1827,2.3043182917348304e-08,0.0
1828,3.944089499441361e-08,0.0
1829,2.743416338546467e-08,0.0
1830,5.114049628218709e-08,0.0
1831,6.704218691311326e-08,0.0
1832,3.111892965534935e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,2.5203233278148218e-08,0.0
1835,8.168134968400409e-08,0.0
1836,3.49478987970997e-08,0.0
1837,4.731365876864402e-08,0.0
1838,2.651107955387033e-08,0.0
1839,4.9639474752893875e-08,0.0
1840,2.611572397226425e-08,0.0
1841,3.274479709602929e-08,0.0
1842,3.7566284305512454e-08,0.0
1843,3.603215859016018e-08,0.0
1844,4.829933897276817e-08,0.0
1845,8.984167010339661e-08,0.0
1846,4.4494210982293225e-08,0.0
1847,4.0449176452739266e-08,0.0
1848,6.838438793010937e-08,0.0
1849,3.351765798242923e-08,0.0
1850,8.282574981421931e-08,0.0
1851,3.353708066811123e-08,0.0
1852,5.208436348880241e-08,0.0
1853,5.5538965426649156e-08,0.0
1854,3.948704829781491e-08,0.0
1855,5.3600064831016425e-08,0.0
