year,durent_VERB avoir_VERB
1800,1.1004575384276905e-07
1801,5.9529565277216534e-08
1802,1.2531904758361634e-07
1803,4.4857802805609026e-08
1804,1.038177401824214e-07
1805,1.1655798459742073e-07
1806,4.3225035994964855e-08
1807,1.0818429529990681e-07
1808,7.931259204951857e-08
1809,1.219876537561504e-07
1810,7.020380365929668e-08
1811,1.3287507272252697e-07
1812,8.801787032552966e-08
1813,3.738464116054274e-08
1814,7.866692897096073e-08
1815,4.315557688983063e-08
1816,9.270415546325239e-08
1817,7.317304806520042e-08
1818,1.5616741677604296e-07
1819,9.108924103884419e-08
1820,6.882559233645225e-08
1821,9.565643921405353e-08
1822,6.215881853677274e-08
1823,9.78386012207011e-08
1824,1.1536924660049408e-07
1825,1.1006803646296248e-07
1826,7.839106075380187e-08
1827,9.8624823863247e-08
1828,1.6051527040872315e-07
1829,1.2688300898844318e-07
1830,1.1793624565825667e-07
1831,9.510635834431014e-08
1832,1.1229874274931717e-07
1833,1.5637898798104288e-07
1834,1.7922299377914896e-07
1835,1.595811625065835e-07
1836,1.384474472843067e-07
1837,1.3637466622640204e-07
1838,1.401299982717319e-07
1839,1.6849455164447136e-07
1840,1.859949065874389e-07
1841,1.5794549312886375e-07
1842,1.3886108263250208e-07
1843,1.5948660347930854e-07
1844,1.394094510942523e-07
1845,1.9698204312135204e-07
1846,1.50460678582931e-07
1847,1.537068783363793e-07
1848,8.447482713336285e-08
1849,1.508294644736452e-07
1850,1.4256892200137372e-07
1851,1.3414832267244492e-07
1852,1.634146968854111e-07
1853,1.2839653606988577e-07
1854,1.1378504893855279e-07
1855,1.3214273053563375e-07
1856,1.7291812071107415e-07
1857,1.1862066884305023e-07
1858,1.6932119706325466e-07
1859,9.573285808528453e-08
1860,1.1809134292661838e-07
1861,1.4289369687503495e-07
1862,1.2379283020891307e-07
1863,1.11879508324364e-07
1864,1.6445916628526902e-07
1865,1.214365852320043e-07
1866,1.1969407864853565e-07
1867,1.3539343513002677e-07
1868,1.1460507920446616e-07
1869,8.83916939642404e-08
1870,1.0493309332559875e-07
1871,8.921789174110017e-08
1872,1.4634561296134052e-07
1873,1.0595228161491832e-07
1874,1.7625096404572105e-07
1875,1.1443054148685405e-07
1876,9.37132327294421e-08
1877,1.2184086983779707e-07
1878,1.2802867388472805e-07
1879,1.1485531814514616e-07
1880,1.1038695646448105e-07
1881,1.1225737495124122e-07
1882,1.0648616211028639e-07
1883,8.594300737740923e-08
1884,1.241119065298335e-07
1885,1.0570842334800545e-07
1886,7.098810073102868e-08
1887,6.202478175509896e-08
1888,1.0081577528353591e-07
1889,8.833842457534047e-08
1890,9.897123476321212e-08
1891,6.884157954800685e-08
1892,9.152027757863834e-08
1893,6.404753349897874e-08
1894,9.326278416210698e-08
1895,9.027921521465032e-08
1896,1.2678611938099493e-07
1897,6.5259193604561e-08
1898,8.544115814856923e-08
1899,6.909473171390346e-08
1900,9.499627395825883e-08
1901,8.327221223680681e-08
1902,7.070809004972034e-08
1903,9.126372191303744e-08
1904,1.0265534200470938e-07
1905,1.001187257543279e-07
1906,7.716276684277545e-08
1907,7.045695582519329e-08
1908,1.0019233798175264e-07
1909,7.536347368386487e-08
1910,8.497199388557419e-08
1911,5.7460042057755345e-08
1912,5.365703970028335e-08
1913,5.3560196278112926e-08
1914,7.165515825136026e-08
1915,5.654765544704787e-08
1916,6.812226160946011e-08
1917,5.483212106582869e-08
1918,8.844509835626013e-08
1919,6.997964874244644e-08
1920,6.587841738792122e-08
1921,8.405749696294151e-08
1922,8.337067214370109e-08
1923,6.475728042687479e-08
1924,8.121723737986031e-08
1925,6.928851803422731e-08
1926,6.576221522891501e-08
1927,7.358488574027433e-08
1928,7.198406137831626e-08
1929,8.466708578680482e-08
1930,7.142450186847782e-08
1931,7.299428261831054e-08
1932,8.76762911161677e-08
1933,9.061822936473618e-08
1934,8.147474517272713e-08
1935,7.4203363453762e-08
1936,1.0548501450102776e-07
1937,8.058315614789535e-08
1938,7.779128452511941e-08
1939,9.482311469355409e-08
1940,5.325144059042941e-08
1941,1.151085982087352e-07
1942,4.5513175450651033e-08
1943,1.1612940653549231e-07
1944,6.105053529381621e-08
1945,7.84261473540937e-08
1946,6.40370814153357e-08
1947,4.4107220986688844e-08
1948,6.631851334759631e-08
1949,4.908504180889395e-08
1950,6.274863295629984e-08
1951,6.183613265875465e-08
1952,6.221434034614504e-08
1953,5.4946518446286063e-08
1954,4.202190595492539e-08
1955,4.598947711542678e-08
1956,4.098936656760088e-08
1957,4.59421976017893e-08
1958,6.783239570040678e-08
1959,3.8753739772801055e-08
1960,3.8064584373387333e-08
1961,6.531269747256374e-08
1962,4.058852098864918e-08
1963,3.9442923593924206e-08
1964,4.806334885643082e-08
