year,devraient_VERB aller_VERB
1800,1.8864987794131594e-08
1801,1.904946067554647e-08
1802,1.3427040812530322e-08
1803,5.851017448321727e-09
1804,1.4831105232815389e-08
1805,2.2743021688143017e-08
1806,0.0
1807,1.4234775136401367e-08
1808,0.0
1809,2.259030518203531e-09
1810,3.7442028144596406e-08
1811,7.521229861140455e-09
1812,2.1337665856435706e-08
1813,2.8757416004054903e-08
1814,3.1466771410748606e-09
1815,1.6183340889597275e-08
1816,6.952811659743929e-09
1817,2.3353100786493997e-08
1818,2.6226590676969863e-08
1819,2.898294049202832e-08
1820,2.8479554714522237e-08
1821,3.0570614484304315e-08
1822,1.9048670196752937e-08
1823,1.4824030003524058e-08
1824,6.736890156844311e-09
1825,1.2327619813845558e-08
1826,2.7304752237000685e-08
1827,1.013900075008678e-08
1828,2.4765213879618386e-08
1829,2.743416338546467e-08
1830,3.235419043789989e-08
1831,5.76874619184764e-08
1832,4.6001897402447867e-08
1833,6.718504863556518e-08
1834,1.3068342852307069e-08
1835,3.932805725526123e-08
1836,3.36037508930076e-08
1837,2.2961039292113128e-08
1838,1.7674054220151447e-08
1839,1.1885507689157748e-08
1840,1.7198159341091923e-08
1841,3.338685417020315e-08
1842,3.4212153110502186e-08
1843,9.451057714215949e-09
1844,2.9638231424655714e-08
1845,2.399498022498392e-08
1846,1.9319854160926297e-08
1847,1.88762818709165e-08
1848,4.907585093860689e-08
1849,1.508294644736452e-08
1850,2.5119284430275002e-08
1851,1.7413483988093503e-08
1852,2.8646400807019745e-08
1853,2.7470886010405593e-08
1854,3.896748168585873e-08
1855,3.449509122788186e-08
1856,2.5368226630462232e-08
1857,3.221796163188628e-08
1858,2.8872689128434104e-08
1859,4.0228169240208445e-08
1860,2.654766717569146e-08
1861,1.5091083938045813e-08
1862,3.252950264709398e-08
1863,3.795911851511846e-08
1864,2.1096802527154068e-08
1865,3.388927893865912e-08
1866,2.8220554781910323e-08
1867,3.8337212515671126e-08
1868,1.3831646938911035e-08
1869,4.541672637969896e-08
1870,4.4152177025580386e-08
1871,2.8677177965619194e-08
1872,5.865918950576088e-08
1873,5.5071240012694034e-08
1874,2.7483201492373155e-08
1875,3.1468399441791917e-08
1876,3.627608791134662e-08
1877,2.8450154232473324e-08
1878,4.7708802242141246e-08
1879,4.3987142817059066e-08
1880,2.2462462112571302e-08
1881,2.9284532132578533e-08
1882,3.926677294430192e-08
1883,2.464542170343975e-08
1884,2.5746619058963915e-08
1885,3.867381437316908e-08
1886,3.4203360144147155e-08
1887,4.8966935395355904e-08
1888,3.4239320712003973e-08
1889,3.069916942877171e-08
1890,2.0974036729626278e-08
1891,3.1233678754460925e-08
1892,2.3193495124473884e-08
1893,3.94138659487453e-08
1894,3.528862180246506e-08
1895,2.2870734639468537e-08
1896,2.94851449922362e-08
1897,3.787363667129284e-08
1898,4.2437662273187016e-08
1899,6.025060628189749e-08
1900,3.6856476981483866e-08
1901,2.4031576728589243e-08
1902,3.2407871941586563e-08
1903,2.754112315983548e-08
1904,3.6009989656804464e-08
1905,4.8511136441220515e-08
1906,4.6812079546043606e-08
1907,4.0628464148539933e-08
1908,4.174680867663483e-08
1909,5.721022944271681e-08
1910,2.672075360976578e-08
1911,4.735132819178034e-08
1912,4.844761747335724e-08
1913,4.295421618394357e-08
1914,4.7546880210802556e-08
1915,7.304072369151982e-08
1916,5.383856560570166e-08
1917,2.9609346086090227e-08
1918,4.5945505178224266e-08
1919,5.985101125816072e-08
1920,5.073395215049459e-08
1921,3.7863738810983705e-08
1922,5.2383342108441866e-08
1923,4.777176698667063e-08
1924,3.351822286390416e-08
1925,3.519416935660047e-08
1926,3.6782257240020044e-08
1927,5.9090890403012963e-08
1928,4.1133748851507335e-08
1929,4.790374674712439e-08
1930,3.466189113510154e-08
1931,2.9653927313688655e-08
1932,2.6302888755935783e-08
1933,4.244144946596862e-08
1934,2.995395220750652e-08
1935,2.8723881939640705e-08
1936,5.092380206406233e-08
1937,3.5255130370615007e-08
1938,3.630260181353151e-08
1939,1.5294050470515685e-08
1940,2.7893612752905028e-08
1941,2.066051862925633e-08
1942,3.034211815133858e-08
1943,5.8064703267746154e-08
1944,5.462416652335378e-08
1945,6.535512397931598e-08
1946,5.0115975369635635e-08
1947,3.814678706248742e-08
1948,2.717971980814582e-08
1949,4.712163814701853e-08
1950,4.2541444145172136e-08
1951,3.838104589704017e-08
1952,4.956057964022875e-08
1953,5.0636987936059086e-08
1954,3.322662323057557e-08
1955,3.9419553843345057e-08
1956,3.9245136917998025e-08
1957,4.94762097957846e-08
1958,4.3015667472445784e-08
1959,3.797866554577922e-08
1960,3.460416664324839e-08
1961,5.419564175213054e-08
1962,5.961439342172525e-08
1963,3.0390449268224984e-08
1964,4.988854129805986e-08
1965,5.4720434405908236e-08
1966,6.868452828712179e-08
1967,5.37406563694276e-08
1968,5.344784881344822e-08
1969,5.94970259726324e-08
1970,7.7718453894704e-08
1971,6.577148781161668e-08
1972,5.540558589700595e-08
1973,4.741355397186453e-08
1974,5.40054898579001e-08
1975,5.6543655091445544e-08
1976,5.484985621251326e-08
1977,4.760193306196925e-08
1978,5.702967698084649e-08
1979,3.5697038214266286e-08
1980,4.832378053265529e-08
1981,5.756250232025195e-08
