year,pourrait_VERB envoyer_VERB,pourrait_VERB renvoyer_VERB
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,6.191074675143682e-08,1.6668277424969347e-08
1802,2.2378401354217203e-08,2.4616241489638924e-08
1803,6.826187615160961e-08,2.9255089017965474e-08
1804,3.707776485839531e-08,0.0
1805,3.980028751016107e-08,4.8328921309348516e-08
1806,8.06867319624871e-08,8.645007376628655e-09
1807,3.131650672116848e-08,1.1387820464392462e-08
1808,6.345007363961486e-08,1.3596443970698147e-08
1809,1.2650571079575457e-07,0.0
1810,2.106114038724627e-08,4.680253518074551e-09
1811,1.278609147448151e-07,2.5070767684098882e-09
1812,2.9339290108509886e-08,1.600324850414836e-08
1813,4.601186631703058e-08,0.0
1814,2.5173417128598885e-08,1.2586708564299443e-08
1815,9.710004889029733e-08,5.394447111228828e-09
1816,4.4034472068688046e-08,2.3176038865813098e-09
1817,1.2299300067297736e-07,2.80237220096069e-08
1818,7.867976847819591e-08,5.96058882251782e-08
1819,7.452756278780726e-08,3.622867339458935e-08
1820,9.255855104584043e-08,1.542642635854463e-08
1821,5.423818549843418e-08,1.972297702934611e-08
1822,7.21844344298006e-08,1.0025615893027862e-08
1823,5.6331316500290995e-08,4.941343334508019e-09
1824,9.768490372152883e-08,1.1789557774477544e-08
1825,7.660735690251386e-08,1.3208164340028361e-08
1826,5.989429041619587e-08,2.1139161532346407e-08
1827,9.585964022562621e-08,3.3182182335167454e-08
1828,7.33784091266898e-08,2.659967357487858e-08
1829,1.1488055662312036e-07,3.086343269842473e-08
1830,8.975678866818271e-08,6.679574937606958e-08
1831,5.9246584527272717e-08,4.8332740476553226e-08
1832,5.0060886991332154e-08,4.6001897402447867e-08
1833,5.560141858040879e-08,3.243415847009601e-08
1834,1.0081293311259287e-07,1.7735608537350345e-08
1835,9.15133639978194e-08,3.6302822081779595e-08
1836,6.51912728244497e-08,5.8470526198561856e-08
1837,9.949783930096601e-08,2.1569462660409044e-08
1838,9.72072911054056e-08,2.840472923537618e-08
1839,7.620707975775076e-08,2.866504900111977e-08
1840,1.0255198645836572e-07,2.293087852933695e-08
1841,7.961480008589206e-08,2.43980835534785e-08
1842,1.4825265282070177e-07,1.8783142152756227e-08
1843,6.556670939517062e-08,1.7130041385371442e-08
1844,7.354672248993666e-08,1.701453911095996e-08
1845,8.091330272463892e-08,1.3950569588416784e-08
1846,6.908311434017378e-08,2.6930706553685013e-08
1847,1.1541498423639496e-07,2.3730184040005042e-08
1848,7.884317199113866e-08,3.218088551193432e-08
1849,3.1841775438579134e-08,4.8600607982507427e-08
1850,4.955967014552698e-08,2.647708541303473e-08
1851,6.900899762740664e-08,2.0638204034639784e-08
1852,4.948014620254071e-08,3.190167419120371e-08
1853,8.002388796057858e-08,3.58315901394235e-08
1854,1.0495242008801142e-07,3.065441944727354e-08
1855,7.270503488143731e-08,2.5473298137512757e-08
1856,6.937433738585241e-08,1.501384794266869e-08
1857,8.005675056210748e-08,1.4644527368545823e-08
1858,1.2283126693546365e-07,1.5170396494568195e-08
1859,8.249320870845622e-08,1.018434669930457e-08
1860,9.154367575092692e-08,1.6935580049448618e-08
1861,1.1035355385047296e-07,1.0375120318428799e-08
1862,6.415540809712184e-08,1.671654992208005e-08
1863,1.0888273749287691e-07,1.4484400345793347e-08
1864,1.1651189169015197e-07,2.2535221688713136e-08
1865,5.977692296710302e-08,1.835669216632141e-08
1866,7.006482860560936e-08,2.3354942868536455e-08
1867,1.3781985330751922e-07,2.4749338578544666e-08
1868,8.150792041305976e-08,6.273639741039005e-08
1869,9.42519164937039e-08,2.24641887314192e-08
1870,5.160643823387545e-08,2.8096838633473453e-08
1871,7.434824311758348e-08,4.142259157902117e-08
1872,6.22875973022019e-08,2.1770421909650395e-08
1873,5.686704085405836e-08,2.454261860407314e-08
1874,7.408515045881359e-08,3.764003864148435e-08
1875,6.179249112392426e-08,2.1741803024610817e-08
1876,5.622793608495158e-08,2.1161051577678336e-08
1877,8.34950171224591e-08,1.9172929910382663e-08
1878,5.1332254003000344e-08,2.6571990829893366e-08
1879,7.331190232662266e-08,2.016077260691418e-08
1880,6.995452395130997e-08,3.4656370218044685e-08
1881,6.205532088188193e-08,3.486253774553916e-08
1882,9.783416032860259e-08,1.5307385581309063e-08
1883,9.352621788139004e-08,2.8437025179073316e-08
1884,6.40364632431556e-08,1.7824582698722224e-08
1885,1.0248560755599101e-07,2.707166935067562e-08
1886,8.195899425800235e-08,9.680196200179125e-09
1887,5.810742820244741e-08,3.003305337756501e-08
1888,6.530833474016617e-08,2.4094335415725254e-08
1889,8.520586192162227e-08,2.8819629349641218e-08
1890,5.89894781910516e-08,4.3258950199742685e-08
1891,4.9081492647928826e-08,2.677172439291553e-08
1892,6.644623340434919e-08,4.011847920537548e-08
1893,4.9883173147691195e-08,4.126139074855928e-08
1894,8.381046967542716e-08,2.3945849747519787e-08
1895,3.972285611553161e-08,3.7315409429083957e-08
1896,6.132910357337096e-08,3.597187614445829e-08
1897,1.0021947360883132e-07,1.8645483379486905e-08
1898,4.6964345301603316e-08,3.621347133275776e-08
1899,6.080335879232734e-08,1.9899282222013426e-08
1900,6.177353384373419e-08,2.803168719367477e-08
1901,7.712459648701042e-08,1.7883964531506535e-08
1902,7.512734612191707e-08,1.6694965410124496e-08
1903,6.102249017203576e-08,2.808114629715419e-08
1904,5.374625189347171e-08,2.4723275870996986e-08
1905,8.102392001774206e-08,2.8900251081154238e-08
