year,ait_VERB accompagné_VERB,ait_VERB raccompagné_VERB
1800,3.144164484325529e-09,0.0
1801,3.333655484993869e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,3.900678446910888e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.0171682990621775e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,4.758755522971114e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,1.0668832928217853e-08,0.0
1813,5.751483289628823e-09,0.0
1814,4.72001566720337e-08,0.0
1815,2.966945977789237e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,4.670620334934483e-09,0.0
1818,2.384235475716423e-09,0.0
1819,2.5877625375869684e-08,0.0
1820,8.306536791735653e-09,0.0
1821,1.2819934447350079e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,2.075364236020505e-08,0.0
1824,2.5263338088166165e-08,0.0
1825,4.0505039322624725e-08,0.0
1826,8.807984341885344e-10,0.0
1827,1.1060727445055818e-08,0.0
1828,2.2013523448549677e-08,0.0
1829,3.429270423183084e-09,0.0
1830,1.461157062010443e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,3.243415847009601e-08,0.0
1834,1.7735608537350345e-08,0.0
1835,2.3445572594482655e-08,0.0
1836,4.5701099793404865e-08,0.0
1837,2.1569462660409044e-08,0.0
1838,7.574594285131298e-09,0.0
1839,2.7965899818127582e-08,0.0
1840,3.248541347034006e-08,0.0
1841,2.3113974734201292e-08,0.0
1842,1.542900918138912e-08,0.0
1843,1.594865928211675e-08,0.0
1844,2.7442807137845193e-08,0.0
1845,1.785672942844485e-08,0.0
1846,2.8101606375230404e-08,0.0
1847,2.1033571329098777e-08,0.0
1848,2.976732105253177e-08,0.0
1849,5.02764896381791e-09,0.0
1850,1.765138968323754e-08,0.0
1851,2.1283147688677673e-08,0.0
1852,2.0833745395520964e-08,0.0
1853,7.166318205520383e-09,0.0
1854,5.195664343204953e-09,0.0
1855,2.4942604426314574e-08,0.0
1856,1.8120163147727908e-08,0.0
1857,2.39193944651106e-08,0.0
1858,2.5447114637699997e-08,0.0
1859,1.5785737161877478e-08,0.0
1860,2.334363813361051e-08,0.0
