year,voudront_VERB établir_VERB,voudront_VERB rétablir_VERB
1800,4.7162465932615305e-08,0.0
1801,7.143547975374531e-09,4.7623651688866175e-09
1802,3.5805442166747525e-08,0.0
1803,9.751696339321825e-09,0.0
1804,6.179627121127851e-08,0.0
1805,2.55858996212055e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,2.039466551195801e-08,0.0
1809,8.358412628695078e-08,0.0
1810,5.3822915901946544e-08,0.0
1811,1.504245972228091e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,0.0
1818,3.2187177367859476e-08,0.0
1819,1.1386155129855524e-08,1.035105001712111e-09
1820,4.746592452420373e-09,0.0
1821,1.4792232327920374e-08,0.0
1822,8.02049271442229e-09,0.0
1823,1.9765373782121287e-09,5.929612356680991e-09
1824,1.51580028528997e-08,0.0
1825,6.163809906922779e-09,0.0
1826,7.927186018719112e-09,0.0
1827,3.041700225026034e-08,4.608636583469661e-09
1828,2.4765213879618386e-08,9.172301251858528e-10
1829,1.7146351893870815e-08,9.430493719264632e-09
1830,6.262101504006523e-09,0.0
1831,4.677361609140007e-09,0.0
1832,1.6235963684607668e-08,0.0
1833,2.3167256557599103e-08,1.1583628500844156e-09
1834,3.733812370398937e-09,0.0
1835,1.1344631900556124e-08,0.0
1836,1.8146025126952736e-08,1.3441500135158435e-09
1837,2.7831563720326358e-09,0.0
1838,9.468243078458727e-09,1.2624323808552163e-09
1839,4.894032734625853e-09,0.0
1840,2.4204817705708592e-08,1.2739377330817092e-09
1841,4.237562123421412e-08,0.0
1842,1.7441490030023488e-08,0.0
1843,4.1939067330076796e-08,5.906911071384968e-10
1844,3.512679214168202e-08,1.6465684371524958e-09
1845,1.897277535078956e-08,0.0
1846,4.039605983052752e-08,0.0
1847,2.588747349818732e-08,1.0786447290911383e-09
1848,3.137636639394259e-08,0.0
1849,3.267971848686102e-08,8.379414939696517e-10
1850,7.943125268639051e-08,1.3577992064028876e-09
1851,4.772584816237213e-08,0.0
1852,1.7578472011337e-08,0.0
1853,4.658106789179328e-08,0.0
1854,4.520228102933288e-08,0.0
1855,1.4328730202350926e-08,0.0
1856,1.863788057221427e-08,0.0
1857,1.8549734193129552e-08,0.0
1858,2.6425849952715907e-08,0.0
1859,1.5276519604867644e-08,5.092173349652285e-10
1860,9.749401641556688e-08,1.373155145145688e-09
1861,1.9807048445841247e-08,4.715963730639317e-10
1862,2.4848924695675123e-08,2.2589932147099034e-09
1863,2.8469338886338846e-08,9.989241656072068e-10
1864,1.5343129433631475e-08,0.0
1865,1.4591217123438582e-08,9.41368871743009e-10
1866,5.352174259343201e-09,0.0
1867,7.76449837758264e-09,0.0
1868,5.9278488784286765e-09,4.93987406535723e-10
1869,6.8369265804335555e-09,0.0
1870,6.880858549607183e-09,5.734048791339319e-10
1871,5.3105884134652115e-09,3.18635318130589e-09
1872,1.6327815544059376e-08,1.8142017887967654e-09
1873,7.781805422268917e-09,5.986004469882289e-10
1874,1.2546679251101978e-08,4.182226565063729e-09
1875,2.460256709468922e-08,0.0
1876,1.5115036333668286e-08,0.0
1877,1.2369632429454214e-08,0.0
