year,eût_VERB éveillé_VERB,eût_VERB réveillé_VERB
1800,9.432493897065797e-09,3.144164395507687e-08
1801,1.904946067554647e-08,1.1905912700171939e-08
1802,0.0,2.6854081625060644e-08
1803,3.900678446910888e-09,1.950339267864365e-08
1804,0.0,2.4718509905596875e-08
1805,1.7057265822018053e-08,3.1271653710973624e-08
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,3.852325747288887e-08
1809,1.129515236897305e-08,2.9367397402779716e-08
1810,4.680253518074551e-09,7.020380277111826e-09
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672083208723052e-08
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,6.952811659743929e-09,3.0128852301913867e-08
1817,1.556873407970727e-09,1.556873407970727e-09
1818,4.768470951432846e-09,1.1921176934492905e-08
1819,7.24573512300708e-09,1.0351049795076506e-08
1820,9.493184904840746e-09,2.610625848831205e-08
1821,1.676452932031225e-08,1.972297702934611e-08
1822,1.0025615893027862e-09,1.804610860745015e-08
1823,4.941343334508019e-09,2.668325471688604e-08
1824,3.3684450784221553e-09,2.863178316658832e-08
1825,1.937197424695114e-08,1.2327619813845558e-08
1826,1.0569580766173203e-08,1.3211976401805714e-08
1827,2.5808365222701468e-08,2.3043183361437514e-08
1828,1.2841221419535032e-08,1.9261833017480967e-08
1829,1.0287811491593857e-08,3.429270378774163e-08
1830,5.218417697960831e-09,1.2524203008013046e-08
1831,4.677361609140007e-09,1.091384405071949e-08
1832,5.411987746839486e-09,2.1647950987357945e-08
1833,3.01174338801502e-08,3.59092489077284e-08
1834,2.14694217959277e-08,3.080395316601425e-08
1835,6.806779140333674e-09,2.4201881387853064e-08
1836,1.2769425516978572e-08,2.9571300075303952e-08
1837,2.5048407792382932e-08,2.1569462660409044e-08
1838,1.3886756633496589e-08,2.7773513266993177e-08
1839,1.4682098203877558e-08,3.635567225046543e-08
1840,1.9109066329292546e-08,4.9046601446889326e-08
1841,3.467096121312352e-08,1.733548060656176e-08
1842,2.2808102073668124e-08,3.219967226186782e-08
1843,2.3627643841450663e-08,2.658109998776581e-08
1844,2.195424464446205e-08,3.4577936958157807e-08
1845,1.7298706467272496e-08,4.51998474204629e-08
1846,1.1709002656346001e-08,3.454155717008689e-08
1847,2.3190860787281053e-08,2.2112217834546755e-08
1848,3.700802153616678e-08,7.24069959545659e-09
1849,8.379414495607307e-09,1.6758828991214614e-08
1850,1.4935791270431764e-08,1.9009188889640427e-08
1851,2.5152811389261842e-08,1.1608989325395669e-08
1852,3.2552727180501506e-09,3.971432604998881e-08
1853,6.569124799682413e-09,1.3138249599364826e-08
1854,1.4028294081924741e-08,2.8576154775805662e-08
1855,5.837630823180007e-09,2.4411910715116392e-08
1856,1.9673318973900678e-08,1.5531567143511893e-08
1857,1.513267733344037e-08,2.001418764052687e-08
1858,1.0276719919488642e-08,1.6149130033227266e-08
