year,puissent_VERB appeler_VERB,puissent_VERB rappeler_VERB
1800,3.144164484325529e-09,2.829747991484055e-08
1801,3.333655484993869e-08,7.143547975374531e-09
1802,6.713520406265161e-09,2.6854081625060644e-08
1803,1.1702034896643454e-08,1.755305234496518e-08
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.562259560079383e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,1.581321384946932e-08,6.7770917766551975e-09
1810,2.106114038724627e-08,2.3401267590372754e-09
1811,0.0,1.504245972228091e-08
1812,8.00162425207418e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,1.8880061958270744e-08,2.8320094713762956e-08
1815,8.091670444798638e-09,0.0
1816,3.9399267848239106e-08,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.3113295338484932e-08,1.7881765401739358e-08
1819,6.210630232317271e-09,1.5526575580793178e-08
1820,1.4239777357261119e-08,3.5599443393152796e-09
1821,9.86148829262845e-10,6.903041693817613e-09
1822,7.017931125119503e-09,1.0025615893027862e-09
1823,1.3835761869529506e-08,1.9765373782121287e-09
1824,1.6842225392110777e-08,1.8526447931321854e-08
1825,3.522177216552791e-09,0.0
1826,1.145037931138404e-08,2.642395191543301e-09
1827,2.8573547083965423e-08,1.3825909306319772e-08
1828,3.210305266065916e-08,7.337841001486822e-09
1829,3.429270423183084e-09,0.0
1830,2.2961039292113128e-08,1.0436835840010872e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.488296597074168e-08,1.7588959622116818e-08
1833,4.749287541017111e-08,6.950177322551099e-09
1834,1.3068342852307069e-08,1.8669061851994684e-09
1835,9.832014313815307e-09,4.5378527602224494e-09
1836,1.344150035720304e-08,1.3441500135158435e-09
1837,4.87052354003481e-09,1.3915781860163179e-09
1838,1.5780404538645598e-08,6.312161904276081e-09
1839,6.292327547896548e-09,3.2859933440931854e-08
1840,8.280594876453051e-09,1.3376346252869098e-08
1841,5.1364388298225094e-09,3.852329122366882e-09
1842,7.379091560011375e-09,2.683306021822318e-09
1843,1.063243981747064e-08,3.5441467538532834e-09
1844,1.5916826967554698e-08,1.0428266250528395e-08
1845,1.674068350610014e-08,9.48638767539478e-09
1846,1.4636253098387897e-08,1.1709002656346001e-09
1847,1.88762818709165e-08,3.775256551818984e-09
1848,1.206783295515379e-08,8.045221711050488e-10
1849,2.262441967104678e-08,7.54147322368226e-09
1850,3.055048125588655e-08,2.0366988096043315e-09
1851,1.2253933867611977e-08,4.514607354622058e-09
1852,1.1718981340891332e-08,1.1067927019325907e-08
1853,4.180352064508952e-09,7.166318205520383e-09
1854,1.6626126253527218e-08,5.7152309551611324e-09
1855,1.326734277995456e-08,6.8990182455763716e-09
1856,1.7602443946884705e-08,1.9155599773057475e-08
1857,1.6597130780837688e-08,1.9526036343364694e-09
1858,1.8106600663259087e-08,9.787352261980686e-09
1859,7.129042689513199e-09,3.5645213447565993e-09
1860,1.8308735638683515e-09,1.7393299245327398e-08
1861,7.073945429425521e-09,4.715963619617014e-09
1862,2.891511208247266e-08,2.2589932147099034e-09
1863,2.4973104473247076e-08,2.9967726078439227e-09
1864,1.0548401263577034e-08,2.3973640850272204e-09
1865,1.7415324293779122e-08,4.706844358715045e-10
1866,4.865612801552288e-09,8.75810357570117e-09
1867,7.76449837758264e-09,5.82337378318698e-09
1868,2.222943251695142e-08,4.93987406535723e-10
1869,1.953407657850903e-09,1.4650557433881772e-09
1870,3.268407766654491e-08,1.7202146374017957e-09
1871,1.0621176826930423e-08,2.1242354542039266e-09
1872,1.814201766592305e-08,3.628403577593531e-09
1873,6.584604861359367e-09,4.190203295451056e-09
1874,1.4339061493728877e-08,0.0
1875,4.577221712764867e-09,1.1443054281912168e-09
1876,5.441413541973361e-09,0.0
1877,9.27722432209066e-09,6.184816214727107e-09
