year,voudrait_VERB établir_VERB,voudrait_VERB etablir_VERB,voudrait_VERB rétablir_VERB
1800,9.432493186523061e-08,0.0,6.288328968651058e-09
1801,4.0480102825313224e-08,0.0,7.143547975374531e-09
1802,5.370816325012129e-08,0.0,2.2378401354217203e-09
1803,7.411289004721766e-08,0.0,1.950339267864365e-08
1804,5.438072037122765e-08,0.0,2.2246657849223084e-08
1805,2.842877755426798e-08,0.0,2.55858996212055e-08
1806,6.627838899930794e-08,0.0,5.76333825108577e-09
1807,4.555128185756985e-08,0.0,1.4234775136401367e-08
1808,2.2660739062985158e-08,0.0,6.798221985349073e-09
1809,7.228897658251299e-08,0.0,2.259030518203531e-09
1810,7.722418615685456e-08,4.680253518074551e-09,4.680253518074551e-09
1811,6.518399686683551e-08,0.0,2.5070767684098882e-09
1812,1.0668833283489221e-07,0.0,2.6672082320544632e-09
1813,7.764502640839055e-08,0.0,4.601186631703058e-08
1814,7.866692897096073e-08,6.293354282149721e-09,3.1466771410748606e-09
1815,5.933891955578474e-08,0.0,1.3486118000116676e-08
1816,6.489290882427667e-08,0.0,4.6352077731626196e-09
1817,7.161617787687646e-08,0.0,7.784366928831332e-09
1818,1.4066989706407185e-07,0.0,2.384235475716423e-09
1819,1.3352854466575081e-07,0.0,2.6912729822470283e-08
1820,1.8511710209168086e-07,0.0,7.119888678630559e-09
1821,1.1340711836282935e-07,0.0,1.676452932031225e-08
1822,1.4938167680611514e-07,0.0,1.7043547018147365e-08
1823,1.087095569118901e-07,4.941343334508019e-09,1.3835761869529506e-08
1824,1.1873768812620256e-07,0.0,1.3473780313688621e-08
1825,1.320816522820678e-07,2.641632912414593e-09,0.0
1826,1.2243097557984584e-07,0.0,7.927186018719112e-09
1827,1.1429418833586169e-07,0.0,2.488663675137559e-08
1828,1.3941897236691148e-07,0.0,2.659967357487858e-08
1829,1.363135027077078e-07,0.0,9.430493719264632e-09
1830,1.4402833414806082e-07,0.0,7.305785310052215e-09
1831,1.5435294642429653e-07,0.0,2.182768810143898e-08
1832,2.1242051673198148e-07,1.3529969367098715e-09,2.570694235259907e-08
1833,1.5637898798104288e-07,0.0,2.548398292390175e-08
1834,1.8575715898805356e-07,0.0,3.360431222176885e-08
1835,1.1495893659230205e-07,7.563087933704082e-10,1.663879345414898e-08
1836,1.25005954032531e-07,0.0,2.2850549896702432e-08
1837,1.4124518088465265e-07,0.0,5.775049416456568e-08
