year,put_VERB ajouter_VERB
1800,2.2009151834367913e-08
1801,9.524730337773235e-09
1802,1.3427040812530322e-08
1803,2.3404069793286908e-08
1804,9.887403784603066e-09
1805,5.685755422035754e-09
1806,3.1698359492793315e-08
1807,1.7081731584767113e-08
1808,1.3596443970698147e-08
1809,6.777091243748146e-08
1810,1.8721014072298203e-08
1811,5.0141535368197765e-09
1812,4.000812481308458e-08
1813,5.751483289628823e-09
1814,1.5733386149463513e-08
1815,0.0
1816,1.8540831092650478e-08
1817,3.42512151974006e-08
1818,2.384235386898581e-08
1819,3.9333990287104825e-08
1820,1.4239777357261119e-08
1821,5.9168929311681495e-08
1822,5.514088741165324e-08
1823,2.2730180404550993e-08
1824,2.189489300974401e-08
1825,1.4088708866211164e-08
1826,1.2331177856594877e-08
1827,3.96342727526644e-08
1828,2.7516904310687096e-08
1829,3.0006116702452346e-08
1830,1.7742621594152297e-08
1831,2.3386808933878456e-08
1832,1.0823975493678972e-08
1833,3.359252431778259e-08
1834,4.760610750054184e-08
1835,2.8739734148075513e-08
1836,2.9571300075303952e-08
1837,3.478945487245255e-08
1838,2.1461350030449466e-08
1839,1.6080392128969834e-08
1840,3.821813265858509e-08
1841,4.173356416004026e-08
1842,2.4820581145945653e-08
1843,4.902736350231862e-08
1844,1.920996517412732e-08
1845,2.4553003186156275e-08
1846,3.454155717008689e-08
1847,5.2314270249098627e-08
1848,2.735375304041554e-08
1849,2.3462362719328667e-08
1850,3.190828223864628e-08
1851,1.3543821175687754e-08
1852,3.2552726736412296e-08
1853,1.3735443005202796e-08
1854,2.8576154775805662e-08
1855,2.9718847827098216e-08
1856,2.2779632402603056e-08
1857,2.2943092758964667e-08
1858,1.468102794888182e-08
1859,4.582955881460293e-08
1860,4.394096464466202e-08
1861,4.1500481273715195e-08
1862,3.162590545002786e-08
1863,2.447364266799923e-08
1864,3.0206784629172034e-08
1865,4.5185707620021276e-08
1866,1.8002767276925624e-08
1867,2.2808213984149006e-08
1868,4.2482916740027576e-08
1869,2.8324411260882698e-08
1870,2.981705193860762e-08
1871,4.991953161948004e-08
1872,1.9351485747165498e-08
1873,1.496501056408306e-08
1874,2.8080663128093875e-08
1875,5.149374260327022e-08
1876,1.813804395567331e-08
1877,1.1751150275074451e-08
1878,3.01954443671093e-08
1879,1.710611030603104e-08
1880,2.1820676820993867e-08
1881,2.1614773970668466e-08
1882,2.5290463057103807e-08
1883,3.09647596452578e-08
1884,4.027035060971684e-08
1885,2.900535989169839e-08
1886,2.0651084398082276e-08
1887,1.7628096316002484e-08
1888,3.043495055976564e-08
1889,1.8795409673089125e-08
1890,2.6872983838188702e-08
1891,1.6572972327821844e-08
1892,2.382034658410248e-08
1893,2.2170299374124625e-08
1894,2.457600345451283e-08
1895,1.745398137131815e-08
1896,2.5357223876198987e-08
1897,1.631479840114025e-08
1898,2.6028432742464247e-08
1899,1.9899282222013426e-08
1900,2.6474371139784125e-08
1901,2.6825947685438223e-08
1902,2.6515532880466708e-08
1903,3.4021386596805314e-08
1904,2.741058935384899e-08
1905,2.9416327151920996e-08
1906,8.745113966313056e-09
1907,1.697138252154673e-08
1908,1.5716445034286153e-08
1909,1.1552065082298668e-08
1910,1.4963621453034648e-08
1911,1.8621308939259507e-08
1912,1.3023552902780011e-08
1913,1.8030165804816534e-08
1914,1.7411533548283842e-08
1915,2.8273827723523937e-08
1916,6.592477230782379e-09
1917,2.1932848426331475e-08
1918,1.4932290071101306e-08
1919,1.4732557396257562e-08
1920,2.5745588771997063e-08
1921,6.058197943303867e-09
1922,1.9920426197472807e-08
1923,1.8047112249064412e-08
1924,2.707241186783449e-08
1925,1.7597084678300234e-08
1926,3.901148559748435e-08
1927,2.4528294062520217e-08
1928,2.6279895593006586e-08
1929,3.676334259239411e-08
1930,3.046045193855207e-08
1931,2.167017854048936e-08
1932,2.4110979879310435e-08
1933,9.176529758292418e-09
1934,3.1152108448395666e-08
1935,2.0346082152400413e-08
1936,1.6974599503782883e-08
1937,1.3850230295986421e-08
1938,1.5558256905023882e-08
1939,2.4470480752825097e-08
1940,2.2822046474857416e-08
1941,8.854508237732261e-09
1942,9.102635090130207e-09
1943,2.6129116648121453e-08
1944,1.6065930807940276e-08
1945,1.742803235060819e-08
1946,1.3921104269343232e-08
1947,9.536696765621855e-09
1948,1.195907639583993e-08
1949,1.47255123650325e-08
1950,1.1698897850465073e-08
1951,2.4521224162299404e-08
1952,2.2144087452602434e-08
1953,1.723812381726475e-08
1954,1.3681550115052232e-08
1955,1.783265446420046e-08
1956,9.593255967388359e-09
1957,1.767007518083119e-08
1958,1.4890038535497752e-08
1959,7.750747599288843e-09
1960,1.4533750203327145e-08
1961,1.528595028332802e-08
1962,1.6489087428794846e-08
1963,9.052474325699222e-09
1964,1.3384730657151067e-08
1965,1.3132904541635071e-08
1966,1.5509408868297214e-08
1967,2.021437595089992e-08
1968,1.1677681044375277e-08
1969,1.544197658631674e-08
1970,1.103694025061941e-08
1971,5.652237344833111e-09
1972,9.234264020108185e-09
1973,6.615844760915479e-09
1974,8.438357568252286e-09
1975,1.3707552426467373e-08
1976,5.713526984862938e-09
1977,8.815172591880582e-09
1978,1.128712323605896e-08
1979,6.437170796402825e-09
1980,6.822181042309694e-09
1981,1.3916208629893845e-08
1982,1.3035754697909852e-08
1983,9.47297440490047e-09
1984,2.3196033982486597e-09
1985,6.015557829641693e-09
1986,8.991728250862252e-09
1987,4.277571630240118e-09
1988,5.99655392008458e-09
1989,8.780995486290522e-09
1990,9.80757164370516e-09
1991,7.033758464558559e-09
1992,7.162927584403178e-09
1993,7.200969598386564e-09
1994,8.439882570598911e-09
1995,4.337960657352369e-09
1996,6.4057106285986265e-09
1997,9.110299181713799e-09
1998,8.10582001520288e-09
1999,9.140402212892695e-09
2000,4.418031274155965e-09
2001,6.571817756650944e-09
2002,5.257465574004527e-09
2003,8.750538071922165e-09
2004,7.928623979580607e-09
2005,2.0717248361279417e-08
2006,8.235780057930242e-09
2007,3.595031605740928e-09
2008,9.79211112195344e-09
2009,1.0013204487790972e-08
2010,1.0392344762522043e-08
2011,8.030340836739924e-09
2012,1.191488419038933e-08
2013,1.6455837581474952e-08
2014,1.7107016248019136e-08
2015,2.0392493027543424e-08
2016,2.1749070100440804e-08
2017,1.4338984222206363e-08
2018,1.3681773936013997e-08
2019,2.015280387013263e-08
