year,veut_VERB approcher_VERB,veut_VERB rapprocher_VERB
1800,8.174827570428533e-08,8.174827570428533e-08
1801,5.714838380299625e-08,6.429193177837078e-08
1802,1.2531904758361634e-07,9.84649659585557e-08
1803,2.5354410126965377e-08,5.851017448321727e-09
1804,4.2021465418429216e-08,1.9774807569206132e-08
1805,7.391481915419718e-08,1.421438877713399e-08
1806,7.780506905419315e-08,2.305335300434308e-08
1807,2.2775640928784924e-08,8.540865792383556e-09
1808,4.5321478125970316e-08,5.4385775882792586e-08
1809,3.162642769893864e-08,2.710836710662079e-08
1810,1.1700633351097167e-08,6.084329839950442e-08
1811,4.262030373070047e-08,4.011322829455821e-08
1812,3.467370746079723e-08,1.0668832928217853e-08
1813,3.4508900625951355e-08,1.7254450312975678e-08
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,3.506390555685357e-08,4.045835311217161e-08
1816,4.1716869958463576e-08,3.244645441213834e-08
1817,1.5568733857662664e-08,3.42512151974006e-08
1818,1.668964877410417e-08,2.6226590676969863e-08
1819,1.5526575580793178e-08,2.5877625375869684e-08
1820,1.779972080839798e-08,2.4919611263385377e-08
1821,2.859831660373402e-08,6.903041693817613e-09
1822,2.4061478143266868e-08,3.107940926838637e-08
1823,1.1859224713361982e-08,1.087095569118901e-08
1824,1.51580028528997e-08,1.0947446504872005e-08
1825,3.9624492131906663e-08,6.163809906922779e-09
1826,2.4662355713189754e-08,2.9947145208097936e-08
1827,2.3043183361437514e-08,2.7651818612639545e-08
1828,1.7427371545863934e-08,1.559291185060374e-08
1829,2.2290258527846163e-08,1.0287811491593857e-08
1830,4.4878394334091354e-08,4.4878394334091354e-08
1831,5.14509785887185e-08,2.9623292263636358e-08
1832,2.1647950987357945e-08,6.764984572527055e-09
1833,2.89590715851773e-08,1.2741991461950875e-08
1834,1.213489042584115e-08,2.7070139907436896e-08
1835,1.8907719834260206e-08,2.2689263801112247e-08
1836,4.099657502365517e-08,3.8980349614803345e-08
1837,2.0873672568200163e-08,4.5226290268374214e-08
1838,1.7674054220151447e-08,1.4517972601879592e-08
1839,3.146163862766116e-08,1.0487212875887053e-08
1840,1.2739377552861697e-08,4.0129037870428874e-08
1841,1.5409316489467528e-08,2.953452238330101e-08
1842,1.609983613093391e-08,2.0124794275488966e-08
1843,1.8902115428431898e-08,2.7762482091020502e-08
1844,2.9638231424655714e-08,3.1833653935109396e-08
1845,2.4553003186156275e-08,2.8459162138005922e-08
1846,9.367202125076801e-09,1.5807152919933287e-08
1847,1.240441438454809e-08,1.240441438454809e-08
1848,1.045878850192139e-08,2.413566591030758e-08
1849,2.513824481908955e-09,2.1786478399121734e-08
1850,1.0862393651223101e-08,1.8330290174617403e-08
1851,1.096404567135778e-08,3.0957306051959677e-08
1852,3.906327350478023e-08,1.1067927019325907e-08
1853,2.269334054005867e-08,2.6873692604567623e-08
1854,1.558699302961486e-08,2.3900057044556888e-08
1855,3.714855978387277e-08,2.600399184871094e-08
1856,3.1063134287023786e-08,3.31340110903966e-08
1857,2.782460128969433e-08,1.9037885934380938e-08
1858,2.6425849952715907e-08,2.4468379322684086e-08
1859,2.036869339860914e-08,1.018434669930457e-08
1860,1.7393299245327398e-08,1.9224172476128842e-08
1861,2.6880993431177558e-08,3.065376574795664e-08
1862,2.0330938710344526e-08,1.8071945717679228e-08
1863,1.6981710260211003e-08,2.5472566278494924e-08
1864,1.2466292886870178e-08,3.404256787575832e-08
1865,8.943004559114343e-09,2.3063536858103362e-08
1866,1.9462451206209153e-08,3.259960479340407e-08
1867,1.6014277903764196e-08,2.038180824115443e-08
1868,1.4819621974027086e-08,7.903798504571569e-09
1869,3.027781758646597e-08,1.5138908793232986e-08
1870,2.064257564882155e-08,3.841812556970581e-08
1871,3.080141297573391e-08,1.911811864374613e-08
1872,1.8746751706544273e-08,7.256807155187062e-09
1873,1.9155214303623325e-08,1.3169209722718733e-08
1874,1.4936523129449597e-08,4.062734149101743e-08
1875,1.4875970677508121e-08,1.2015206607429718e-08
1876,1.269663130187837e-08,2.2370254981751714e-08
1877,9.27722432209066e-09,1.608052180301911e-08
1878,1.3889904337816006e-08,3.8650167510922984e-08
1879,2.3215436684154156e-08,2.993569481191116e-08
1880,1.6686399817444908e-08,2.1820676820993867e-08
1881,1.2550513517339823e-08,2.649552932609822e-08
1882,1.1979693681496428e-08,2.3293848627758962e-08
1883,8.847074184359371e-09,1.64302811356265e-08
1884,2.2445769687351458e-08,2.6406787867472303e-08
1885,1.5469526104539e-08,2.1915161241281567e-08
1886,4.5174246565693466e-09,3.1621972595985426e-08
1887,2.0239665943222462e-08,2.0239665943222462e-08
1888,1.1413106904001324e-08,1.8387781963724592e-08
1889,8.14467782106476e-09,2.0674951528576457e-08
1890,1.1797895993481688e-08,1.9007721618891082e-08
1891,6.3742202627281586e-09,1.9760081571007504e-08
1892,7.522214851007902e-09,1.56712811616444e-08
1893,3.695050043717174e-09,1.6627724974682678e-08
1894,3.780923574225881e-09,3.591877373310126e-08
1895,1.1435367319734269e-08,2.467631965430428e-08
1896,9.435246361988447e-09,1.8280790214930676e-08
1897,6.992056267307589e-09,1.806281169081103e-08
1898,1.0185038590293516e-08,1.5277558773618694e-08
1899,8.844125432005967e-09,1.1055156790007459e-08
1900,4.671947717582725e-09,2.28406342728249e-08
1901,1.676621730339889e-09,1.4530721514915967e-08
1902,1.2275709337927765e-08,1.8659077838378835e-08
1903,1.0800440541913758e-08,1.9440793863623185e-08
1904,2.1498500757388683e-09,1.827372564378038e-08
1905,8.257214467732865e-09,5.676835002077496e-09
1906,4.629765903985117e-09,2.4692084821253957e-08
1907,3.599990305858114e-09,1.6457098794830927e-08
1908,1.7680999775393502e-08,1.3751889405000384e-08
1909,4.950885035270858e-09,2.0353638774395222e-08
1910,6.412980813053082e-09,9.619471441624228e-09
1911,1.3300935464144459e-08,1.0108711201439746e-08
1912,1.1981668990301841e-08,2.5005221004903433e-08
1913,7.954484182448596e-09,1.2196876397752021e-08
1914,1.1384464038144415e-08,2.9465672568562695e-08
1915,7.068456930880984e-09,1.767114277129167e-08
1916,9.888715624128963e-09,1.3184954461564757e-08
1917,0.0,6.57985488317081e-09
1918,8.040463406189247e-09,2.2972752589112133e-09
1919,2.025726608678724e-08,1.6574126959767455e-08
1920,1.665890891899835e-08,9.843901693784574e-09
1921,1.438822039290244e-08,1.2116395886607734e-08
1922,1.1066902949607993e-08,1.770704471937279e-08
1923,9.554353752605493e-09,8.492758496458919e-09
1924,1.0313299547703991e-08,7.734974438733389e-09
1925,8.798542339150117e-09,1.9796720707176974e-08
1926,2.229227691330493e-09,1.0031524944054127e-08
1927,3.3447675740205796e-09,8.919379901328739e-09
1928,1.5996457491951332e-08,2.0566874425753667e-08
1929,6.684243825105796e-09,1.893869061575515e-08
1930,6.302162347537887e-09,2.10072066408884e-08
1931,4.5621426636444085e-09,1.8248570654577634e-08
1932,1.3151444377967891e-08,2.301502632917618e-08
1933,6.882397318719313e-09,1.605892663292252e-08
1934,3.5944740517379614e-09,2.156684431042777e-08
1935,8.377798899061872e-09,2.5133395809007197e-08
1936,7.274828739411987e-09,1.4549657478823974e-08
1937,1.2591118370153254e-08,5.0364472592434595e-09
1938,7.779128452511941e-09,1.0372171566075394e-08
1939,1.070583532936098e-08,1.2235240376412548e-08
1940,1.0143131667916805e-08,1.7750480196809804e-08
1941,1.1806010391524069e-08,3.246652724442356e-08
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,1.7419411690866582e-08,5.806470415592457e-09
1944,1.927911696952833e-08,2.8918675454292497e-08
1945,1.089252066321933e-08,2.832055301382752e-08
1946,1.1136883415474585e-08,1.9489545977080525e-08
1947,1.1920871401116528e-08,1.0728784083369192e-08
1948,1.4133454406817236e-08,2.5005341797168512e-08
