year,pouvaient_VERB emporter_VERB,pouvaient_VERB remporter_VERB
1800,3.144164484325529e-09,0.0
1801,3.095537337571841e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,4.8758479920252285e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,2.842877711017877e-09,0.0
1806,1.729001475325731e-08,0.0
1807,1.4234775846944103e-07,0.0
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,5.515568801683912e-08,0.0
1812,8.268345652595599e-08,0.0
1813,4.026038169513413e-08,0.0
1814,6.922689976818219e-08,3.1466771410748606e-09
1815,2.966945977789237e-08,0.0
1816,3.0128852301913867e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,4.410835785506606e-08,0.0
1819,2.173720581311045e-08,0.0
1820,3.678609061807947e-08,0.0
1821,2.2681422962023134e-08,0.0
1822,2.606660132187244e-08,0.0
1823,3.063632902922109e-08,0.0
1824,3.3684450784221553e-08,8.421112696055388e-10
1825,9.069606221601134e-08,4.4027217427355936e-09
1826,5.725189922145546e-08,1.7615968683770689e-09
1827,1.474763688946723e-08,7.373818444733615e-09
1828,6.695779575238703e-08,0.0
1829,4.8009784592295546e-08,6.858540846366168e-09
1830,7.305784777145163e-08,9.39315203396518e-09
1831,3.4300654760954785e-08,0.0
1832,5.276687886635045e-08,4.058990921151917e-09
1833,9.846084481068829e-08,3.4750886612755494e-09
1834,5.1339920759119195e-08,1.3068342852307069e-08
1835,5.974839467626225e-08,9.075705520444899e-09
1836,1.0417162599196672e-07,1.008112526790228e-08
1837,5.844628248041772e-08,2.7831563720326358e-09
1838,6.56464820281144e-08,1.2624323808552163e-08
1839,6.781731087812659e-08,4.194885327990505e-09
1840,7.070354257621148e-08,2.165694112932215e-08
1841,5.97110982880622e-08,3.852329122366882e-09
1842,8.184083100104544e-08,4.024959032733477e-09
1843,7.265500556741245e-08,4.134837805480629e-09
1844,8.397498874046505e-08,2.030767731753258e-08
1845,7.644912614068744e-08,7.254296274794569e-09
1846,5.795956425913573e-08,3.5127007969038004e-09
1847,7.766242049456196e-08,5.393223645455691e-10
1848,3.700802153616678e-08,1.6090443422100975e-09
1849,1.3574651802628068e-07,1.6758829879393033e-09
1850,5.974316508172706e-08,3.394498016007219e-09
1851,7.545843061507185e-08,3.8696632564949596e-09
1852,5.078225484567156e-08,0.0
1853,6.091370607919089e-08,1.1943863675867306e-09
1854,6.026970567063472e-08,5.7152309551611324e-09
1855,8.597238121410555e-08,5.306937111981824e-10
1856,7.76578374939163e-08,1.9155599773057475e-08
1857,7.56633937726292e-08,1.9037885934380938e-08
1858,5.2851699905431815e-08,1.468102750479261e-09
1859,5.0412516827691434e-08,3.055304009791371e-09
1860,7.506581312100025e-08,1.8308735638683515e-09
1861,5.8949545689301885e-08,0.0
1862,8.448634503110952e-08,1.3553959066214816e-09
1863,9.289994551409109e-08,0.0
1864,4.9865171547480713e-08,1.4384183844029508e-09
1865,8.47231973466478e-08,2.8241067262513297e-09
1866,5.060237384668653e-08,5.352174259343201e-09
1867,5.629261323747414e-08,6.308654931785895e-09
1868,5.285665238830006e-08,1.4819622196071691e-09
1869,3.027781758646597e-08,1.953407657850903e-09
1870,4.12851512976431e-08,5.734048791339319e-10
1871,8.603153389685758e-08,2.1242354542039266e-09
1872,6.047338985126771e-08,1.8142017887967654e-09
1873,6.165584665041024e-08,1.1972008939764578e-09
1874,6.094101223652615e-08,4.779687312606029e-09
1875,4.577221801582709e-08,5.721527140956084e-10
1876,5.985554452081487e-08,1.209202959984168e-09
1877,5.751878973114799e-08,3.0924081073635534e-09
1878,6.461824852976861e-08,0.0
1879,7.453376582589044e-08,3.0546627449723474e-09
1880,6.161132404258751e-08,3.8507077526617195e-09
1881,3.834879080955034e-08,2.7890030285249168e-09
1882,3.3276926103553706e-08,5.989846840748214e-09
1883,6.824885900869049e-08,0.0
1884,4.2250860587955685e-08,6.601696966868076e-10
1885,5.285421167400273e-08,3.86738152613475e-09
1886,2.774989482645651e-08,0.0
1887,4.83140425444617e-08,5.223139698529167e-09
1888,3.9311810695608074e-08,1.268122939990235e-09
1889,3.821733329800736e-08,1.8795409673089125e-09
1890,2.818386235503567e-08,1.1142456735058204e-08
1891,4.716922674674606e-08,0.0
1892,5.641661005029164e-08,6.268512375839919e-10
1893,5.4194064347257154e-08,6.774258043407144e-09
1894,4.7891699495039575e-08,5.671385139294216e-09
1895,5.2963805785566365e-08,0.0
