year,doivent_VERB ouvrir_VERB,doivent_VERB rouvrir_VERB
1800,2.829747991484055e-08,0.0
1801,5.476719877606229e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,3.510610468993036e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,1.4214388954769674e-07,0.0
1806,1.4408345627714425e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,9.036122072814123e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,2.757784400841956e-08,0.0
1812,3.467370746079723e-08,0.0
1813,2.300593315851529e-08,0.0
1814,7.866692897096073e-08,0.0
1815,3.236668177919455e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,0.0,0.0
1818,2.741870730460505e-08,1.1921177378582115e-09
1819,1.7596784473994376e-08,0.0
1820,2.8479554714522237e-08,0.0
1821,4.339054981983281e-08,0.0
1822,5.3135764233047666e-08,0.0
1823,1.9765373338032077e-08,0.0
1824,2.6947560627377243e-08,0.0
1825,2.7296874094417944e-08,8.805443041381977e-10
1826,1.6735169694470642e-08,0.0
1827,2.3964910056406552e-08,0.0
1828,6.420610709767516e-09,9.172301251858528e-10
1829,1.2002446148073886e-08,0.0
1830,2.400472176589119e-08,0.0
1831,2.0268567268999504e-08,0.0
1832,2.976593194148336e-08,0.0
1833,2.6642345218874652e-08,1.1583628500844156e-09
1834,1.120143711119681e-08,0.0
1835,3.6302822081779595e-08,0.0
1836,2.688300071440608e-08,0.0
1837,2.852735292435682e-08,0.0
1838,3.66105403770689e-08,0.0
1839,2.516931019158619e-08,0.0
1840,4.649872664685972e-08,3.821813088222825e-09
1841,4.044945711711989e-08,0.0
1842,4.762868144325694e-08,6.708265054555795e-10
1843,3.7804230856863796e-08,0.0
1844,3.2382512671347286e-08,0.0
1845,3.906159662392383e-08,5.580227946389016e-10
1846,3.3956109035671034e-08,0.0
1847,4.638172157456211e-08,0.0
1848,5.792559676365272e-08,4.02261068899179e-09
1849,4.1897074254393374e-08,4.1897072478036534e-09
1850,2.9192683825840504e-08,0.0
1851,2.4507867735223954e-08,0.0
1852,4.101643469311966e-08,0.0
1853,4.598387448595531e-08,0.0
1854,4.520228102933288e-08,0.0
1855,2.653468555990912e-08,0.0
1856,3.882891874695815e-08,0.0
1857,3.7099468386259105e-08,0.0
1858,3.52344677878591e-08,9.787352039936081e-10
1859,3.208069188076479e-08,5.092173349652285e-10
1860,4.3025529805618135e-08,9.154367819341758e-10
1861,4.6688040100661965e-08,0.0
1862,5.69266269678792e-08,0.0
1863,4.195481650981492e-08,0.0
1864,3.2604148714199255e-08,0.0
1865,4.89511826629041e-08,4.706844358715045e-10
1866,4.038458811805867e-08,4.865612912574591e-10
1867,3.591080499631971e-08,0.0
1868,4.5940829807022965e-08,0.0
1869,2.6371003158942585e-08,0.0
1870,4.12851512976431e-08,0.0
1871,2.2304472935275044e-08,0.0
1872,3.930770375859538e-08,0.0
1873,1.7958013742713774e-08,2.3944017879529156e-09
1874,3.0470506118263074e-08,5.974609140757536e-10
1875,2.803548326824057e-08,1.1443054281912168e-09
1876,2.539326260375674e-08,3.02300739996042e-09
1877,2.2265338017746217e-08,0.0
1878,2.4760263173106978e-08,0.0
1879,4.3376211067425174e-08,0.0
1880,2.631317030932223e-08,0.0
1881,1.1156012114099667e-08,2.091752326904839e-09
1882,2.0631693686823382e-08,6.655385131892899e-10
1883,1.9589950994713945e-08,0.0
1884,2.970763546272792e-08,6.601696966868076e-10
1885,2.9649923405372647e-08,1.2891271383708158e-09
1886,2.8395241713496944e-08,0.0
1887,3.133883907935342e-08,0.0
1888,5.326116436776829e-08,0.0
1889,5.200063668553412e-08,0.0
1890,3.2771932723107966e-08,0.0
1891,3.250852387282066e-08,0.0
1892,3.19694137829174e-08,2.5074049503359674e-09
1893,2.8328715373504565e-08,0.0
1894,2.9617234886814003e-08,0.0
1895,9.027921521465032e-09,0.0
1896,2.6536630670648265e-08,0.0
1897,2.855089675790623e-08,1.1653427112179315e-09
1898,4.413516663248629e-08,0.0
1899,4.145683618617113e-08,0.0
1900,2.8550791952852705e-08,0.0
