year,veulent_VERB apporter_VERB,veulent_VERB rapporter_VERB
1800,9.432493897065797e-09,6.288328968651058e-09
1801,1.6668277424969347e-08,2.1430643926123594e-08
1802,2.2378401354217203e-09,1.1189200677108602e-08
1803,1.950339267864365e-08,0.0
1804,0.0,1.2359254952798437e-08
1805,0.0,4.5486043376286034e-08
1806,2.881669125542885e-09,8.645007376628655e-09
1807,0.0,1.7081731584767113e-08
1808,0.0,2.4926814390369145e-08
1809,0.0,0.0
1810,2.3401267590372754e-09,1.8721014072298203e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,1.3336041604361526e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,7.784366928831332e-09
1818,4.768470951432846e-09,1.4305412854298538e-08
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,0.0,9.493184904840746e-09
1821,0.0,9.861488514673056e-09
1822,1.0025615893027862e-08,1.0025615893027862e-09
1823,9.882686891060644e-10,0.0
1824,0.0,4.210556348027694e-09
1825,1.7610886082763955e-09,1.7610886082763955e-09
1826,1.4973572604048968e-08,1.5854372037438225e-08
1827,2.2121454890111636e-08,1.3825909306319772e-08
1828,9.172301251858528e-10,1.9261833017480967e-08
1829,8.57317605795771e-10,1.714635211591542e-09
1830,0.0,1.6698937344017395e-08
1831,4.677361609140007e-09,3.1182412207897414e-09
1832,1.2176972319366541e-08,6.764984572527055e-09
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,2.8003592777992026e-09,6.534171426153534e-09
1835,9.075705520444899e-09,3.025235173481633e-09
1836,1.5457725766054864e-08,2.016225053580456e-08
1837,9.045257876039159e-09,4.87052354003481e-09
1838,1.2624323808552163e-08,3.1560809521380406e-09
1839,6.9914749545318955e-09,4.194885327990505e-09
1840,1.0828470564661075e-08,1.9746034141121527e-08
1841,2.43980835534785e-08,0.0
1842,1.341653010911159e-08,1.341653010911159e-09
1843,4.7255288571079745e-09,8.269675610961258e-09
1844,5.488561272137815e-10,2.195424508855126e-09
1845,6.696273757711424e-09,1.5066614622583074e-08
1846,2.1661655580373917e-08,1.7563503984519002e-09
1847,1.0786447290911383e-08,3.775256551818984e-09
1848,3.700802153616678e-08,2.413566457803995e-09
1849,1.4245005175439474e-08,8.379414939696517e-10
1850,4.073397619208663e-09,1.3577992064028876e-08
1851,9.674158363282004e-09,4.514607354622058e-09
1852,9.114764054629632e-09,0.0
1853,1.2541057081705276e-08,2.9859659189668264e-09
1854,7.27393034694046e-09,3.63696517347023e-09
1855,5.837630823180007e-09,5.306937111981824e-09
1856,1.9673318973900678e-08,3.6240324075009767e-09
1857,1.7085282522089074e-08,8.298565390418844e-09
1858,1.1744822003834088e-08,2.936205500958522e-09
1859,1.7313389832906978e-08,7.129042689513199e-09
1860,5.034902272882391e-09,1.5104706818647173e-08
1861,8.960331143725853e-09,1.8863854922557266e-09
1862,2.2589932147099034e-09,4.517986429419807e-09
1863,1.8480097452311384e-08,1.1487627737949424e-08
1864,2.0137857603685916e-08,6.233146443435089e-09
1865,4.23615986733239e-09,2.8241067262513297e-09
1866,8.75810357570117e-09,2.432806400776144e-09
1867,1.2132028714972876e-08,2.426405742994575e-09
1868,5.9278488784286765e-09,2.9639244392143382e-09
1869,6.8369265804335555e-09,8.790334682373668e-09
1870,1.7202146374017957e-09,6.307453670473251e-09
1871,1.5931766128574054e-08,0.0
1872,6.652073114565837e-09,1.2094678591978436e-09
1873,5.9860045809045914e-09,4.788803575905831e-09
1874,3.5847653734322193e-09,4.779687312606029e-09
1875,1.4875970677508121e-08,2.8607636259891933e-09
1876,1.3905833817773328e-08,0.0
1877,9.895705588292003e-09,1.8554447978047506e-09
1878,1.5701630218245555e-08,7.2469061862534545e-09
1879,2.443730107160036e-09,6.109325489944695e-09
1880,5.776061406947974e-09,6.417846254436199e-09
1881,1.045876096839038e-08,3.4862537301449947e-09
1882,5.989846840748214e-09,6.655385131892899e-10
1883,6.951272890631799e-09,5.687405213450347e-09
1884,2.3105940272216685e-08,6.601696966868076e-10
1885,6.445635580831777e-09,0.0
1886,3.2267319927115068e-09,8.38950331427668e-09
1887,1.6322312390570914e-08,7.1818169189441505e-09
1888,8.876860135842435e-09,4.4384300679212174e-09
1889,8.771191772893872e-09,0.0
1890,1.2453334363726754e-08,1.3108772956016423e-09
1891,7.649063604731055e-09,1.2748440081367107e-09
1892,4.387958441043338e-09,1.8805537127519756e-09
1893,4.926733243593162e-09,4.310891643655168e-09
1894,7.561847148451761e-09,4.411077725308132e-09
1895,8.426059849853118e-09,1.8055843487019274e-09
1896,1.6511680911435178e-08,2.358811590497112e-09
1897,1.3984112534615178e-08,2.330685422435863e-09
1898,2.26334195829736e-09,1.6975064687230201e-09
1899,1.0502398950507086e-08,3.3165470370022376e-09
1900,2.180242297811219e-08,4.671947717582725e-09
1901,1.676621685930968e-08,2.794369402536745e-09
1902,8.347482705062248e-09,1.4730852093691738e-09
1903,1.296052865029651e-08,1.6200660812870638e-09
1904,1.0749250378694342e-08,1.6123875568041512e-09
1905,9.28936660926638e-09,0.0
1906,7.201858220895474e-09,5.144184633820714e-09
1907,1.7485668024619372e-08,1.5428529565042481e-09
1908,1.276961114626829e-08,4.911389073214423e-10
1909,1.8153246017504898e-08,3.850688656825696e-09
1910,1.1222716089775986e-08,9.619471441624228e-09
1911,1.8621308939259507e-08,0.0
1912,1.719108944087111e-08,5.730363294986773e-09
1913,1.6439267724877027e-08,1.590896969716482e-09
1914,2.209925398233281e-08,0.0
1915,8.246533234057551e-09,0.0
1916,2.197492410260793e-09,7.69122365795738e-09
1917,2.4126133979507358e-08,0.0
1918,8.040463406189247e-09,0.0
1919,2.301962176431971e-08,0.0
1920,1.741613253614105e-08,3.786115865267448e-09
1921,1.817459427400081e-08,0.0
1922,1.9920426197472807e-08,3.6889677978990676e-09
1923,2.1231896241147297e-08,1.0615948120573648e-09
1924,1.804827398643738e-08,0.0
1925,1.8696901804560184e-08,1.0998177923937646e-09
1926,1.2260752413340015e-08,0.0
