year,peut_VERB égaler_VERB,peut_VERB egaler_VERB,peut_VERB régaler_VERB
1800,4.7162467353700777e-07,6.288328968651058e-09,3.144164484325529e-09
1801,3.762268363516341e-07,0.0,0.0
1802,2.9315705774024536e-07,0.0,0.0
1803,4.310249721584114e-07,0.0,0.0
1804,6.921182489350031e-07,0.0,0.0
1805,5.572040322476823e-07,5.685755422035754e-09,0.0
1806,5.734521550948557e-07,0.0,2.881669125542885e-09
1807,3.6156330907033407e-07,0.0,0.0
1808,2.900574713748938e-07,2.2660739951163578e-09,2.2660739951163578e-09
1809,2.552704359004565e-07,0.0,0.0
1810,4.7504573785772664e-07,2.3401267590372754e-09,0.0
1811,4.663162656015629e-07,0.0,2.0056614147279106e-08
1812,3.040617286842462e-07,0.0,0.0
1813,3.0482860324809735e-07,5.751483289628823e-09,0.0
1814,4.279480947388947e-07,0.0,0.0
1815,3.128779439975915e-07,0.0,0.0
1816,4.542503688753641e-07,0.0,9.270415546325239e-09
1817,3.300571620457049e-07,0.0,0.0
1818,3.516747426601796e-07,1.1921177378582115e-09,0.0
1819,3.498655019029684e-07,0.0,0.0
1820,3.9040722299432673e-07,0.0,0.0
1821,3.9051494127306796e-07,1.97229765852569e-09,0.0
1822,3.6593496588466223e-07,1.0025615893027862e-09,0.0
1823,3.281052158854436e-07,9.882686891060644e-10,0.0
1824,2.745282756677625e-07,8.421112696055388e-10,0.0
1825,2.2277771449807915e-07,0.0,0.0
1826,3.8843211314087966e-07,0.0,0.0
1827,2.451794500757387e-07,1.8434546111834038e-09,0.0
1828,2.38479827885385e-07,0.0,9.172301251858528e-10
1829,2.4433552425762173e-07,0.0,0.0
1830,2.7031404670196935e-07,1.0436835840010872e-09,1.0436835840010872e-09
1831,3.0091027269918413e-07,0.0,1.5591206103948707e-09
1832,2.4218644512075116e-07,0.0,1.3529969367098715e-09
1833,2.791654480915895e-07,2.3167257001688313e-09,1.1583628500844156e-09
1834,2.5016544213940506e-07,9.334530925997342e-10,0.0
1835,2.38993578705049e-07,0.0,3.781543966852041e-09
1836,3.5956011856796977e-07,6.720750067579218e-10,0.0
1837,2.546588007135142e-07,6.957890930081589e-10,6.957890930081589e-10
1838,2.266066161382696e-07,0.0,0.0
1839,2.1463829114054533e-07,0.0,2.7965900706306e-09
1840,2.3886332201072946e-07,0.0,6.369688665408546e-10
1841,2.1059399557543657e-07,0.0,2.5682194149112547e-09
1842,2.421683689135534e-07,0.0,1.341653010911159e-09
1843,2.0319774307608895e-07,0.0,0.0
1844,2.4643640017529833e-07,0.0,0.0
1845,2.449720000186062e-07,0.0,0.0
1846,2.0666389843881916e-07,0.0,5.854501328173001e-10
1847,2.222008106400608e-07,0.0,0.0
1848,1.7216774494954734e-07,0.0,8.045221711050488e-10
1849,1.843471295615018e-07,0.0,8.379414939696517e-10
1850,1.8466069207079272e-07,3.394498016007219e-09,0.0
1851,1.631707959859341e-07,6.449438760824933e-10,5.8044946626978344e-09
1852,2.474007203545625e-07,0.0,0.0
1853,2.496267370588612e-07,0.0,5.971931837933653e-10
1854,2.3432446027982223e-07,2.0782657816909023e-09,5.195664454227256e-10
1855,2.733072506089229e-07,7.960405667972736e-09,3.714855978387277e-09
1856,2.1537107386393473e-07,1.0872097000458325e-08,0.0
1857,2.0160632629995234e-07,9.763018171682347e-10,1.4644527812635033e-09
1858,2.481093872575002e-07,9.787352039936081e-10,0.0
1859,2.520625912438845e-07,0.0,3.5645213447565993e-09
1860,2.1329677224457555e-07,4.577183909670879e-10,0.0
1861,1.9995685818230413e-07,4.715963730639317e-10,0.0
1862,2.4848924340403755e-07,0.0,0.0
1863,1.992853668753014e-07,4.994620828036034e-10,9.989241656072068e-10
1864,2.1000909100621357e-07,9.589455896019672e-10,1.4384183844029508e-09
1865,1.8168418591812951e-07,0.0,0.0
