year,tout_DET ail_NOUN,tout_DET rail_NOUN
1891,1.2748440081367107e-09,2.5496880162734215e-09
1892,0.0,0.0
1893,6.158416554491453e-10,1.8475249663474358e-09
1894,6.301539290376468e-10,0.0
1895,6.018614495673091e-10,1.2037228991346183e-09
1896,1.179405795248556e-09,1.179405795248556e-09
1897,1.7480140668268973e-09,2.330685422435863e-09
1898,0.0,5.6583548957434e-10
1899,1.1055156790007459e-09,2.7637891975018647e-09
1900,5.191053142894475e-10,0.0
1901,1.1177477832191585e-09,0.0
1902,1.4730852093691738e-09,0.0
1903,4.320176216765503e-09,0.0
1904,1.0749250378694342e-09,1.0749250378694342e-09
1905,3.096455536422127e-09,1.5482277682110634e-09
1906,2.0576738091193647e-09,0.0
1907,1.5428529565042481e-09,1.028568674676933e-09
1908,1.964555629285769e-09,5.893666665812702e-09
1909,2.2003934230241384e-09,5.500983557560346e-10
1910,1.6032452032632705e-09,0.0
1911,5.320374141248863e-10,0.0
1912,0.0,3.125652625612929e-09
1913,5.30298971401777e-10,2.121195885607108e-09
1914,1.3393487430235496e-09,6.696743715117748e-10
1915,0.0,1.6493066468115103e-08
1916,0.0,3.2962386153911893e-09
1917,0.0,1.0966424435210342e-09
1918,1.1486376294556067e-09,3.44591288836682e-09
1919,0.0,0.0
1920,7.572231730534895e-10,0.0
1921,2.2718242842501013e-09,0.0
1922,1.4755870969551665e-09,0.0
1923,1.0615948120573648e-09,2.1231896241147297e-09
1924,1.289162443462999e-09,0.0
1925,5.499089184013428e-09,0.0
1926,2.229227691330493e-09,0.0
1927,1.1149224876660924e-09,0.0
1928,3.4278122562625413e-09,1.1426041224282812e-09
1929,1.1140406375176326e-09,1.1140406375176326e-09
1930,4.201441416995522e-09,2.100720708497761e-09
1931,2.2810713318222042e-09,0.0
1932,0.0,1.0959536611565568e-09
1933,1.1470662197865522e-09,1.1470662197865522e-09
1934,1.1981580172459871e-09,0.0
1935,0.0,0.0
1936,2.424942913137329e-09,0.0
1937,1.2591118148108649e-09,0.0
1938,0.0,0.0
1939,3.058810094103137e-09,0.0
1940,2.5357829169792012e-09,5.0715658339584024e-09
1941,0.0,0.0
1942,0.0,0.0
1943,2.9032352077962287e-09,0.0
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
1946,0.0,0.0
1947,0.0,2.3841741914054637e-09
1948,2.174377566888097e-09,1.0871887834440486e-09
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,2.1322803522849654e-09
1952,1.0544803918932644e-09,0.0
1953,1.0773827385790469e-09,0.0
1954,0.0,0.0
1955,1.8771215692936494e-09,0.0
1956,3.488456634670456e-09,2.616342476002842e-09
1957,0.0,0.0
1958,2.4816730892496253e-09,0.0
1959,0.0,0.0
1960,6.920833350854139e-10,0.0
1961,6.948159270159238e-10,0.0
1962,6.341956404476434e-10,0.0
1963,6.466053248388448e-10,0.0
1964,2.4335873316516654e-09,0.0
1965,5.472043373977442e-10,0.0
1966,0.0,5.539074754423723e-10
1967,4.930335584241163e-10,0.0
1968,8.982831700699023e-10,0.0
1969,1.3625273131978588e-09,1.3625273131978588e-09
1970,9.197450023812337e-10,0.0
1971,1.0276794970565106e-09,0.0
1972,1.0260293725750103e-09,0.0
1973,1.6539611902288698e-09,0.0
1974,5.625571675160757e-10,0.0
1975,0.0,5.711480177694739e-10
1976,5.713526873840635e-10,5.713526873840635e-10
1977,0.0,0.0
1978,2.970295565063452e-09,5.940591352171509e-10
1979,5.851973350345929e-10,0.0
1980,1.7055452605774235e-09,0.0
1981,6.325549528618524e-10,1.2651099057237047e-09
1982,6.207502289967692e-10,0.0
1983,6.315316047889041e-10,0.0
1984,5.799008495621649e-10,0.0
1985,1.2031116103372597e-09,0.0
1986,0.0,0.0
1987,0.0,0.0
1988,0.0,5.996553809062277e-10
1989,0.0,5.488122178931576e-10
1990,1.089730194969718e-09,0.0
1991,1.1722930404189924e-09,0.0
1992,0.0,0.0
1993,0.0,0.0
1994,0.0,0.0
1995,0.0,0.0
1996,1.067618438099771e-09,1.067618438099771e-09
1997,4.79489448146353e-10,0.0
1998,2.3840645013706308e-09,3.814503490850996e-09
1999,0.0,2.285100553223174e-09
2000,8.836062992401139e-10,0.0
2001,8.762423564512289e-10,0.0
2002,8.76244299341522e-10,4.38122149670761e-10
2003,0.0,4.1669229178253886e-10
2004,4.404791253964646e-10,8.809582507929292e-10
2005,0.0,0.0
2006,4.1178899179428186e-10,8.235779835885637e-10
2007,3.994479469415779e-10,0.0
2008,0.0,0.0
2009,0.0,4.76819250749827e-10
2010,4.723793023408973e-10,0.0
2011,0.0,3.82397197240536e-10
2012,3.404252713057332e-10,1.3617010852229328e-09
2013,0.0,0.0
2014,2.1654451842767486e-10,2.1654451842767486e-10
2015,0.0,0.0
2016,0.0,4.1426800878596737e-10
2017,0.0,0.0
2018,0.0,5.162933414126769e-10
2019,0.0,0.0
