year,pourront_VERB acheter_VERB,pourront_VERB racheter_VERB
1800,3.458580977167003e-08,1.5720821977538435e-08
1801,5.2386017301842e-08,2.3811825844433088e-09
1802,4.0281122437590966e-08,0.0
1803,3.510610468993036e-08,1.5602713787643552e-08
1804,1.2359254952798437e-08,9.887403784603066e-09
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,6.339671898558663e-08,2.305335300434308e-08
1807,1.1672516109229036e-07,3.9857372513552036e-08
1808,3.6257183921861724e-08,1.5862518409903714e-08
1809,1.3554183553310395e-08,2.25903047379461e-08
1810,5.148278958699848e-08,9.360507036149102e-09
1811,7.019814773912003e-08,0.0
1812,7.734903562095496e-08,1.3336041604361526e-08
1813,2.8757416004054903e-08,1.7254450312975678e-08
1814,3.1466772298927026e-08,0.0
1815,2.966945977789237e-08,1.6183340889597275e-08
1816,1.8540831092650478e-08,1.8540831092650478e-08
1817,2.490997452753163e-08,1.401186100480345e-08
1818,6.675859509641668e-08,2.1458118837358597e-08
1819,4.243930362690662e-08,3.1053151161586356e-09
1820,2.3732962262101864e-08,1.0679833017945839e-08
1821,4.437669787193954e-08,6.903041693817613e-09
1822,5.514088741165324e-08,1.1028177482330648e-08
1823,2.3718449426723964e-08,9.882686891060644e-10
1824,1.9368560089105813e-08,1.3473780313688621e-08
1825,4.402721387464226e-08,3.522177216552791e-09
1826,8.191425138193154e-08,1.2331177856594877e-08
1827,5.622536392024813e-08,3.594736597278825e-08
1828,2.8434133270138773e-08,2.5682442839070063e-08
1829,1.0030615982259405e-07,2.743416338546467e-08
1830,6.053365098068753e-08,4.174734336004349e-09
1831,2.6505050598757407e-08,1.5591206548037917e-08
1832,1.6235963684607668e-08,2.705993873419743e-09
1833,4.40177885252524e-08,3.4750886612755494e-09
1834,5.787409307345115e-08,3.547121707470069e-08
1835,6.126101226300307e-08,1.8907719834260206e-08
1836,6.183090306421946e-08,1.8146025126952736e-08
1837,7.862416850912268e-08,6.957891152126194e-09
1838,4.7341213615936795e-08,1.1361890983607736e-08
1839,8.739343826391632e-08,2.027527834513876e-08
1840,6.688173215252391e-08,3.1848443882154243e-09
1841,6.292137300079048e-08,8.988767952189392e-09
1842,4.561620414733625e-08,6.037438549100216e-09
1843,4.7255287682901326e-08,7.678984559333912e-09
1844,5.817874892954933e-08,7.683985892015244e-09
1845,4.408380149811819e-08,4.408380149811819e-08
1846,9.659927258098833e-08,2.3418005312692003e-08
1847,6.957258591455684e-08,2.588747349818732e-08
1848,6.275273278788518e-08,1.206783295515379e-08
1849,5.279031256577582e-08,1.4245005175439474e-08
1850,6.653215933738466e-08,1.6293590476834652e-08
1851,2.4507867735223954e-08,1.2898877521649865e-08
1852,1.0481978307552708e-07,6.510545436100301e-09
1853,5.6733352238325097e-08,2.030456869306363e-08
1854,5.455447649183043e-08,1.2989160858012383e-08
1855,6.368324534378189e-08,3.02495415382964e-08
1856,4.6076984006049315e-08,3.6240324075009767e-09
1857,4.246912865824015e-08,1.2203773103180993e-08
1858,3.3766365703513657e-08,4.893676130990343e-09
1859,4.073738679721828e-08,1.2730433596175317e-08
1860,5.53839250017063e-08,5.034902272882391e-09
1861,8.86601156935285e-08,1.0375120318428799e-08
