year,ont_VERB usé_VERB,ont_VERB rusé_VERB
1800,3.898763907272951e-07,0.0
1801,4.500435011323134e-07,0.0
1802,4.408545066780789e-07,0.0
1803,4.290746176138782e-07,0.0
1804,5.314479381013371e-07,0.0
1805,3.1271653710973624e-07,0.0
1806,3.9478865687669895e-07,0.0
1807,4.583597785767779e-07,0.0
1808,5.347934575183899e-07,0.0
1809,4.2695677393567166e-07,0.0
1810,3.7910052697043284e-07,0.0
1811,5.390215278566757e-07,0.0
1812,4.6142702103679767e-07,0.0
1813,3.7097066751812235e-07,0.0
1814,4.625615304121311e-07,0.0
1815,4.989863668924954e-07,0.0
1816,4.565679603274475e-07,0.0
1817,5.464625587592309e-07,6.227493631882908e-09
1818,4.6373381223929755e-07,0.0
1819,6.924852300471684e-07,0.0
1820,7.843743787816493e-07,0.0
1821,8.125866202135512e-07,0.0
1822,7.278597422555322e-07,1.0025615893027862e-09
1823,5.64301444683224e-07,0.0
1824,6.256886990740895e-07,2.5263338088166165e-09
1825,5.159989768799278e-07,0.0
1826,5.046974820288597e-07,0.0
1827,5.640970925924194e-07,0.0
1828,6.79667550684826e-07,0.0
1829,6.335577040772478e-07,1.714635211591542e-09
1830,5.176670470063982e-07,0.0
1831,6.033797035343014e-07,0.0
1832,6.332025463962054e-07,0.0
1833,4.5639495738214464e-07,0.0
1834,5.796743494101975e-07,0.0
1835,6.617701728828251e-07,1.5126175867408165e-09
1836,6.754353876203822e-07,0.0
1837,6.70044869366393e-07,0.0
1838,8.912772386793222e-07,0.0
1839,6.753764978384424e-07,0.0
1840,5.758198540206649e-07,0.0
1841,5.791334842797369e-07,6.420548537278137e-10
1842,6.433226076296705e-07,0.0
1843,8.629996841591492e-07,0.0
1844,6.015463327457837e-07,1.097712254427563e-09
1845,6.484224854830245e-07,0.0
1846,6.562896146533603e-07,0.0
1847,5.398616735874384e-07,5.393223645455691e-10
1848,6.041961455593992e-07,2.413566457803995e-09
1849,5.92424612477771e-07,0.0
1850,8.778171718404337e-07,0.0
1851,6.726764354425541e-07,0.0
1852,6.738414413121063e-07,0.0
1853,6.264556304813595e-07,0.0
