year,doivent_VERB envoyer_VERB,doivent_VERB renvoyer_VERB
1800,4.087413785214267e-08,9.432493897065797e-09
1801,5.476719877606229e-08,1.1905912700171939e-08
1802,5.147032311469957e-08,1.7902721083373763e-08
1803,6.631153581793114e-08,1.950339267864365e-08
1804,4.449331569844617e-08,1.2359254952798437e-08
1805,5.1171799242411e-08,2.2743021688143017e-08
1806,1.2103009794373065e-07,3.458002950651462e-08
1807,2.590729195617314e-07,1.0249038240317532e-07
1808,9.970725756147658e-08,7.024829073998262e-08
1809,1.3328279635516083e-07,1.1295152546608733e-07
1810,1.3806747745093162e-07,9.594519667643908e-08
1811,1.3788921648938413e-07,1.0780430415024966e-07
1812,1.0668833283489221e-07,6.401299401659344e-08
1813,1.3803560250380542e-07,6.614205716459765e-08
1814,5.349351184236184e-08,2.5173417128598885e-08
1815,3.776112933451259e-08,3.506390555685357e-08
1816,1.715026911597306e-07,6.952811304472561e-08
1817,2.80237220096069e-08,3.580808893843823e-08
1818,5.96058882251782e-08,3.099506074022429e-08
1819,9.00541365922436e-08,4.0369094733705424e-08
1820,6.40789963313182e-08,2.7292905713238724e-08
1821,7.691961201317099e-08,5.621048160264763e-08
1822,6.215881853677274e-08,6.616906489398389e-08
1823,5.731958552246397e-08,4.0519015698237126e-08
1824,7.579001248814166e-08,5.136878655775945e-08
1825,7.924898426381333e-08,5.371320099811783e-08
1826,8.631824499616414e-08,5.9013494535520294e-08
1827,3.041700225026034e-08,7.097300169789378e-08
1828,7.521286704559316e-08,6.237164740241496e-08
1829,6.001223340490469e-08,6.42988169374803e-08
1830,6.992679857376061e-08,5.5315229730013016e-08
1831,5.9246584527272717e-08,7.171954763407484e-08
1832,6.22378593106987e-08,9.470978312720035e-08
1833,5.3284690437749305e-08,8.108539617524002e-08
1834,7.28093425550469e-08,8.58776871837108e-08
1835,5.067268915581735e-08,4.689114518896531e-08
1836,3.1587525484155776e-08,4.5701099793404865e-08
1837,5.775049416456568e-08,5.705470584871364e-08
1838,3.3454458758797045e-08,4.986607748946881e-08
1839,8.319855737681792e-08,7.341049013120937e-08
1840,6.17859825524647e-08,6.051204337609306e-08
1841,6.22793194793303e-08,3.980740004294603e-08
1842,1.1001554867107188e-07,4.024958855097793e-08
1843,6.14318764746713e-08,6.025049259505977e-08
1844,4.9945906965831455e-08,5.3239045172404076e-08
1845,4.9664027557128065e-08,6.02664584903323e-08
1846,7.025401771443285e-08,4.0981507964943376e-08
1847,5.3392913201832926e-08,2.0494249852731627e-08
1848,1.0056527344204369e-07,8.608387247477367e-08
1849,5.781796375003978e-08,6.787325901314034e-08
1850,5.295417082606946e-08,2.851378333446064e-08
1851,9.02921399870138e-08,4.2566295377355345e-08
1852,7.422021752745422e-08,3.971432604998881e-08
1853,6.867721680237082e-08,2.20961471342207e-08
1854,6.806320129726373e-08,4.9878380536938494e-08
1855,9.870903028286193e-08,2.2819829581521844e-08
1856,7.040977578753882e-08,2.329735160344626e-08
1857,4.5886185517929334e-08,3.758761835115365e-08
1858,6.606462932268187e-08,4.942612719105455e-08
1859,8.503929649350539e-08,8.656694916453489e-09
1860,9.840945125461076e-08,1.0527522853465143e-08
1861,4.5744847909645614e-08,2.3108222890755314e-08
1862,7.002878987805161e-08,8.132375661773494e-09
1863,7.092361897775845e-08,1.748117206545885e-08
1864,9.014088675485254e-08,8.63051052846231e-09
1865,5.0833918407988676e-08,8.943004559114343e-09
1866,6.665889884516218e-08,1.3623716377253459e-08
1867,1.1792332088589319e-07,3.6396087921275466e-08
1868,7.014621417056333e-08,1.1361710683388537e-08
1869,8.448488131307386e-08,1.8069020057964735e-08
1870,6.995539791887495e-08,1.6055336615750093e-08
1871,1.0302542108320267e-07,7.434824311758348e-09
1872,9.010535251263718e-08,1.3908880269752899e-08
1873,8.679706553493816e-08,1.2570609442263958e-08
1874,9.738612760656906e-08,8.364453130127458e-09
1875,6.179249112392426e-08,1.8881038954532414e-08
1876,7.436598536969541e-08,1.209202959984168e-08
1877,7.607323482261563e-08,1.2988113695655557e-08
1878,5.435179772916854e-08,9.662541877730746e-09
1879,1.0141479833691847e-07,1.221865097988939e-08
1880,5.519347823224052e-08,8.984985200299889e-09
1881,8.2972839265949e-08,1.2550513517339823e-08
1882,5.590523599607877e-08,7.986462158271479e-09
1883,5.245051326596695e-08,2.211768546089843e-08
1884,9.836528391815591e-08,1.386356363042296e-08
1885,6.510092021017044e-08,9.023890079618013e-09
1886,6.324394519197085e-08,1.2261581083805595e-08
1887,9.336362438716606e-08,1.697520346510828e-08
1888,8.87686084638517e-08,1.6485598663962264e-08
1889,7.894072240333116e-08,1.3156786771162388e-08
1890,9.962667490981403e-08,1.4419650362640368e-08
1891,7.457837369884146e-08,2.103492668936724e-08
1892,7.334159590755007e-08,1.002961980134387e-08
1893,5.850495554682311e-08,1.6627724974682678e-08
1894,8.948185836743505e-08,3.0247388593807045e-08
1895,8.60661870660806e-08,1.444467478961542e-08
1896,6.958494225273171e-08,1.47425724961181e-08
1897,9.147940005505006e-08,8.157399200570126e-09
1898,9.788954002942774e-08,1.7540900287826844e-08
1899,7.95971288880537e-08,1.5477219506010442e-08
1900,5.6582479146527476e-08,6.748368974740515e-09
1901,9.333194128657851e-08,1.7883964531506535e-08
1902,9.133128031635351e-08,1.1293653123800595e-08
1903,8.370341220143018e-08,1.9440793863623185e-08
1904,1.2630368928512326e-07,1.1824175416563776e-08
1905,9.857049576567078e-08,1.3417973399043603e-08
1906,8.230695414113143e-08,1.18316245689698e-08
1907,7.91997862847893e-08,1.1828539925318182e-08
1908,9.478981155552901e-08,7.367083831866239e-09
1909,7.261298407001959e-08,9.351672325408344e-09
1910,7.000837598525322e-08,2.5651923252212327e-08
1911,8.35298763490755e-08,8.51259862599818e-09
1912,9.481146889811498e-08,2.031674206648404e-08
1913,7.477215291373795e-08,1.3787773589513108e-08
1914,6.763711013491047e-08,8.705766774141921e-09
1915,1.260541466763243e-07,1.5314990164938536e-08
1916,7.471474106068854e-08,1.2086208478478966e-08
1917,8.334482259897413e-08,1.5352993543160665e-08
1918,6.547234221443432e-08,2.2972752589112133e-09
1919,5.7088659133341935e-08,1.1970202606903513e-08
1920,8.708066445706208e-08,7.572231730534895e-09
1921,5.755288157160976e-08,9.844571380313027e-09
1922,7.673052948575787e-08,7.377935595798135e-09
1923,7.006525493125082e-08,1.1677542488541803e-08
1924,6.445812061883771e-08,1.4180787211159895e-08
1925,7.258797296572084e-08,1.5397448649423495e-08
1926,5.684530535177146e-08,1.2260752413340015e-08
1927,5.797597069090443e-08,4.4596899506643695e-09
1928,5.827281057690925e-08,2.2852082448565625e-09
1929,4.67897081080082e-08,1.0026365515614089e-08
1930,5.882018072611572e-08,1.3654684494213143e-08
