year,pourront_VERB appliquer_VERB
1800,3.144164484325529e-09
1801,2.3811825400343878e-08
1802,8.951360541686881e-09
1803,4.095712213825209e-08
1804,5.19088700912107e-08
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,1.9928686256776018e-08
1808,1.5862518409903714e-08
1809,0.0
1810,2.3401267590372754e-09
1811,1.2535384286138651e-08
1812,0.0
1813,2.300593315851529e-08
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,4.768470951432846e-09
1819,3.2088255608186955e-08
1820,5.933240565525466e-09
1821,1.4792232327920374e-08
1822,4.110502516141423e-08
1823,1.8777104315859106e-08
1824,1.2631669044083083e-08
1825,2.4655239627691117e-08
1826,2.2019960965735663e-08
1827,2.3964910056406552e-08
1828,3.0268594741755805e-08
1829,1.628903412154159e-08
1830,3.861629238599562e-08
1831,3.585977381703742e-08
1832,3.3824925083081325e-08
1833,2.3167256557599103e-08
1834,1.4935249481595747e-08
1835,3.025235173481633e-08
1836,3.024337402735e-08
1837,1.6698937344017395e-08
1838,2.3354999711955315e-08
1839,2.9364196407755117e-08
1840,1.52872523528913e-08
1841,2.5040138851295524e-08
1842,1.542900918138912e-08
1843,2.8943864194275193e-08
1844,3.512679214168202e-08
1845,3.5155437672074186e-08
1846,1.3465353276842507e-08
1847,4.368511241636952e-08
1848,1.206783295515379e-08
1849,2.76520690789539e-08
1850,4.480737203493845e-08
1851,3.418202609850596e-08
1852,2.669323606596663e-08
1853,5.971931837933653e-09
1854,1.9223959313308114e-08
1855,3.1841622671890946e-08
1856,1.346069211649592e-08
1857,2.1966791052818735e-08
1858,2.4468379322684086e-08
1859,1.0693564256314403e-08
1860,1.0985241161165504e-08
1861,6.6023493339173456e-09
1862,1.0843167252971853e-08
1863,1.5982786649715308e-08
1864,2.1576274988888144e-08
1865,1.4120533187167439e-08
1866,1.4110277390955162e-08
1867,1.0190904120577216e-08
1868,2.420538258718352e-08
1869,1.953407746668745e-08
1870,1.490852596930381e-08
1871,1.4869648623516696e-08
1872,2.4189358072135292e-08
1873,3.1725821969530443e-08
1874,2.4495896866483235e-08
1875,1.2015206607429718e-08
1876,3.083467703390852e-08
1877,2.1646856751544874e-08
1878,4.831270938865373e-09
1879,6.720257683667796e-09
1880,1.0910338410496934e-08
1881,1.4642266066289267e-08
1882,2.7952617998039386e-08
1883,3.4124429504345244e-08
1884,2.9047466654219534e-08
1885,1.6114089618213256e-08
1886,7.098810428374236e-09
1887,2.415702127223085e-08
1888,3.4239320712003973e-08
1889,1.2530273707511697e-08
1890,9.831579994568074e-09
1891,3.4420789774003424e-08
1892,4.8894396087462155e-08
1893,4.187723234849727e-08
1894,2.3945849747519787e-08
1895,2.5278181325916194e-08
1896,3.184395680477792e-08
1897,1.981082675683865e-08
1898,3.508180057565369e-08
1899,2.984892333302014e-08
1900,3.529916270395006e-08
1901,4.079779358789892e-08
1902,2.0132164380015638e-08
1903,3.4021386596805314e-08
1904,1.7198800605910947e-08
1905,3.302885787093146e-08
1906,1.9547901075611662e-08
1907,2.9314207949937554e-08
1908,2.2592390180875555e-08
1909,2.3654228797909127e-08
1910,2.672075360976578e-08
1911,2.979409430281521e-08
1912,3.2819354345292595e-08
1913,1.3257474229533273e-08
1914,2.8795998474606677e-08
1915,5.183535378705528e-08
1916,2.197492321442951e-08
1917,2.631941953268324e-08
1918,3.2161853624756986e-08
1919,5.248473655683483e-08
1920,2.6502810612782923e-08
1921,1.6660044011018726e-08
1922,1.4018077365562931e-08
1923,1.3800733000834953e-08
1924,3.0939897754933554e-08
1925,1.0998178368026856e-08
1926,8.916910765321973e-09
1927,7.804457524684949e-09
1928,1.2568645679778001e-08
1929,8.912325100141061e-09
1930,6.302162347537887e-09
1931,1.3686427990933225e-08
1932,3.3974561830518724e-08
1933,1.605892663292252e-08
1934,1.7972370258689807e-08
1935,2.393656828303392e-08
1936,2.5461901032031165e-08
1937,2.895957251780601e-08
1938,4.019216603978748e-08
1939,9.176430282309411e-09
1940,1.2678914806940611e-08
1941,3.246652724442356e-08
1942,1.8205270180260413e-08
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,2.5057987684817817e-08
1947,9.536696765621855e-09
1948,1.3046265401328583e-08
1949,3.043272656100271e-08
1950,1.701657836861159e-08
1951,1.8124383771578323e-08
1952,2.741649041126948e-08
1953,2.3702419582605216e-08
1954,1.07497895029951e-08
1955,2.627970197011109e-08
1956,2.3547082506070183e-08
1957,1.0602045463770082e-08
1958,2.2335056470978998e-08
1959,2.8677767716089875e-08
1960,1.5225833038812198e-08
1961,1.80652133252579e-08
1962,2.8538803320543593e-08
1963,2.4571003010009917e-08
1964,7.909158661334459e-09
1965,1.094408652591028e-08
1966,2.4925835617750636e-08
1967,1.5284040699725665e-08
1968,1.6169096284102125e-08
1969,2.3162964879475112e-08
1970,1.9314645882673176e-08
1971,1.7470551227916076e-08
1972,7.182205497002769e-09
1973,1.0475087464101307e-08
1974,1.3501372464475025e-08
1975,6.8537762132336866e-09
1976,1.085570122683066e-08
1977,1.3516598507123945e-08
1978,8.910887139279566e-09
1979,1.6970723493159312e-08
1980,1.6486936260662333e-08
1981,6.325549417596221e-09
1982,1.2415004135846175e-08
1983,1.8314416649900522e-08
1984,2.203623239438457e-08
1985,3.368712597762169e-08
1986,1.0790073723399018e-08
1987,1.4665960890170027e-08
1988,1.0194141530917022e-08
1989,1.5915555096057687e-08
1990,1.2531897297662908e-08
1991,2.2273567878983158e-08
1992,1.597883780846132e-08
1993,9.416652346772025e-09
1994,1.476979427650349e-08
1995,1.4098372247417501e-08
1996,1.4946657245218375e-08
1997,1.1987236092636522e-08
1998,1.0966696883940585e-08
1999,1.4624643718263997e-08
2000,1.192868470667463e-08
2001,1.7524847351069184e-08
2002,1.4896152755738967e-08
2003,1.3334153337041244e-08
2004,1.2773894830786503e-08
2005,1.3961623857028371e-08
2006,7.000412693969338e-09
2007,5.192823504529542e-09
2008,5.108927503272298e-09
2009,6.675469510497578e-09
2010,9.919965293647692e-09
2011,9.177532511728259e-09
2012,2.7234021704458655e-09
2013,3.0680376017500066e-09
2014,5.197068553286499e-09
2015,5.984753581600444e-09
2016,9.113896304313585e-09
2017,5.534344982294215e-09
2018,5.421080029321956e-09
2019,7.1427654901867754e-09
