year,pouvaient_VERB envoyer_VERB,pouvaient_VERB renvoyer_VERB
1800,2.5153315874604232e-08,2.829747991484055e-08
1801,1.904946067554647e-08,9.524730337773235e-09
1802,2.2378401354217203e-09,0.0
1803,2.145373123596528e-08,9.751696339321825e-09
1804,1.9774807569206132e-08,0.0
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,1.729001475325731e-08,0.0
1807,4.839823830593559e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,9.036122072814123e-09,9.036122072814123e-09
1810,1.8721014072298203e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.0668832928217853e-08,3.200649700829672e-08
1813,4.3136125782439194e-08,1.7254450312975678e-08
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,7.784366928831332e-09,7.784366928831332e-09
1818,2.026600220972341e-08,7.152706427149269e-09
1819,1.449147024601416e-08,0.0
1820,3.559944161679596e-08,1.1866481131050932e-09
1821,9.861488514673056e-09,9.86148829262845e-10
1822,2.0051231786055723e-08,7.017931125119503e-09
1823,1.1859224713361982e-08,9.882686891060644e-10
1824,2.863178316658832e-08,1.6842225392110777e-09
1825,3.78634048558979e-08,9.68598712347557e-09
1826,2.8185549894033102e-08,3.5231937367541377e-09
1827,3.594736597278825e-08,3.6869092223668076e-09
1828,1.3758452155343548e-08,8.255071293206129e-09
1829,3.943661042171698e-08,6.858540846366168e-09
1830,3.1310506187764986e-08,6.262101504006523e-09
1831,2.0268567268999504e-08,9.354723218280014e-09
1832,2.1647950987357945e-08,0.0
1833,4.6334514003376626e-09,4.6334514003376626e-09
1834,3.453776287187793e-08,9.334531370086552e-09
1835,1.8907719834260206e-08,7.563087933704082e-10
1836,2.352262562510532e-08,3.36037508930076e-09
1837,2.7831564608504777e-08,6.957890930081589e-10
1838,2.398621568033832e-08,2.5248647617104325e-09
1839,3.775396706373613e-08,3.4957374772659477e-09
1840,2.8663599493938818e-08,5.095750932326837e-09
1841,1.6051371787284552e-08,6.420548537278137e-10
1842,4.024958855097793e-08,4.695785538189057e-09
1843,3.071593823733565e-08,2.3627644285539873e-09
1844,3.896878553177885e-08,0.0
1845,3.124927516751086e-08,3.348136878855712e-09
1846,2.1076203893244383e-08,2.3418005312692003e-09
1847,2.480882876909618e-08,2.1572894581822766e-09
1848,2.574470947536156e-08,5.63165514222419e-09
1849,2.262441967104678e-08,9.217356655710773e-09
1850,3.93761752093269e-08,6.788996032014438e-10
1851,3.224719336003545e-08,6.449438760824933e-10
1852,2.6042181744401205e-08,7.161600201754936e-09
1853,8.957897534855874e-09,4.180352064508952e-09
1854,2.961528799971802e-08,0.0
1855,2.388121700391821e-08,5.837630823180007e-09
1856,1.65670055451983e-08,2.5885946719483854e-09
1857,2.5383847912507917e-08,2.4407544874094356e-09
1858,2.104280660830682e-08,4.893676019968041e-10
1859,1.5276519604867644e-08,2.036869339860914e-09
1860,2.1512764902809067e-08,4.57718396518203e-09
1861,2.5466203368296192e-08,1.4147891747029462e-09
1862,3.027050965442868e-08,3.6143890103090826e-09
1863,2.6471489888990618e-08,5.494082966350788e-09
1864,3.548098703731739e-08,1.4384183844029508e-09
1865,1.97687466396701e-08,4.23615986733239e-09
1866,1.8002767276925624e-08,4.865612912574591e-10
1867,1.358787216076962e-08,1.455843445796745e-08
1868,5.08807040944248e-08,1.4819622196071691e-09
1869,4.0533208789383934e-08,5.371870948067681e-09
1870,2.8096838633473453e-08,7.454262984651905e-09
1871,3.823623728749226e-08,1.0621177271019633e-09
1872,2.3584624031514068e-08,4.23313739617015e-09
1873,1.7359413462259e-08,2.9930022904522957e-09
1874,2.8678122987457755e-08,0.0
1875,3.318485752856759e-08,5.149374260327022e-09
1876,3.204387866162506e-08,4.232210137899983e-09
1877,1.1132669008873108e-08,1.2369631985365004e-09
1878,1.4493812372506909e-08,1.0870359723469392e-08
1879,1.8938909107646396e-08,5.498392852132383e-09
1880,1.6686399817444908e-08,3.2089231272180996e-09
1881,1.1853263259808955e-08,6.972507571312292e-10
1882,1.8635077481121698e-08,6.655385131892899e-10
1883,3.09647596452578e-08,1.8958017378167824e-09
1884,1.5183903911974994e-08,1.3203393933736152e-09
1885,1.0313017106966527e-08,0.0
1886,3.291266637006629e-08,3.2267319927115068e-09
1887,2.2198344495905076e-08,1.9586774424595887e-09
1888,2.4728397107764977e-08,1.268122939990235e-09
1889,3.696430539434914e-08,1.8795409673089125e-09
1890,3.47382496102e-08,1.3108772956016423e-09
1891,2.4859458491732767e-08,7.0116419337296065e-09
1892,2.382034658410248e-08,6.8953633913793055e-09
1893,2.3401982574000613e-08,3.695050043717174e-09
1894,2.0164925729204697e-08,6.301539290376468e-10
1895,3.310238128051424e-08,6.018614495673091e-10
1896,3.3613066108273415e-08,0.0
1897,3.088158351260972e-08,4.078699600285063e-09
1898,1.9238406423482957e-08,6.224190496340043e-09
1899,2.3215829259015663e-08,1.3818945987509323e-08
1900,3.426094963288051e-08,5.19105292084987e-09
1901,3.129693837422565e-08,4.470991132876634e-09
1902,1.276673788908056e-08,2.455141867585553e-09
1903,1.9980815224585058e-08,2.7001101354784396e-09
1904,4.998401337275027e-08,5.374625189347171e-10
1905,2.580379465655369e-08,2.0643036169332163e-09
1906,3.343719967574543e-08,1.0288369045596824e-09
